NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUEPO-01,2011-03-07,MON,00:30:00,146,16,412,146.0,16.4,412.0
SUEPO-01,2011-03-07,MON,00:35:00,117,117,414,117.0,114.78,414.0
SUEPO-01,2011-03-07,MON,00:40:00,117,329,413,117.0,329.26,413.0
SUEPO-01,2011-03-07,MON,00:45:00,29,330,412,29.0,329.26,412.0
SUEPO-01,2011-03-07,MON,00:50:00,29,224,413,29.0,226.74,413.0
SUEPO-01,2011-03-07,MON,00:55:00,29,57,413,29.0,58.13,413.0
SUEPO-01,2011-03-07,MON,01:00:00,234,196,414,234.0,200.33,414.0
SUEPO-01,2011-03-07,MON,01:04:00,29,559,413,29.0,562.95,413.0
SUEPO-01,2011-03-07,MON,01:10:00,117,334,412,117.0,334.78,412.0
SUEPO-01,2011-03-07,MON,01:15:00,58,331,420,58.0,329.26,420.0
SUEPO-01,2011-03-07,MON,01:20:00,117,330,412,117.0,329.26,412.0
SUEPO-01,2011-03-07,MON,01:25:00,146,330,412,146.0,329.26,412.0
SUEPO-01,2011-03-07,MON,01:30:00,58,7,413,58.0,4.2,413.0
SUEPO-01,2011-03-07,MON,01:35:00,117,331,414,117.0,329.26,414.0
SUEPO-01,2011-03-07,MON,01:40:00,58,329,413,58.0,329.26,413.0
SUEPO-01,2011-03-07,MON,01:45:00,29,337,413,29.0,334.78,413.0
SUEPO-01,2011-03-07,MON,01:50:00,29,579,414,29.0,582.23,414.0
SUEPO-01,2011-03-07,MON,01:55:00,204,171,413,204.0,166.03,413.0
SUEPO-01,2011-03-07,MON,01:59:00,29,328,413,29.0,329.26,413.0
SUEPO-01,2011-03-07,MON,02:04:00,848,226,413,1017.82,226.74,413.0
SUEPO-01,2011-03-07,MON,02:10:00,58,336,413,58.0,334.78,413.0
SUEPO-01,2011-03-07,MON,02:15:00,234,302,413,234.0,299.07,413.0
SUEPO-01,2011-03-07,MON,02:20:00,29,143,413,29.0,136.9,413.0
SUEPO-01,2011-03-07,MON,02:25:00,29,329,414,29.0,329.26,414.0
SUEPO-01,2011-03-07,MON,02:30:00,58,330,414,58.0,329.26,414.0
SUEPO-01,2011-03-07,MON,02:35:00,58,335,415,58.0,334.78,415.0
SUEPO-01,2011-03-07,MON,02:40:00,29,328,413,29.0,329.26,413.0
SUEPO-01,2011-03-07,MON,02:46:00,58,317,410,58.0,319.33,410.0
SUEPO-01,2011-03-07,MON,02:50:00,117,5,413,117.0,4.2,413.0
SUEPO-01,2011-03-07,MON,02:55:00,29,328,414,29.0,329.26,414.0
SUEPO-01,2011-03-07,MON,03:00:00,29,331,412,29.0,329.26,412.0
SUEPO-01,2011-03-07,MON,03:05:00,234,334,414,234.0,334.78,414.0
SUEPO-01,2011-03-07,MON,03:10:00,117,185,425,117.0,190.15,425.0
SUEPO-01,2011-03-07,MON,03:15:00,29,272,423,29.0,268.45,423.0
SUEPO-01,2011-03-07,MON,03:20:00,117,329,421,117.0,329.26,421.0
SUEPO-01,2011-03-07,MON,03:25:00,29,222,417,29.0,221.16,417.0
SUEPO-01,2011-03-07,MON,03:30:00,58,330,416,58.0,329.26,416.0
SUEPO-01,2011-03-07,MON,03:35:00,58,218,418,58.0,221.16,418.0
SUEPO-01,2011-03-07,MON,03:40:00,29,231,417,29.0,226.74,417.0
SUEPO-01,2011-03-07,MON,03:45:00,29,329,417,29.0,329.26,417.0
SUEPO-01,2011-03-07,MON,03:50:00,29,328,424,29.0,329.26,424.0
SUEPO-01,2011-03-07,MON,03:55:00,58,329,416,58.0,329.26,416.0
SUEPO-01,2011-03-07,MON,04:00:00,58,260,416,58.0,259.29,416.0
SUEPO-01,2011-03-07,MON,04:05:00,29,80,416,29.0,79.6,416.0
SUEPO-01,2011-03-07,MON,04:09:00,117,337,416,117.0,334.78,416.0
SUEPO-01,2011-03-07,MON,04:14:00,146,331,414,146.0,329.26,414.0
