NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUEX07-CA-01,2011-03-07,MON,00:30:00,234,16,2884,234.0,16.0,2884.5
SUEX07-CA-01,2011-03-07,MON,00:35:00,117,185,2883,117.0,167.04,2882.47
SUEX07-CA-01,2011-03-07,MON,00:40:00,1287,195,2848,1287.0,223.33,2849.6
SUEX07-CA-01,2011-03-07,MON,00:45:00,585,213,2807,585.0,223.33,2808.98
SUEX07-CA-01,2011-03-07,MON,00:49:00,117,245,2853,117.0,223.33,2853.07
SUEX07-CA-01,2011-03-07,MON,00:55:00,4214,216,2843,4515.35,223.33,2845.0
SUEX07-CA-01,2011-03-07,MON,01:00:00,1170,287,2880,1170.0,283.53,2879.56
SUEX07-CA-01,2011-03-07,MON,01:05:00,1756,200,2892,1756.0,223.33,2890.95
SUEX07-CA-01,2011-03-07,MON,01:10:00,234,197,2855,234.0,223.33,2855.0
SUEX07-CA-01,2011-03-07,MON,01:15:00,234,199,2924,234.0,223.33,2923.05
SUEX07-CA-01,2011-03-07,MON,01:19:00,117,248,2886,117.0,223.33,2887.49
SUEX07-CA-01,2011-03-07,MON,01:25:00,117,233,2900,117.0,223.33,2900.0
SUEX07-CA-01,2011-03-07,MON,01:29:00,0,180,2895,0.0,167.04,2894.07
SUEX07-CA-01,2011-03-07,MON,01:35:00,0,202,2872,0.0,223.33,2871.5
SUEX07-CA-01,2011-03-07,MON,01:40:00,585,376,2871,585.0,384.81,2871.5
SUEX07-CA-01,2011-03-07,MON,01:45:00,0,314,2896,0.0,283.53,2896.0
SUEX07-CA-01,2011-03-07,MON,01:50:00,1170,324,2875,1170.0,338.73,2873.94
SUEX07-CA-01,2011-03-07,MON,01:55:00,468,324,2884,468.0,338.73,2884.5
SUEX07-CA-01,2011-03-07,MON,02:00:00,234,291,2881,234.0,283.53,2881.0
SUEX07-CA-01,2011-03-07,MON,02:04:00,585,175,2893,585.0,167.04,2894.07
SUEX07-CA-01,2011-03-07,MON,02:10:00,819,204,2924,819.0,223.33,2923.05
SUEX07-CA-01,2011-03-07,MON,02:15:00,819,128,2921,819.0,123.34,2920.42
SUEX07-CA-01,2011-03-07,MON,02:20:00,1170,176,2928,1170.0,167.04,2928.45
SUEX07-CA-01,2011-03-07,MON,02:25:00,936,205,2900,936.0,223.33,2900.0
SUEX07-CA-01,2011-03-07,MON,02:30:00,1170,190,2930,1170.0,167.04,2930.46
SUEX07-CA-01,2011-03-07,MON,02:35:00,585,207,2930,585.0,223.33,2930.46
SUEX07-CA-01,2011-03-07,MON,02:40:00,1756,193,2899,1756.0,167.04,2899.0
SUEX07-CA-01,2011-03-07,MON,02:44:00,234,174,2933,234.0,167.04,2933.44
SUEX07-CA-01,2011-03-07,MON,02:49:00,234,184,2890,234.0,167.04,2890.95
SUEX07-CA-01,2011-03-07,MON,02:55:00,117,182,2879,117.0,167.04,2879.56
SUEX07-CA-01,2011-03-07,MON,03:00:00,468,180,2911,468.0,167.04,2911.53
SUEX07-CA-01,2011-03-07,MON,03:05:00,117,181,2877,117.0,167.04,2877.1
SUEX07-CA-01,2011-03-07,MON,03:10:00,468,187,2856,468.0,167.04,2856.51
SUEX07-CA-01,2011-03-07,MON,03:15:00,585,171,2884,585.0,167.04,2884.5
SUEX07-CA-01,2011-03-07,MON,03:20:00,1756,253,2878,1756.0,223.33,2877.1
SUEX07-CA-01,2011-03-07,MON,03:25:00,117,347,2867,117.0,338.73,2865.47
SUEX07-CA-01,2011-03-07,MON,03:30:00,936,200,2896,936.0,223.33,2896.0
SUEX07-CA-01,2011-03-07,MON,03:35:00,468,175,2893,468.0,167.04,2894.07
SUEX07-CA-01,2011-03-07,MON,03:40:00,234,184,2871,234.0,167.04,2871.5
SUEX07-CA-01,2011-03-07,MON,03:45:00,585,349,2904,585.0,338.73,2903.45
SUEX07-CA-01,2011-03-07,MON,03:50:00,936,165,2911,936.0,167.04,2911.53
