NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUEX07-HUB-01,2011-03-07,MON,00:30:00,58,16,1778,58.0,13.93,1780.45
SUEX07-HUB-01,2011-03-07,MON,00:35:00,117,17,1748,117.0,18.86,1747.51
SUEX07-HUB-01,2011-03-07,MON,00:41:00,1404,98,1773,1404.0,94.01,1771.53
SUEX07-HUB-01,2011-03-07,MON,00:45:00,58,10,1741,58.0,8.83,1740.48
SUEX07-HUB-01,2011-03-07,MON,00:49:00,58,9,1757,58.0,8.83,1756.52
SUEX07-HUB-01,2011-03-07,MON,00:55:00,1697,29,1767,1697.0,32.79,1767.53
SUEX07-HUB-01,2011-03-07,MON,01:00:00,1287,13,1770,1287.0,13.93,1771.53
SUEX07-HUB-01,2011-03-07,MON,01:05:00,4039,10,1752,3706.75,8.83,1752.4
SUEX07-HUB-01,2011-03-07,MON,01:10:00,117,14,1780,117.0,13.93,1780.45
SUEX07-HUB-01,2011-03-07,MON,01:15:00,58,19,1778,58.0,18.86,1780.45
SUEX07-HUB-01,2011-03-07,MON,01:20:00,1112,65,1746,1112.0,64.36,1744.99
SUEX07-HUB-01,2011-03-07,MON,01:25:00,234,28,1746,234.0,24.8,1744.99
SUEX07-HUB-01,2011-03-07,MON,01:30:00,58,88,1740,58.0,83.49,1740.48
SUEX07-HUB-01,2011-03-07,MON,01:35:00,58,65,1680,58.0,64.36,1679.44
SUEX07-HUB-01,2011-03-07,MON,01:40:00,58,13,1711,58.0,13.93,1711.92
SUEX07-HUB-01,2011-03-07,MON,01:45:00,58,21,1677,58.0,18.86,1677.44
SUEX07-HUB-01,2011-03-07,MON,01:50:00,58,22,1670,58.0,24.8,1671.01
SUEX07-HUB-01,2011-03-07,MON,01:55:00,58,22,1706,58.0,24.8,1704.92
SUEX07-HUB-01,2011-03-07,MON,02:00:00,1931,11,1706,1898.6,8.83,1704.92
SUEX07-HUB-01,2011-03-07,MON,02:05:00,2341,27,1666,2341.0,24.8,1667.4
SUEX07-HUB-01,2011-03-07,MON,02:10:00,1756,10,1704,1756.0,8.83,1704.92
SUEX07-HUB-01,2011-03-07,MON,02:15:00,58,13,1701,58.0,13.93,1701.01
SUEX07-HUB-01,2011-03-07,MON,02:20:00,58,11,1672,58.0,8.83,1671.01
SUEX07-HUB-01,2011-03-07,MON,02:25:00,936,29,1704,936.0,32.79,1704.92
SUEX07-HUB-01,2011-03-07,MON,02:30:00,58,15,1697,58.0,13.93,1696.55
SUEX07-HUB-01,2011-03-07,MON,02:35:00,2341,14,1706,2341.0,13.93,1704.92
SUEX07-HUB-01,2011-03-07,MON,02:40:00,585,21,1699,585.0,18.86,1698.51
SUEX07-HUB-01,2011-03-07,MON,02:46:00,58,17,1675,58.0,18.86,1675.0
SUEX07-HUB-01,2011-03-07,MON,02:50:00,58,7,1655,58.0,8.83,1654.52
SUEX07-HUB-01,2011-03-07,MON,02:55:00,58,25,1694,58.0,24.8,1693.52
SUEX07-HUB-01,2011-03-07,MON,03:00:00,58,20,1693,58.0,18.86,1693.52
SUEX07-HUB-01,2011-03-07,MON,03:05:00,1697,29,1664,1697.0,32.79,1664.41
