NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUEX07-MBX-10,2011-03-07,MON,00:30:00,117,16,4740,117.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,00:35:00,292,173,4769,292.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,00:41:00,1580,180,4769,1580.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,00:46:00,117,161,4767,117.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,00:51:00,117,170,4776,117.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,00:56:00,643,156,4790,643.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,01:00:00,409,140,4855,409.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,01:05:00,585,137,5539,585.0,95.42,4374.93
SUEX07-MBX-10,2011-03-07,MON,01:10:00,292,114,6225,292.0,95.42,6439.22
SUEX07-MBX-10,2011-03-07,MON,01:16:00,1053,143,7003,1053.0,95.42,6439.22
SUEX07-MBX-10,2011-03-07,MON,01:20:00,117,194,7904,117.0,280.77,6439.22
SUEX07-MBX-10,2011-03-07,MON,01:26:00,760,113,8596,760.0,95.42,9191.96
SUEX07-MBX-10,2011-03-07,MON,01:30:00,292,74,9210,292.0,95.42,9191.96
SUEX07-MBX-10,2011-03-07,MON,01:35:00,409,67,9830,409.0,95.42,9191.96
SUEX07-MBX-10,2011-03-07,MON,01:41:00,117,52,10386,117.0,95.42,10798.24
SUEX07-MBX-10,2011-03-07,MON,01:45:00,409,39,10832,409.0,95.42,10798.24
SUEX07-MBX-10,2011-03-07,MON,01:50:00,292,50,11277,292.0,95.42,10798.24
SUEX07-MBX-10,2011-03-07,MON,01:56:00,234,49,11747,234.0,95.42,11714.8
SUEX07-MBX-10,2011-03-07,MON,02:00:00,117,37,12063,117.0,95.42,12094.0
SUEX07-MBX-10,2011-03-07,MON,02:05:00,117,42,12399,117.0,95.42,12399.0
