NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
UC-FSRV,2011-03-07,MON,00:30:00,58,16,1562,58.0,14.4,1561.91
UC-FSRV,2011-03-07,MON,00:35:00,117,0,1559,117.0,0.34,1558.96
UC-FSRV,2011-03-07,MON,00:41:00,58,0,1563,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,00:46:00,58,0,1556,58.0,0.34,1556.45
UC-FSRV,2011-03-07,MON,00:51:00,58,0,1558,58.0,0.34,1558.96
UC-FSRV,2011-03-07,MON,00:56:00,58,0,1562,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,01:00:00,58,0,1622,58.0,0.34,1621.23
UC-FSRV,2011-03-07,MON,01:05:00,58,1,1568,58.0,0.34,1567.53
UC-FSRV,2011-03-07,MON,01:10:00,58,0,1569,58.0,0.34,1569.9
UC-FSRV,2011-03-07,MON,01:16:00,643,0,1563,643.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,01:20:00,58,0,1564,58.0,0.34,1565.02
UC-FSRV,2011-03-07,MON,01:26:00,58,0,1569,58.0,0.34,1569.9
UC-FSRV,2011-03-07,MON,01:30:00,58,0,1565,58.0,0.34,1565.02
UC-FSRV,2011-03-07,MON,01:35:00,58,0,1561,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,01:41:00,58,0,1567,58.0,0.34,1567.53
UC-FSRV,2011-03-07,MON,01:45:00,58,6,1558,58.0,0.34,1558.96
UC-FSRV,2011-03-07,MON,01:50:00,58,0,1562,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,01:56:00,58,1,1569,58.0,0.34,1569.9
UC-FSRV,2011-03-07,MON,02:00:00,58,0,1562,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:05:00,58,0,1561,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:11:00,58,0,1566,58.0,0.34,1565.02
UC-FSRV,2011-03-07,MON,02:15:00,117,0,1563,117.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:21:00,58,0,1563,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:25:00,58,0,1568,58.0,0.34,1567.53
UC-FSRV,2011-03-07,MON,02:31:00,585,1,1563,585.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:35:00,58,0,1562,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:40:00,58,0,1567,58.0,0.34,1567.53
UC-FSRV,2011-03-07,MON,02:46:00,58,0,1561,58.0,0.34,1561.91
UC-FSRV,2011-03-07,MON,02:50:00,58,0,1560,58.0,0.34,1558.96
UC-FSRV,2011-03-07,MON,02:55:00,58,0,1563,58.0,0.34,1561.91
