NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
UC-PRQ-01,2011-03-07,MON,00:30:00,58,16,196,58.0,18.29,195.5
UC-PRQ-01,2011-03-07,MON,00:35:00,117,4,197,117.0,3.9,197.54
UC-PRQ-01,2011-03-07,MON,00:41:00,58,4,199,58.0,3.9,199.0
UC-PRQ-01,2011-03-07,MON,00:46:00,204,4,207,204.0,3.9,207.0
UC-PRQ-01,2011-03-07,MON,00:51:00,58,4,207,58.0,3.9,207.0
UC-PRQ-01,2011-03-07,MON,00:56:00,29,4,190,29.0,3.9,190.42
UC-PRQ-01,2011-03-07,MON,01:00:00,292,4,192,292.0,3.9,192.0
UC-PRQ-01,2011-03-07,MON,01:05:00,117,4,191,117.0,3.9,190.42
UC-PRQ-01,2011-03-07,MON,01:10:00,117,4,191,117.0,3.9,190.42
UC-PRQ-01,2011-03-07,MON,01:16:00,117,5,193,117.0,3.9,193.0
UC-PRQ-01,2011-03-07,MON,01:20:00,146,4,195,146.0,3.9,195.5
UC-PRQ-01,2011-03-07,MON,01:26:00,58,4,195,58.0,3.9,195.5
UC-PRQ-01,2011-03-07,MON,01:30:00,117,4,196,117.0,3.9,195.5
UC-PRQ-01,2011-03-07,MON,01:35:00,234,4,199,234.0,3.9,199.0
UC-PRQ-01,2011-03-07,MON,01:41:00,58,4,202,58.0,3.9,202.4
UC-PRQ-01,2011-03-07,MON,01:45:00,204,4,202,204.0,3.9,202.4
UC-PRQ-01,2011-03-07,MON,01:50:00,146,4,203,146.0,3.9,202.4
UC-PRQ-01,2011-03-07,MON,01:56:00,58,5,170,58.0,3.9,170.0
UC-PRQ-01,2011-03-07,MON,02:00:00,117,4,173,117.0,3.9,173.0
UC-PRQ-01,2011-03-07,MON,02:05:00,146,4,171,146.0,3.9,171.0
UC-PRQ-01,2011-03-07,MON,02:11:00,204,5,172,204.0,3.9,172.0
UC-PRQ-01,2011-03-07,MON,02:15:00,58,4,175,58.0,3.9,175.0
UC-PRQ-01,2011-03-07,MON,02:21:00,117,4,175,117.0,3.9,175.0
UC-PRQ-01,2011-03-07,MON,02:25:00,58,4,177,58.0,3.9,177.0
UC-PRQ-01,2011-03-07,MON,02:31:00,58,4,178,58.0,3.9,178.0
UC-PRQ-01,2011-03-07,MON,02:35:00,117,4,177,117.0,3.9,177.0
UC-PRQ-01,2011-03-07,MON,02:40:00,204,4,181,204.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,02:46:00,117,5,181,117.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,02:50:00,146,3,182,146.0,3.9,182.0
UC-PRQ-01,2011-03-07,MON,02:55:00,146,4,170,146.0,3.9,170.0
UC-PRQ-01,2011-03-07,MON,03:01:00,204,5,173,204.0,3.9,173.0
UC-PRQ-01,2011-03-07,MON,03:05:00,29,4,175,29.0,3.9,175.0
UC-PRQ-01,2011-03-07,MON,03:11:00,234,4,172,234.0,3.9,172.0
UC-PRQ-01,2011-03-07,MON,03:16:00,2895,675,366,2712.35,773.89,344.39
UC-PRQ-01,2011-03-07,MON,03:21:00,234,4590,290,234.0,4407.75,297.94
UC-PRQ-01,2011-03-07,MON,03:26:00,117,4,294,117.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:31:00,29,4,296,29.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:35:00,117,4,296,117.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:40:00,146,4,293,146.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:46:00,117,5,293,117.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:51:00,117,4,294,117.0,3.9,297.94
UC-PRQ-01,2011-03-07,MON,03:55:00,204,4,167,204.0,3.9,167.0
UC-PRQ-01,2011-03-07,MON,04:01:00,117,4,172,117.0,3.9,172.0
UC-PRQ-01,2011-03-07,MON,04:05:00,204,4,175,204.0,3.9,175.0
UC-PRQ-01,2011-03-07,MON,04:10:00,117,4,178,117.0,3.9,178.0
UC-PRQ-01,2011-03-07,MON,04:15:00,146,4,180,146.0,3.9,180.0
UC-PRQ-01,2011-03-07,MON,04:21:00,117,4,181,117.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,04:25:00,146,4,181,146.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,04:31:00,204,4,181,204.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,04:37:00,58,5,184,58.0,3.9,184.0
UC-PRQ-01,2011-03-07,MON,04:41:00,58,3,187,58.0,3.9,186.42
UC-PRQ-01,2011-03-07,MON,04:45:00,146,4,186,146.0,3.9,186.42
UC-PRQ-01,2011-03-07,MON,04:50:00,117,4,189,117.0,3.9,189.0
UC-PRQ-01,2011-03-07,MON,04:55:00,146,4,173,146.0,3.9,173.0
UC-PRQ-01,2011-03-07,MON,05:00:00,146,4,175,146.0,3.9,175.0
UC-PRQ-01,2011-03-07,MON,05:06:00,204,3,177,204.0,3.9,177.0
UC-PRQ-01,2011-03-07,MON,05:11:00,117,4,176,117.0,3.9,176.0
UC-PRQ-01,2011-03-07,MON,05:15:00,146,4,180,146.0,3.9,180.0
UC-PRQ-01,2011-03-07,MON,05:20:00,29,4,181,29.0,3.9,181.0
UC-PRQ-01,2011-03-07,MON,05:26:00,146,4,182,146.0,3.9,182.0
UC-PRQ-01,2011-03-07,MON,05:31:00,117,4,182,117.0,3.9,182.0
UC-PRQ-01,2011-03-07,MON,05:36:00,58,4,182,58.0,3.9,182.0
UC-PRQ-01,2011-03-07,MON,05:40:00,117,4,184,117.0,3.9,184.0
UC-PRQ-01,2011-03-07,MON,05:45:00,117,4,184,117.0,3.9,184.0
UC-PRQ-01,2011-03-07,MON,05:50:00,146,4,183,146.0,3.9,183.0
UC-PRQ-01,2011-03-07,MON,05:56:00,204,5,157,204.0,3.9,157.0
UC-PRQ-01,2011-03-07,MON,06:01:00,117,4,162,117.0,3.9,162.0
UC-PRQ-01,2011-03-07,MON,06:05:00,146,4,164,146.0,3.9,164.0
UC-PRQ-01,2011-03-07,MON,06:11:00,29,5,169,29.0,3.9,169.0
UC-PRQ-01,2011-03-07,MON,06:16:00,497,4,174,497.0,3.9,174.0
UC-PRQ-01,2011-03-07,MON,06:20:00,234,4,175,234.0,3.9,175.0
