NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
UPDATES-01,2011-03-07,MON,00:30:00,117,16,1063,117.0,15.71,1063.57
UPDATES-01,2011-03-07,MON,00:35:00,117,5,1064,117.0,3.56,1063.57
UPDATES-01,2011-03-07,MON,00:41:00,58,12,1058,58.0,15.71,1058.0
UPDATES-01,2011-03-07,MON,00:46:00,146,227,1058,146.0,234.6,1058.0
UPDATES-01,2011-03-07,MON,00:51:00,146,36,1059,146.0,30.97,1058.0
UPDATES-01,2011-03-07,MON,00:56:00,58,4,1060,58.0,3.56,1060.42
UPDATES-01,2011-03-07,MON,01:00:00,117,5,1062,117.0,3.56,1062.0
UPDATES-01,2011-03-07,MON,01:05:00,234,9,1061,234.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,01:10:00,117,451,1059,117.0,454.37,1058.0
UPDATES-01,2011-03-07,MON,01:16:00,146,11,1061,146.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,01:20:00,234,6,1060,234.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,01:26:00,58,28,1062,58.0,30.97,1062.0
UPDATES-01,2011-03-07,MON,01:30:00,204,13,1060,204.0,15.71,1060.42
UPDATES-01,2011-03-07,MON,01:35:00,146,9,1060,146.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,01:41:00,1345,14,1059,1411.17,15.71,1058.0
UPDATES-01,2011-03-07,MON,01:45:00,146,213,1058,146.0,219.08,1058.0
UPDATES-01,2011-03-07,MON,01:50:00,117,11,1060,117.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,01:56:00,117,10,1060,117.0,7.94,1060.42
UPDATES-01,2011-03-07,MON,02:00:00,117,588,1061,117.0,584.13,1060.42
UPDATES-01,2011-03-07,MON,02:05:00,1170,26,1059,1085.89,21.91,1058.0
UPDATES-01,2011-03-07,MON,02:11:00,58,159,1062,58.0,161.31,1062.0
