NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
WHIT-FSRV,2011-03-07,MON,00:30:00,58,16,1649,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,00:35:00,58,83,1695,58.0,133.04,1695.58
WHIT-FSRV,2011-03-07,MON,00:41:00,58,112,1691,58.0,133.04,1691.59
WHIT-FSRV,2011-03-07,MON,00:46:00,58,113,1650,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,00:51:00,58,242,1651,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,00:56:00,58,112,1653,58.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,01:00:00,58,83,1651,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,01:05:00,409,136,1661,409.0,133.04,1659.82
WHIT-FSRV,2011-03-07,MON,01:10:00,58,108,1658,58.0,133.04,1658.0
WHIT-FSRV,2011-03-07,MON,01:16:00,58,115,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,01:20:00,409,98,1653,409.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,01:26:00,58,151,1658,58.0,133.04,1658.0
WHIT-FSRV,2011-03-07,MON,01:30:00,58,92,1649,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,01:35:00,58,110,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,01:41:00,58,114,1653,58.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,01:45:00,58,109,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,01:50:00,117,112,1647,117.0,133.04,1645.09
WHIT-FSRV,2011-03-07,MON,01:56:00,58,94,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,02:00:00,58,95,1651,58.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,02:05:00,58,113,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,02:11:00,234,153,1655,234.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,02:15:00,58,113,1657,58.0,133.04,1657.0
WHIT-FSRV,2011-03-07,MON,02:21:00,58,112,1655,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,02:26:00,58,123,1659,58.0,133.04,1659.82
WHIT-FSRV,2011-03-07,MON,02:31:00,58,106,1656,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,02:35:00,58,74,1654,58.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,02:40:00,409,268,1649,409.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,02:46:00,58,133,1657,58.0,133.04,1657.0
WHIT-FSRV,2011-03-07,MON,02:50:00,936,74,1649,936.0,133.04,1649.81
WHIT-FSRV,2011-03-07,MON,02:55:00,58,105,1657,58.0,133.04,1657.0
WHIT-FSRV,2011-03-07,MON,03:01:00,58,97,1654,58.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,03:05:00,58,87,1656,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,03:11:00,58,150,1656,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,03:16:00,58,77,1656,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,03:21:00,117,112,1654,117.0,133.04,1653.09
WHIT-FSRV,2011-03-07,MON,03:26:00,585,115,1659,585.0,133.04,1659.82
WHIT-FSRV,2011-03-07,MON,03:31:00,58,88,1656,58.0,133.04,1655.48
WHIT-FSRV,2011-03-07,MON,03:35:00,58,90,1656,58.0,133.04,1655.48
