NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
WHIT-PRQ-01,2011-03-07,MON,00:30:00,205,16,457,205.0,43.32,457.0
WHIT-PRQ-01,2011-03-07,MON,00:35:00,117,77,432,117.0,43.32,432.55
WHIT-PRQ-01,2011-03-07,MON,00:41:00,234,254,464,234.0,393.94,464.99
WHIT-PRQ-01,2011-03-07,MON,00:46:00,322,177,450,322.0,43.32,450.0
WHIT-PRQ-01,2011-03-07,MON,00:51:00,234,165,437,234.0,43.32,436.5
WHIT-PRQ-01,2011-03-07,MON,00:56:00,58,219,452,58.0,43.32,452.0
WHIT-PRQ-01,2011-03-07,MON,01:00:00,556,1,454,560.35,43.32,453.48
WHIT-PRQ-01,2011-03-07,MON,01:05:00,58,12,436,58.0,43.32,436.5
WHIT-PRQ-01,2011-03-07,MON,01:10:00,1464,15,469,1433.35,43.32,469.0
WHIT-PRQ-01,2011-03-07,MON,01:16:00,527,15,462,527.0,43.32,462.49
WHIT-PRQ-01,2011-03-07,MON,01:20:00,556,201,451,560.35,43.32,451.0
WHIT-PRQ-01,2011-03-07,MON,01:26:00,468,77,466,468.0,43.32,464.99
WHIT-PRQ-01,2011-03-07,MON,01:30:00,234,54,459,234.0,43.32,459.0
WHIT-PRQ-01,2011-03-07,MON,01:35:00,322,16,435,322.0,43.32,434.53
WHIT-PRQ-01,2011-03-07,MON,01:41:00,439,1,458,430.39,43.32,458.0
WHIT-PRQ-01,2011-03-07,MON,01:45:00,292,46,452,292.0,43.32,452.0
WHIT-PRQ-01,2011-03-07,MON,01:50:00,234,23,433,234.0,43.32,432.55
WHIT-PRQ-01,2011-03-07,MON,01:56:00,380,21,456,380.0,43.32,455.52
WHIT-PRQ-01,2011-03-07,MON,02:00:00,58,185,458,58.0,43.32,458.0
WHIT-PRQ-01,2011-03-07,MON,02:05:00,234,8,441,234.0,43.32,440.53
WHIT-PRQ-01,2011-03-07,MON,02:11:00,292,3,459,292.0,43.32,459.0
WHIT-PRQ-01,2011-03-07,MON,02:15:00,205,3,460,205.0,43.32,460.55
WHIT-PRQ-01,2011-03-07,MON,02:21:00,322,73,440,322.0,43.32,440.53
