WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,292.0,6.38,335.39,1670.72,1670.72
MON,08:44:00,0.0,292.0,6.38,335.39,1670.72,1670.72
MON,08:49:00,0.0,117.0,6.38,335.39,1670.72,1670.72
MON,08:54:00,0.0,117.0,6.38,335.39,1670.72,1670.72
MON,08:59:00,234.0,0.0,261.65,261.65,1681.41,1681.41
MON,09:04:00,0.0,0.0,6.38,6.38,1670.72,1670.72
MON,09:09:00,468.0,468.0,6.38,6.38,1681.41,1681.41
MON,09:14:00,0.0,117.0,6.38,6.38,1651.03,1651.03
MON,09:19:00,0.0,117.0,6.38,101.65,1651.03,1651.03
MON,09:24:00,0.0,0.0,6.38,101.65,1651.03,1651.03
MON,09:29:00,0.0,0.0,6.38,101.65,1670.72,1670.72
MON,09:34:00,0.0,292.0,101.65,101.65,1670.72,1670.72
MON,09:39:00,0.0,117.0,101.65,101.65,1681.41,1681.41
MON,09:44:00,117.0,0.0,6.38,101.65,1681.41,1681.41
MON,09:49:00,0.0,58.0,101.65,101.65,1681.41,1681.41
MON,09:54:00,292.0,58.0,101.65,101.65,1681.41,1681.41
MON,09:59:00,234.0,58.0,6.38,101.65,1690.56,1690.56
MON,10:04:00,0.0,234.0,101.65,101.65,1690.56,1690.56
MON,10:09:00,0.0,0.0,6.38,101.65,1704.42,1704.42
MON,10:14:00,0.0,117.0,101.65,101.65,1698.13,1698.13
MON,10:19:00,468.0,468.0,6.38,101.65,1698.13,1698.13
MON,10:24:00,0.0,292.0,6.38,101.65,1704.42,1704.42
MON,10:29:00,0.0,409.0,6.38,101.65,1698.13,1698.13
MON,10:34:00,117.0,117.0,101.65,101.65,1698.13,1698.13
MON,10:39:00,0.0,292.0,6.38,101.65,1704.42,1704.42
MON,10:44:00,0.0,409.0,6.38,101.65,1681.41,1681.41
MON,10:49:00,0.0,0.0,6.38,101.65,1704.42,1704.42
MON,10:54:00,0.0,292.0,6.38,6.38,1698.13,1698.13
MON,10:59:00,117.0,409.0,6.38,101.65,1698.13,1698.13
MON,11:04:00,0.0,292.0,6.38,6.38,1698.13,1698.13
MON,11:09:00,117.0,0.0,6.38,101.65,1704.42,1704.42
MON,11:14:00,409.0,409.0,870.97,870.97,1724.97,1724.97
MON,11:19:00,0.0,292.0,642.06,642.06,1709.96,1709.96
MON,11:24:00,0.0,0.0,335.39,335.39,1714.19,1714.19
MON,11:29:00,0.0,0.0,6.38,101.65,1709.96,1709.96
MON,11:34:00,117.0,117.0,101.65,101.65,1721.42,1721.42
MON,11:39:00,0.0,0.0,101.65,101.65,1714.19,1714.19
MON,11:44:00,0.0,0.0,261.65,101.65,1690.56,1690.56
MON,11:49:00,0.0,234.0,261.65,101.65,1690.56,1690.56
MON,11:54:00,0.0,292.0,180.0,180.0,1698.13,1698.13
