WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,204.0,204.0,0.32,13.54,272.0,275.0
MON,08:44:00,204.0,204.0,0.32,0.32,272.0,272.0
MON,08:49:00,0.0,234.0,0.32,0.32,262.0,274.0
MON,08:54:00,58.0,58.0,0.32,4.57,265.0,276.0
MON,08:59:00,117.0,29.0,0.32,0.32,265.0,268.0
MON,09:04:00,58.0,29.0,0.32,0.32,265.0,273.0
MON,09:09:00,117.0,117.0,0.32,31.07,259.0,275.0
MON,09:14:00,117.0,0.0,0.32,0.32,261.0,261.0
MON,09:19:00,204.0,0.0,0.32,0.32,262.0,262.0
MON,09:24:00,0.0,0.0,0.32,13.54,263.0,263.0
MON,09:29:00,117.0,58.0,4.57,0.32,263.0,263.0
MON,09:34:00,117.0,117.0,0.32,0.32,257.0,257.0
MON,09:39:00,0.0,146.0,0.32,0.32,261.0,261.0
MON,09:44:00,146.0,58.0,4.57,13.54,261.0,261.0
MON,09:49:00,58.0,0.0,0.32,0.32,263.0,263.0
MON,09:54:00,0.0,0.0,0.32,0.32,253.0,262.0
MON,09:59:00,146.0,146.0,0.32,0.32,254.0,254.0
MON,10:04:00,117.0,117.0,0.32,0.32,257.0,257.0
MON,10:09:00,146.0,146.0,4.57,0.32,262.0,263.0
MON,10:14:00,146.0,146.0,0.32,0.32,261.0,261.0
MON,10:19:00,0.0,0.0,4.57,0.32,261.0,261.0
MON,10:24:00,0.0,58.0,8.97,0.32,263.0,263.0
MON,10:29:00,117.0,117.0,99.25,99.25,262.0,262.0
MON,10:34:00,146.0,0.0,0.32,0.32,262.0,262.0
MON,10:39:00,0.0,58.0,0.32,16.52,262.0,262.0
MON,10:44:00,58.0,204.0,0.32,13.54,264.0,264.0
MON,10:49:00,58.0,0.0,0.32,0.32,253.0,253.0
MON,10:54:00,117.0,146.0,0.32,22.47,263.0,263.0
MON,10:59:00,58.0,204.0,0.32,0.32,266.0,266.0
MON,11:04:00,58.0,204.0,0.32,0.32,271.0,271.0
MON,11:09:00,146.0,146.0,0.32,16.52,267.0,267.0
MON,11:14:00,117.0,146.0,13.54,13.54,272.0,272.0
MON,11:19:00,58.0,204.0,0.32,13.54,265.0,265.0
MON,11:24:00,117.0,204.0,0.32,0.32,267.0,267.0
MON,11:29:00,0.0,58.0,0.32,16.52,267.0,267.0
MON,11:34:00,146.0,204.0,4.57,13.54,274.0,274.0
MON,11:39:00,0.0,58.0,0.32,13.54,255.0,255.0
MON,11:44:00,58.0,146.0,0.32,13.54,257.0,257.0
MON,11:49:00,0.0,117.0,4.57,13.54,257.0,257.0
MON,11:54:00,58.0,146.0,0.32,13.54,264.0,264.0
MON,11:59:00,117.0,146.0,4.57,4.57,265.0,265.0
MON,12:04:00,0.0,117.0,4.57,13.54,264.0,264.0
MON,12:09:00,117.0,117.0,0.32,0.32,265.0,265.0
MON,12:14:00,117.0,117.0,0.32,4.57,264.0,265.0
MON,12:19:00,117.0,58.0,0.32,18.49,264.0,264.0
MON,12:24:00,117.0,117.0,0.32,13.54,264.0,264.0
MON,12:29:00,0.0,146.0,0.32,0.32,272.0,262.0
MON,12:34:00,117.0,58.0,0.32,13.54,265.0,265.0
MON,12:39:00,0.0,0.0,0.32,13.54,255.0,255.0
MON,12:44:00,0.0,146.0,4.57,13.54,256.0,256.0
MON,12:49:00,0.0,0.0,0.32,13.54,258.0,258.0
MON,12:54:00,117.0,58.0,0.32,13.54,265.0,265.0
MON,12:59:00,0.0,117.0,0.32,0.32,265.0,265.0
MON,13:04:00,0.0,117.0,0.32,0.32,264.0,264.0
MON,13:09:00,58.0,117.0,0.32,4.57,265.0,265.0
MON,13:14:00,146.0,117.0,0.32,0.32,265.0,266.0
MON,13:19:00,58.0,0.0,4.57,0.32,265.0,262.0
MON,13:24:00,0.0,204.0,0.32,4.57,264.0,264.0
MON,13:29:00,58.0,146.0,0.32,0.32,265.0,264.0
MON,13:34:00,0.0,0.0,0.32,0.32,265.0,265.0
MON,13:39:00,58.0,0.0,0.32,0.32,254.0,266.0
MON,13:44:00,58.0,204.0,0.32,0.32,255.0,255.0
MON,13:49:00,0.0,0.0,0.32,0.32,257.0,257.0
MON,13:54:00,0.0,0.0,0.32,0.32,264.0,257.0
MON,13:59:00,146.0,117.0,0.32,0.32,265.0,265.0
MON,14:04:00,0.0,0.0,0.32,0.32,264.0,264.0
MON,14:09:00,0.0,146.0,0.32,0.32,265.0,265.0
MON,14:14:00,0.0,146.0,0.32,0.32,265.0,265.0
MON,14:19:00,117.0,117.0,0.32,0.32,264.0,264.0
MON,14:24:00,0.0,29.0,8.97,0.32,265.0,265.0
MON,14:29:00,0.0,146.0,0.32,0.32,264.0,264.0
MON,14:34:00,117.0,117.0,47.87,47.87,264.0,264.0
MON,14:39:00,58.0,58.0,13.54,13.54,254.0,254.0
MON,14:44:00,117.0,146.0,0.32,0.32,256.0,256.0
MON,14:49:00,0.0,0.0,0.32,13.54,256.0,256.0
MON,14:54:00,117.0,117.0,0.32,0.32,265.0,265.0
MON,14:59:00,117.0,146.0,0.32,0.32,265.0,265.0
MON,15:04:00,58.0,58.0,0.32,13.54,265.0,265.0
MON,15:09:00,146.0,204.0,0.32,0.32,266.0,266.0
MON,15:14:00,146.0,146.0,0.32,0.32,265.0,265.0
MON,15:19:00,58.0,58.0,4.57,0.32,266.0,266.0
MON,15:24:00,117.0,117.0,4.57,13.54,264.0,264.0
MON,15:29:00,58.0,0.0,0.32,0.32,266.0,266.0
MON,15:34:00,0.0,204.0,0.32,13.54,266.0,266.0
MON,15:39:00,58.0,0.0,0.32,0.32,253.0,253.0
MON,15:44:00,58.0,146.0,0.32,13.54,257.0,257.0
MON,15:49:00,204.0,146.0,0.32,0.32,270.0,270.0
MON,15:54:00,0.0,117.0,13.54,13.54,276.0,264.0
MON,15:59:00,117.0,117.0,0.32,13.54,270.0,270.0
MON,16:04:00,146.0,146.0,0.32,13.54,270.0,264.0
MON,16:09:00,117.0,146.0,0.32,0.32,270.0,270.0
MON,16:14:00,29.0,29.0,8.97,13.54,270.0,270.0
