WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,117.0,419.52,419.52,1251.08,1251.08
MON,08:44:00,0.0,0.0,3.56,209.29,1259.65,1259.65
MON,08:49:00,117.0,761.0,3.56,209.29,1251.08,1251.08
MON,08:54:00,0.0,0.0,3.56,93.97,1251.08,1251.08
MON,08:59:00,0.0,1112.0,3.56,93.97,1259.65,1259.65
MON,09:04:00,117.0,468.0,327.3,327.3,1255.53,1255.53
MON,09:09:00,0.0,2144.18,3.56,93.97,1255.53,1255.53
MON,09:14:00,0.0,234.0,209.29,93.97,1259.65,1259.65
MON,09:19:00,1719.39,1719.39,3.56,327.3,1259.65,1259.65
MON,09:24:00,0.0,0.0,3.56,93.97,1255.53,1251.08
MON,09:29:00,1719.39,2144.18,3.56,209.29,1259.65,1259.65
MON,09:34:00,0.0,117.0,3.56,93.97,1259.65,1259.65
MON,09:39:00,117.0,2144.18,93.97,93.97,1262.46,1251.08
MON,09:44:00,0.0,0.0,745.48,745.48,1266.53,1255.53
MON,09:49:00,1719.39,2144.18,3.56,93.97,1275.84,1255.53
MON,09:54:00,117.0,117.0,745.48,745.48,1272.06,1259.65
MON,09:59:00,117.0,2144.18,209.29,93.97,1282.0,1259.65
MON,10:04:00,0.0,0.0,608.03,608.03,1291.5,1259.65
MON,10:09:00,0.0,2144.18,3.56,93.97,1291.5,1291.5
MON,10:14:00,0.0,234.0,3.56,93.97,1291.5,1291.5
MON,10:19:00,234.0,234.0,93.97,209.29,1308.0,1308.0
MON,10:24:00,0.0,0.0,93.97,93.97,1287.91,1287.91
MON,10:29:00,1053.0,1053.0,93.97,93.97,1295.7,1295.7
MON,10:34:00,409.0,117.0,327.3,327.3,1291.5,1291.5
MON,10:39:00,936.0,936.0,745.48,745.48,1291.5,1291.5
MON,10:44:00,0.0,0.0,3.56,93.97,1300.45,1300.45
MON,10:49:00,0.0,1719.39,93.97,93.97,1303.95,1303.95
MON,10:54:00,468.0,468.0,209.29,209.29,1300.45,1300.45
MON,10:59:00,0.0,468.0,209.29,209.29,1303.95,1303.95
MON,11:04:00,643.0,643.0,3.56,93.97,1300.45,1300.45
MON,11:09:00,0.0,2144.18,3.56,93.97,1295.7,1295.7
MON,11:14:00,0.0,0.0,3.56,209.29,1319.98,1319.98
