WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,59.0,388.0,0.05,0.05,267.0,267.0
MON,08:44:00,59.0,239.0,0.05,0.05,262.0,262.0
MON,08:49:00,461.17,461.17,0.05,0.05,264.0,264.0
MON,08:54:00,119.0,59.0,0.05,0.05,267.0,267.0
MON,08:59:00,149.0,953.12,0.05,0.05,271.0,268.0
MON,09:04:00,119.0,119.0,0.05,0.05,267.0,269.0
MON,09:09:00,59.0,299.0,0.05,0.05,264.0,268.0
MON,09:14:00,149.0,149.0,0.05,0.05,265.0,265.0
MON,09:19:00,119.0,461.17,0.05,0.05,266.0,266.0
MON,09:24:00,149.0,59.0,0.05,0.05,267.0,263.0
MON,09:29:00,684.79,684.79,0.05,0.05,268.0,268.0
MON,09:34:00,119.0,149.0,0.05,0.05,267.0,269.0
MON,09:39:00,149.0,461.17,0.05,0.05,267.0,267.0
MON,09:44:00,59.0,59.0,3.01,0.05,273.0,267.0
MON,09:49:00,149.0,299.0,0.05,0.05,268.0,264.0
MON,09:54:00,0.0,29.0,0.05,0.05,262.0,265.0
MON,09:59:00,953.12,953.12,0.05,0.05,264.0,263.0
MON,10:04:00,59.0,149.0,3.01,0.05,265.0,264.0
MON,10:09:00,684.79,299.0,0.05,0.05,267.0,264.0
MON,10:14:00,149.0,209.0,0.05,0.05,266.0,262.0
MON,10:19:00,388.0,461.17,0.05,0.05,267.0,264.0
MON,10:24:00,149.0,209.0,3.01,0.05,267.0,267.0
MON,10:29:00,119.0,684.79,0.05,0.05,267.0,267.0
MON,10:34:00,209.0,209.0,0.05,0.05,268.0,265.0
MON,10:39:00,149.0,461.17,0.05,0.05,268.0,266.0
MON,10:44:00,0.0,149.0,40.5,40.5,262.0,262.0
MON,10:49:00,59.0,461.17,0.05,0.05,266.0,265.0
MON,10:54:00,209.0,119.0,0.05,0.05,267.0,268.0
MON,10:59:00,0.0,239.0,0.05,0.05,267.0,267.0
MON,11:04:00,119.0,149.0,0.05,0.05,267.0,268.0
MON,11:09:00,461.17,461.17,0.05,0.05,268.0,264.0
MON,11:14:00,388.0,329.0,0.05,0.05,274.0,265.0
MON,11:19:00,119.0,461.17,0.05,0.05,269.0,269.0
MON,11:24:00,59.0,209.0,0.05,0.05,268.0,267.0
MON,11:29:00,149.0,209.0,0.05,0.05,277.0,268.0
MON,11:34:00,119.0,149.0,0.05,0.05,263.0,263.0
MON,11:39:00,551.39,551.39,0.05,5.94,266.0,266.0
MON,11:44:00,119.0,149.0,0.05,0.05,266.0,266.0
MON,11:49:00,461.17,461.17,0.05,5.94,266.0,266.0
MON,11:54:00,59.0,209.0,0.05,0.05,267.0,267.0
MON,11:59:00,209.0,149.0,0.05,0.05,271.0,264.0
MON,12:04:00,209.0,0.0,0.05,5.94,267.0,266.0
MON,12:09:00,119.0,461.17,0.05,0.05,267.0,266.0
MON,12:14:00,209.0,119.0,0.05,5.94,267.0,267.0
MON,12:19:00,461.17,551.39,0.05,0.05,267.0,269.0
MON,12:24:00,149.0,119.0,3.01,5.94,268.0,268.0
MON,12:29:00,59.0,209.0,0.05,0.05,275.0,268.0
MON,12:34:00,149.0,0.0,0.05,0.05,262.0,262.0
MON,12:39:00,119.0,461.17,0.05,0.05,266.0,266.0
MON,12:44:00,149.0,29.0,0.05,0.05,266.0,268.0
MON,12:49:00,329.0,329.0,0.05,0.05,266.0,266.0
MON,12:54:00,119.0,59.0,0.05,0.05,268.0,267.0
MON,12:59:00,0.0,684.79,0.05,0.05,267.0,268.0
MON,13:04:00,209.0,119.0,0.05,0.05,267.0,266.0
MON,13:09:00,0.0,461.17,0.05,0.05,268.0,269.0
MON,13:14:00,119.0,209.0,0.05,0.05,267.0,267.0
MON,13:19:00,239.0,388.0,0.05,0.05,267.0,267.0
MON,13:24:00,59.0,209.0,0.05,0.05,268.0,266.0
MON,13:29:00,149.0,684.79,0.05,0.05,268.0,268.0
MON,13:34:00,119.0,149.0,0.05,0.05,262.0,267.0
MON,13:39:00,59.0,388.0,0.05,0.05,266.0,266.0
MON,13:44:00,0.0,119.0,0.05,0.05,266.0,267.0
MON,13:49:00,0.0,299.0,0.05,0.05,266.0,266.0
MON,13:54:00,59.0,299.0,0.05,0.05,267.0,266.0
MON,13:59:00,119.0,684.79,0.05,0.05,267.0,268.0
MON,14:04:00,59.0,239.0,0.05,0.05,267.0,267.0
MON,14:09:00,239.0,461.17,0.05,0.05,268.0,268.0
MON,14:14:00,149.0,149.0,0.05,0.05,267.0,267.0
MON,14:19:00,149.0,461.17,0.05,0.05,267.0,267.0
MON,14:24:00,119.0,239.0,0.05,0.05,267.0,267.0
MON,14:29:00,0.0,684.79,0.05,0.05,268.0,268.0
MON,14:34:00,119.0,149.0,0.05,0.05,260.0,267.0
MON,14:39:00,149.0,461.17,0.05,0.05,267.0,267.0
MON,14:44:00,119.0,299.0,174.75,174.75,265.0,265.0
MON,14:49:00,119.0,119.0,0.05,0.05,265.0,265.0
MON,14:54:00,119.0,149.0,0.05,0.05,272.0,272.0
MON,14:59:00,149.0,149.0,0.05,5.94,267.0,267.0
MON,15:04:00,299.0,299.0,0.05,0.05,272.0,272.0
MON,15:09:00,299.0,299.0,0.05,0.05,268.0,268.0
MON,15:14:00,209.0,239.0,0.05,0.05,267.0,267.0
MON,15:19:00,0.0,149.0,0.05,0.05,267.0,267.0
MON,15:24:00,119.0,119.0,0.05,0.05,267.0,267.0
MON,15:29:00,684.79,684.79,0.05,0.05,268.0,269.0
MON,15:34:00,149.0,0.0,0.05,0.05,265.0,265.0
MON,15:39:00,119.0,209.0,0.05,0.05,265.0,265.0
MON,15:44:00,59.0,59.0,0.05,0.05,265.0,265.0
MON,15:49:00,209.0,209.0,0.05,0.05,268.0,268.0
MON,15:54:00,209.0,209.0,0.05,0.05,267.0,267.0
MON,15:59:00,684.79,684.79,0.05,0.05,267.0,267.0
MON,16:04:00,0.0,209.0,0.05,0.05,267.0,267.0
MON,16:09:00,461.17,461.17,0.05,0.05,267.0,267.0
MON,16:14:00,209.0,59.0,0.05,0.05,267.0,267.0
MON,16:19:00,59.0,239.0,0.05,0.05,274.0,268.0
MON,16:24:00,59.0,119.0,0.05,0.05,268.0,268.0
MON,16:29:00,299.0,299.0,0.05,0.05,271.0,270.0
MON,16:34:00,149.0,59.0,3.01,0.05,265.0,264.0
MON,16:39:00,149.0,461.17,345.25,345.25,264.0,264.0
MON,16:44:00,149.0,59.0,0.05,0.05,265.0,265.0
MON,16:49:00,119.0,119.0,0.05,0.05,266.0,266.0
MON,16:54:00,0.0,0.0,0.05,0.05,267.0,267.0
MON,16:59:00,299.0,299.0,0.05,0.05,269.0,268.0
MON,17:04:00,59.0,119.0,0.05,0.05,267.0,267.0
MON,17:09:00,149.0,149.0,0.05,0.05,267.0,267.0
MON,17:14:00,119.0,149.0,0.05,0.05,267.0,267.0
MON,17:19:00,119.0,119.0,0.05,0.05,267.0,267.0
MON,17:24:00,149.0,149.0,0.05,0.05,268.0,268.0
MON,17:29:00,953.12,684.79,0.05,0.05,267.0,267.0
MON,17:34:00,0.0,0.0,0.05,0.05,265.0,265.0
MON,17:39:00,461.17,461.17,0.05,0.05,262.0,267.0
MON,17:44:00,0.0,59.0,0.05,0.05,264.0,264.0
MON,17:49:00,149.0,551.39,0.05,0.05,264.0,264.0
MON,17:54:00,0.0,0.0,0.05,0.05,266.0,266.0
MON,17:59:00,119.0,119.0,0.05,0.05,266.0,266.0
MON,18:04:00,59.0,59.0,0.05,0.05,266.0,266.0
MON,18:09:00,119.0,461.17,0.05,0.05,267.0,267.0
MON,18:14:00,119.0,119.0,0.05,0.05,267.0,267.0
MON,18:19:00,59.0,59.0,0.05,0.05,269.0,266.0
MON,18:24:00,119.0,119.0,0.05,0.05,267.0,267.0
MON,18:29:00,59.0,551.39,0.05,0.05,267.0,267.0
MON,18:34:00,59.0,59.0,0.05,0.05,264.0,264.0
MON,18:39:00,0.0,329.0,0.05,0.05,263.0,265.0
MON,18:44:00,0.0,0.0,0.05,0.05,264.0,264.0
MON,18:49:00,551.39,388.0,0.05,0.05,265.0,264.0
MON,18:54:00,149.0,119.0,0.05,0.05,266.0,264.0
MON,18:59:00,0.0,684.79,0.05,0.05,267.0,264.0
MON,19:04:00,59.0,0.0,0.05,0.05,266.0,267.0
MON,19:09:00,59.0,329.0,0.05,0.05,268.0,265.0
MON,19:14:00,0.0,0.0,0.05,0.05,268.0,267.0
MON,19:19:00,119.0,461.17,0.05,0.05,267.0,267.0
MON,19:24:00,209.0,209.0,0.05,0.05,267.0,267.0
MON,19:29:00,59.0,684.79,0.05,0.05,268.0,268.0
MON,19:34:00,59.0,149.0,0.05,0.05,264.0,264.0
MON,19:39:00,59.0,388.0,0.05,0.05,262.0,265.0
MON,19:44:00,0.0,59.0,0.05,0.05,264.0,264.0
MON,19:49:00,388.0,388.0,0.05,0.05,265.0,265.0
MON,19:54:00,0.0,209.0,0.05,0.05,266.0,266.0
MON,19:59:00,149.0,684.79,0.05,0.05,266.0,268.0
MON,20:04:00,119.0,239.0,0.05,0.05,266.0,266.0
MON,20:09:00,684.79,684.79,0.05,0.05,273.0,273.0
MON,20:14:00,59.0,119.0,0.05,0.05,267.0,265.0
MON,20:19:00,461.17,461.17,0.05,0.05,266.0,266.0
MON,20:24:00,119.0,119.0,0.05,0.05,272.0,266.0
MON,20:29:00,149.0,684.79,0.05,0.05,272.0,267.0
MON,20:34:00,119.0,119.0,0.05,0.05,266.0,264.0
MON,20:39:00,149.0,461.17,0.05,0.05,266.0,264.0
MON,20:44:00,0.0,0.0,0.05,0.05,264.0,265.0
MON,20:49:00,149.0,329.0,0.05,0.05,265.0,265.0
MON,20:54:00,119.0,59.0,0.05,0.05,267.0,266.0
MON,20:59:00,149.0,684.79,0.05,0.05,267.0,268.0
MON,21:04:00,119.0,0.0,0.05,0.05,266.0,266.0
MON,21:09:00,119.0,461.17,0.05,0.05,267.0,264.0
MON,21:14:00,119.0,149.0,0.05,0.05,267.0,273.0
MON,21:19:00,119.0,461.17,0.05,0.05,268.0,269.0
MON,21:24:00,59.0,209.0,0.05,0.05,268.0,269.0
MON,21:29:00,119.0,684.79,0.05,0.05,267.0,264.0
MON,21:34:00,119.0,119.0,0.05,0.05,264.0,269.0
MON,21:39:00,149.0,461.17,0.05,0.05,266.0,265.0
MON,21:44:00,59.0,0.0,0.05,0.05,264.0,264.0
MON,21:49:00,119.0,551.39,0.05,0.05,265.0,265.0
MON,21:54:00,119.0,299.0,0.05,0.05,266.0,266.0
MON,21:59:00,684.79,684.79,0.05,0.05,266.0,266.0
MON,22:04:00,209.0,209.0,0.05,0.05,266.0,266.0
MON,22:09:00,119.0,388.0,0.05,0.05,267.0,268.0
MON,22:14:00,59.0,119.0,0.05,0.05,268.0,269.0
MON,22:19:00,149.0,461.17,0.05,0.05,267.0,267.0
MON,22:24:00,119.0,239.0,0.05,0.05,268.0,267.0
MON,22:29:00,119.0,684.79,0.05,0.05,267.0,267.0
MON,22:34:00,59.0,29.0,0.05,0.05,265.0,269.0
MON,22:39:00,119.0,388.0,0.05,0.05,267.0,265.0
MON,22:44:00,149.0,209.0,0.05,0.05,264.0,264.0
MON,22:49:00,149.0,388.0,0.05,0.05,266.0,266.0
MON,22:54:00,119.0,239.0,0.05,0.05,267.0,267.0
MON,22:59:00,59.0,684.79,0.05,0.05,266.0,269.0
MON,23:04:00,119.0,149.0,0.05,0.05,267.0,269.0
MON,23:09:00,461.17,461.17,0.05,0.05,268.0,268.0
MON,23:14:00,149.0,29.0,0.05,0.05,268.0,269.0
MON,23:19:00,119.0,461.17,0.05,0.05,268.0,266.0
MON,23:24:00,149.0,29.0,0.05,0.05,268.0,266.0
MON,23:29:00,684.79,684.79,0.05,0.05,267.0,268.0
MON,23:34:00,119.0,119.0,0.05,0.05,264.0,267.0
MON,23:39:00,209.0,461.17,0.05,0.05,268.0,265.0
MON,23:44:00,0.0,239.0,0.05,0.05,264.0,264.0
MON,23:49:00,299.0,299.0,0.05,0.05,264.0,265.0
MON,23:54:00,59.0,239.0,0.05,0.05,267.0,267.0
MON,23:59:00,209.0,684.79,0.05,0.05,267.0,267.0
TUE,00:04:00,149.0,149.0,0.05,0.05,267.0,268.0
TUE,00:09:00,119.0,461.17,0.05,0.05,267.0,266.0
TUE,00:14:00,0.0,119.0,0.05,0.05,267.0,267.0
TUE,00:19:00,59.0,329.0,0.05,0.05,267.0,267.0
TUE,00:24:00,149.0,149.0,0.05,0.05,267.0,267.0
TUE,00:29:00,59.0,684.79,0.05,0.05,267.0,267.0
TUE,00:34:00,119.0,59.0,0.05,0.05,264.0,268.0
TUE,00:39:00,119.0,461.17,0.05,0.05,266.0,265.0
TUE,00:44:00,59.0,119.0,0.05,0.05,262.0,265.0
TUE,00:49:00,59.0,461.17,0.05,0.05,265.0,266.0
TUE,00:54:00,59.0,119.0,0.05,0.05,267.0,264.0
TUE,00:59:00,684.79,684.79,0.05,0.05,267.0,267.0
TUE,01:04:00,119.0,149.0,0.05,0.05,267.0,267.0
TUE,01:09:00,461.17,551.39,0.05,0.05,267.0,267.0
TUE,01:14:00,149.0,239.0,0.05,0.05,268.0,268.0
TUE,01:19:00,59.0,388.0,0.05,0.05,268.0,267.0
TUE,01:24:00,149.0,119.0,0.05,0.05,268.0,268.0
TUE,01:29:00,119.0,684.79,0.05,0.05,268.0,268.0
TUE,01:34:00,0.0,59.0,0.05,0.05,263.0,268.0
TUE,01:39:00,0.0,551.39,0.05,0.05,266.0,266.0
TUE,01:44:00,149.0,0.0,0.05,0.05,266.0,266.0
TUE,01:49:00,0.0,388.0,0.05,0.05,263.0,266.0
TUE,01:54:00,119.0,299.0,0.05,0.05,273.0,266.0
TUE,01:59:00,684.79,684.79,0.05,0.05,269.0,269.0
TUE,02:04:00,149.0,239.0,0.05,0.05,269.0,269.0
TUE,02:09:00,119.0,461.17,0.05,0.05,268.0,265.0
TUE,02:14:00,59.0,59.0,0.05,0.05,268.0,266.0
TUE,02:19:00,209.0,953.12,0.05,0.05,275.0,266.0
TUE,02:24:00,119.0,209.0,0.05,0.05,267.0,267.0
TUE,02:29:00,684.79,684.79,0.05,0.05,268.0,268.0
TUE,02:34:00,59.0,119.0,0.05,0.05,263.0,268.0
TUE,02:39:00,119.0,551.39,0.05,0.05,267.0,266.0
TUE,02:44:00,59.0,59.0,0.05,0.05,267.0,265.0
TUE,02:49:00,0.0,299.0,0.05,0.05,263.0,267.0
TUE,02:54:00,461.17,149.0,0.05,0.05,266.0,267.0
TUE,02:59:00,119.0,684.79,0.05,0.05,267.0,267.0
TUE,03:04:00,149.0,119.0,0.05,0.05,266.0,266.0
TUE,03:09:00,461.17,461.17,0.05,0.05,269.0,269.0
TUE,03:14:00,59.0,209.0,0.05,0.05,270.0,269.0
TUE,03:19:00,953.12,953.12,2225.53,2225.53,294.5,266.0
TUE,03:24:00,119.0,149.0,641.73,641.73,282.0,282.0
TUE,03:29:00,59.0,684.79,0.05,0.05,278.0,278.0
TUE,03:34:00,149.0,119.0,0.05,0.05,279.0,279.0
TUE,03:39:00,388.0,461.17,0.05,0.05,276.0,276.0
TUE,03:44:00,59.0,149.0,0.05,0.05,276.0,276.0
TUE,03:49:00,59.0,0.0,0.05,0.05,273.0,273.0
TUE,03:54:00,119.0,119.0,0.05,0.05,276.0,276.0
TUE,03:59:00,684.79,684.79,0.05,0.05,276.0,276.0
TUE,04:04:00,119.0,119.0,0.05,0.05,277.0,277.0
TUE,04:09:00,59.0,59.0,0.05,0.05,277.0,277.0
TUE,04:14:00,119.0,119.0,0.05,0.05,278.0,278.0
TUE,04:19:00,461.17,461.17,0.05,0.05,277.0,277.0
TUE,04:24:00,59.0,59.0,0.05,0.05,278.0,278.0
TUE,04:29:00,0.0,239.0,0.05,0.05,278.0,278.0
TUE,04:34:00,59.0,59.0,0.05,0.05,273.0,273.0
TUE,04:39:00,59.0,59.0,0.05,0.05,276.0,276.0
TUE,04:44:00,0.0,119.0,0.05,0.05,276.0,276.0
TUE,04:49:00,239.0,239.0,0.05,0.05,274.0,274.0
TUE,04:54:00,0.0,59.0,0.05,0.05,277.0,277.0
TUE,04:59:00,119.0,209.0,0.05,0.05,277.0,277.0
TUE,05:04:00,209.0,0.0,0.05,0.05,277.0,277.0
TUE,05:09:00,59.0,461.17,0.05,0.05,278.0,273.0
TUE,05:14:00,0.0,239.0,0.05,0.05,278.0,276.0
TUE,05:19:00,59.0,388.0,0.05,0.05,278.0,277.0
TUE,05:24:00,59.0,239.0,0.05,0.05,278.0,277.0
TUE,05:29:00,59.0,684.79,0.05,0.05,278.0,274.0
TUE,05:34:00,149.0,119.0,0.05,0.05,273.0,276.0
TUE,05:39:00,461.17,388.0,0.05,0.05,276.0,275.0
TUE,05:44:00,209.0,209.0,0.05,0.05,276.0,276.0
TUE,05:49:00,0.0,461.17,0.05,0.05,273.0,277.0
TUE,05:54:00,119.0,0.0,0.05,0.05,277.0,277.0
TUE,05:59:00,461.17,551.39,0.05,0.05,277.0,276.0
TUE,06:04:00,0.0,209.0,0.05,0.05,278.0,274.0
TUE,06:09:00,953.12,953.12,0.05,0.05,277.0,277.0
TUE,06:14:00,209.0,59.0,0.05,0.05,277.0,276.0
TUE,06:19:00,119.0,299.0,0.05,0.05,277.0,275.0
TUE,06:24:00,209.0,59.0,0.05,0.05,278.0,276.0
TUE,06:29:00,684.79,684.79,0.05,0.05,277.0,278.0
TUE,06:34:00,59.0,0.0,0.05,0.05,272.0,278.0
TUE,06:39:00,59.0,329.0,0.05,0.05,276.0,274.0
TUE,06:44:00,59.0,329.0,0.05,0.05,276.0,278.0
