WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,58.0,40.77,40.77,3148.7,3148.7
MON,08:44:00,58.0,58.0,203.23,40.77,3148.7,3148.7
MON,08:49:00,117.0,58.0,360.52,40.77,3158.42,3158.42
MON,08:54:00,58.0,58.0,360.52,40.77,3158.42,3174.76
MON,08:59:00,234.0,58.0,203.23,40.77,3158.42,3158.42
MON,09:04:00,585.0,585.0,40.77,40.77,3158.42,3158.42
MON,09:09:00,234.0,58.0,360.52,40.77,3158.42,3174.76
MON,09:14:00,58.0,58.0,502.85,40.77,3174.76,3174.76
MON,09:19:00,58.0,58.0,502.85,40.77,3174.76,3174.76
MON,09:24:00,58.0,761.0,203.23,40.77,3174.76,3174.76
MON,09:29:00,117.0,234.0,40.77,40.77,3174.76,3174.76
MON,09:34:00,878.0,878.0,40.77,40.77,3174.76,3174.76
MON,09:39:00,234.0,58.0,203.23,40.77,3174.76,3174.76
MON,09:44:00,58.0,58.0,40.77,203.23,3174.76,3174.76
MON,09:49:00,117.0,234.0,360.52,203.23,3174.76,3174.76
MON,09:54:00,468.0,468.0,203.23,203.23,3199.34,3199.34
MON,09:59:00,2536.16,234.0,203.23,203.23,3174.76,3174.76
MON,10:04:00,58.0,58.0,502.85,502.85,3199.34,3199.34
MON,10:09:00,58.0,58.0,203.23,203.23,3174.76,3174.76
MON,10:14:00,234.0,58.0,203.23,203.23,3199.34,3199.34
MON,10:19:00,58.0,234.0,203.23,502.85,3243.88,3243.88
MON,10:24:00,58.0,58.0,203.23,360.52,3216.32,3216.32
MON,10:29:00,58.0,58.0,203.23,360.52,3216.32,3216.32
MON,10:34:00,117.0,234.0,203.23,502.85,3216.32,3216.32
MON,10:39:00,58.0,58.0,502.85,360.52,3229.34,3229.34
MON,10:44:00,58.0,117.0,676.55,360.52,3229.34,3229.34
MON,10:49:00,292.0,292.0,1897.7,1897.7,3216.32,3216.32
MON,10:54:00,58.0,234.0,2617.37,2617.37,3199.34,3199.34
MON,10:59:00,58.0,58.0,3078.83,3078.83,3216.32,3216.32
MON,11:04:00,58.0,117.0,2069.81,2069.81,3216.32,3216.32
MON,11:09:00,58.0,58.0,1213.97,1213.97,3216.32,3216.32
MON,11:14:00,234.0,234.0,203.23,502.85,3243.88,3243.88
MON,11:19:00,58.0,58.0,40.77,502.85,3216.32,3216.32
MON,11:24:00,58.0,234.0,40.77,203.23,3229.34,3229.34
MON,11:29:00,58.0,234.0,40.77,676.55,3229.34,3229.34
MON,11:34:00,58.0,292.0,1337.88,1337.88,3300.05,3300.05
MON,11:39:00,117.0,117.0,203.23,360.52,3263.17,3263.17
MON,11:44:00,409.0,409.0,203.23,502.85,3269.02,3269.02
MON,11:49:00,58.0,117.0,360.52,360.52,3274.43,3274.43
MON,11:54:00,409.0,409.0,2433.06,2433.06,3269.02,3269.02
MON,11:59:00,58.0,58.0,2433.06,2433.06,3281.05,3281.05
MON,12:04:00,1287.0,292.0,502.85,502.85,3243.88,3243.88
MON,12:09:00,117.0,117.0,360.52,360.52,3229.34,3229.34
MON,12:14:00,585.0,585.0,676.55,360.52,3243.88,3243.88
MON,12:19:00,58.0,117.0,360.52,360.52,3229.34,3229.34
MON,12:24:00,585.0,585.0,360.52,360.52,3255.02,3255.02
MON,12:29:00,58.0,292.0,502.85,502.85,3263.17,3263.17
MON,12:34:00,292.0,117.0,829.01,829.01,3243.88,3243.88
MON,12:39:00,58.0,117.0,829.01,829.01,3243.88,3243.88
MON,12:44:00,117.0,292.0,676.55,676.55,3229.34,3229.34
MON,12:49:00,58.0,234.0,970.19,970.19,3243.88,3243.88
MON,12:54:00,58.0,117.0,970.19,970.19,3269.02,3269.02
MON,12:59:00,58.0,292.0,502.85,502.85,3269.02,3269.02
MON,13:04:00,58.0,234.0,360.52,360.52,3263.17,3263.17
MON,13:09:00,117.0,117.0,360.52,360.52,3274.43,3274.43
MON,13:14:00,292.0,292.0,829.01,502.85,3274.43,3274.43
MON,13:19:00,117.0,117.0,829.01,829.01,3269.02,3269.02
MON,13:24:00,409.0,117.0,829.01,829.01,3269.02,3269.02
MON,13:29:00,234.0,117.0,676.55,829.01,3269.02,3269.02
MON,13:34:00,117.0,761.0,203.23,502.85,3269.02,3269.02
MON,13:39:00,234.0,117.0,203.23,502.85,3263.17,3263.17
MON,13:44:00,58.0,117.0,203.23,502.85,3263.17,3263.17
MON,13:49:00,58.0,234.0,360.52,360.52,3263.17,3263.17
MON,13:54:00,643.0,643.0,203.23,502.85,3263.17,3263.17
MON,13:59:00,292.0,234.0,203.23,502.85,3255.02,3255.02
MON,14:04:00,58.0,117.0,203.23,360.52,3263.17,3263.17
MON,14:09:00,58.0,58.0,502.85,502.85,3255.02,3255.02
MON,14:14:00,585.0,117.0,360.52,203.23,3263.17,3263.17
MON,14:19:00,58.0,58.0,203.23,360.52,3263.17,3263.17
MON,14:24:00,58.0,117.0,203.23,203.23,3263.17,3263.17
MON,14:29:00,58.0,117.0,40.77,360.52,3263.17,3263.17
MON,14:34:00,234.0,117.0,203.23,203.23,3269.02,3269.02
MON,14:39:00,58.0,117.0,40.77,360.52,3263.17,3263.17
MON,14:44:00,468.0,468.0,203.23,203.23,3274.43,3274.43
MON,14:49:00,58.0,468.0,203.23,203.23,3274.43,3274.43
MON,14:54:00,117.0,234.0,203.23,203.23,3281.05,3281.05
MON,14:59:00,292.0,234.0,203.23,203.23,3287.5,3287.5
MON,15:04:00,234.0,117.0,203.23,203.23,3300.05,3300.05
MON,15:09:00,58.0,234.0,970.19,360.52,3287.5,3287.5
MON,15:14:00,643.0,643.0,203.23,203.23,3320.12,3320.12
MON,15:19:00,58.0,58.0,360.52,203.23,3287.5,3287.5
MON,15:24:00,58.0,58.0,203.23,203.23,3281.05,3287.5
MON,15:29:00,58.0,58.0,40.77,203.23,3281.05,3281.05
MON,15:34:00,58.0,234.0,360.52,203.23,3287.5,3287.5
MON,15:39:00,234.0,117.0,203.23,203.23,3281.05,3281.05
MON,15:44:00,58.0,585.0,203.23,203.23,3287.5,3287.5
MON,15:49:00,58.0,58.0,502.85,360.52,3287.5,3287.5
MON,15:54:00,761.0,409.0,203.23,203.23,3292.63,3292.63
MON,15:59:00,58.0,117.0,203.23,360.52,3292.63,3292.63
MON,16:04:00,234.0,117.0,203.23,502.85,3292.63,3292.63
MON,16:09:00,58.0,234.0,502.85,203.23,3292.63,3292.63
MON,16:14:00,58.0,585.0,676.55,203.23,3300.05,3300.05
MON,16:19:00,643.0,234.0,502.85,360.52,3313.16,3313.16
MON,16:24:00,58.0,234.0,502.85,502.85,3292.63,3292.63
MON,16:29:00,58.0,468.0,203.23,203.23,3287.5,3287.5
MON,16:34:00,234.0,234.0,203.23,502.85,3292.63,3292.63
MON,16:39:00,58.0,58.0,203.23,360.52,3287.5,3287.5
MON,16:44:00,58.0,234.0,40.77,203.23,3292.63,3292.63
MON,16:49:00,58.0,58.0,40.77,203.23,3281.05,3281.05
MON,16:54:00,58.0,117.0,40.77,203.23,3287.5,3287.5
MON,16:59:00,58.0,234.0,40.77,502.85,3281.05,3300.05
MON,17:04:00,58.0,58.0,203.23,203.23,3287.5,3295.39
MON,17:09:00,878.0,58.0,40.77,360.52,3263.17,3292.63
MON,17:14:00,58.0,117.0,203.23,203.23,3269.02,3297.48
MON,17:19:00,58.0,58.0,203.23,203.23,3263.17,3287.5
MON,17:24:00,58.0,58.0,40.77,203.23,3269.02,3269.02
MON,17:29:00,58.0,58.0,502.85,203.23,3269.02,3269.02
MON,17:34:00,58.0,58.0,676.55,203.23,3263.17,3297.48
MON,17:39:00,58.0,58.0,40.77,203.23,3255.02,3308.13
MON,17:44:00,58.0,585.0,40.77,203.23,3263.17,3263.17
MON,17:49:00,234.0,58.0,40.77,203.23,3255.02,3287.5
MON,17:54:00,1053.0,58.0,829.01,203.23,3269.02,3269.02
MON,17:59:00,58.0,58.0,1734.33,1734.33,3297.48,3297.48
