WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,234.0,170.3,170.3,1774.27,1774.27
MON,08:44:00,58.0,58.0,120.84,213.47,1774.27,1774.27
MON,08:49:00,58.0,117.0,170.3,120.84,1759.15,1759.15
MON,08:54:00,58.0,117.0,170.3,170.3,1766.61,1766.61
MON,08:59:00,58.0,117.0,213.47,170.3,1759.15,1759.15
MON,09:04:00,58.0,234.0,257.34,353.01,1766.61,1766.61
MON,09:09:00,58.0,117.0,213.47,170.3,1766.61,1782.4
MON,09:14:00,58.0,585.0,213.47,170.3,1782.4,1790.66
MON,09:19:00,58.0,292.0,170.3,120.84,1774.27,1774.27
MON,09:24:00,117.0,117.0,213.47,213.47,1782.4,1782.4
MON,09:29:00,117.0,234.0,213.47,170.3,1782.4,1782.4
MON,09:34:00,58.0,234.0,213.47,257.34,1782.4,1790.66
MON,09:39:00,58.0,878.0,213.47,353.01,1790.66,1790.66
MON,09:44:00,58.0,234.0,213.47,213.47,1782.4,1790.66
MON,09:49:00,58.0,409.0,213.47,257.34,1774.27,1790.66
MON,09:54:00,58.0,234.0,170.3,469.25,1766.61,1790.66
MON,09:59:00,58.0,409.0,120.84,257.34,1782.4,1782.4
MON,10:04:00,58.0,117.0,170.3,257.34,1774.27,1774.27
MON,10:09:00,58.0,585.0,213.47,213.47,1774.27,1782.4
MON,10:14:00,58.0,117.0,213.47,213.47,1782.4,1790.66
MON,10:19:00,58.0,643.0,213.47,213.47,1766.61,1790.66
MON,10:24:00,58.0,117.0,303.91,303.91,1782.4,1782.4
MON,10:29:00,117.0,936.0,257.34,353.01,1782.4,1782.4
MON,10:34:00,58.0,117.0,213.47,406.31,1782.4,1782.4
MON,10:39:00,117.0,643.0,257.34,257.34,1782.4,1790.66
MON,10:44:00,234.0,117.0,257.34,353.01,1790.66,1782.4
MON,10:49:00,58.0,585.0,257.34,257.34,1774.27,1774.27
MON,10:54:00,58.0,117.0,303.91,257.34,1774.27,1774.27
MON,10:59:00,58.0,936.0,120.84,257.34,1782.4,1782.4
MON,11:04:00,58.0,292.0,120.84,213.47,1774.27,1782.4
MON,11:09:00,58.0,585.0,71.75,406.31,1774.27,1790.66
MON,11:14:00,1112.0,1112.0,120.84,257.34,1805.41,1790.66
MON,11:19:00,58.0,409.0,71.75,303.91,1774.27,1774.27
MON,11:24:00,58.0,117.0,213.47,213.47,1790.66,1782.4
MON,11:29:00,58.0,234.0,303.91,406.31,1790.66,1790.66
MON,11:34:00,58.0,234.0,353.01,257.34,1814.34,1790.66
MON,11:39:00,58.0,936.0,303.91,303.91,1774.27,1798.05
MON,11:44:00,58.0,117.0,170.3,257.34,1782.4,1782.4
MON,11:49:00,58.0,292.0,213.47,303.91,1782.4,1782.4
MON,11:54:00,117.0,117.0,213.47,213.47,1782.4,1805.41
MON,11:59:00,58.0,117.0,353.01,353.01,1790.66,1790.66
MON,12:04:00,58.0,234.0,353.01,353.01,1790.66,1790.66
MON,12:09:00,58.0,585.0,406.31,303.91,1782.4,1798.05
MON,12:14:00,58.0,234.0,406.31,406.31,1790.66,1790.66
MON,12:19:00,58.0,409.0,303.91,303.91,1782.4,1782.4
MON,12:24:00,58.0,58.0,469.25,469.25,1790.66,1790.66
MON,12:29:00,117.0,292.0,406.31,406.31,1798.05,1798.05
MON,12:34:00,58.0,117.0,303.91,406.31,1798.05,1805.41
MON,12:39:00,117.0,878.0,303.91,406.31,1790.66,1790.66
MON,12:44:00,58.0,234.0,213.47,406.31,1790.66,1790.66
MON,12:49:00,58.0,643.0,303.91,213.47,1790.66,1798.05
MON,12:54:00,58.0,117.0,213.47,257.34,1782.4,1798.05
MON,12:59:00,58.0,117.0,257.34,406.31,1782.4,1798.05
MON,13:04:00,58.0,878.0,303.91,406.31,1782.4,1790.66
MON,13:09:00,58.0,117.0,303.91,257.34,1782.4,1782.4
MON,13:14:00,58.0,234.0,257.34,303.91,1805.41,1798.05
MON,13:19:00,58.0,878.0,469.25,406.31,1774.27,1790.66
MON,13:24:00,58.0,468.0,469.25,406.31,1782.4,1805.41
MON,13:29:00,58.0,117.0,353.01,469.25,1790.66,1805.41
MON,13:34:00,58.0,234.0,303.91,469.25,1782.4,1782.4
MON,13:39:00,58.0,234.0,213.47,469.25,1766.61,1798.05
MON,13:44:00,58.0,58.0,213.47,213.47,1774.27,1782.4
MON,13:49:00,234.0,117.0,257.34,353.01,1759.15,1790.66
MON,13:54:00,58.0,117.0,303.91,406.31,1774.27,1782.4
MON,13:59:00,58.0,292.0,303.91,353.01,1766.61,1805.41
MON,14:04:00,58.0,117.0,213.47,353.01,1782.4,1782.4
MON,14:09:00,58.0,643.0,257.34,257.34,1774.27,1774.27
MON,14:14:00,58.0,292.0,303.91,213.47,1782.4,1782.4
MON,14:19:00,292.0,292.0,303.91,469.25,1774.27,1774.27
MON,14:24:00,58.0,292.0,213.47,469.25,1782.4,1782.4
MON,14:29:00,58.0,878.0,257.34,406.31,1782.4,1782.4
MON,14:34:00,58.0,643.0,213.47,406.31,1782.4,1782.4
MON,14:39:00,58.0,234.0,257.34,406.31,1774.27,1774.27
MON,14:44:00,58.0,117.0,213.47,406.31,1782.4,1782.4
MON,14:49:00,58.0,117.0,257.34,469.25,1782.4,1782.4
MON,14:54:00,58.0,117.0,303.91,469.25,1790.66,1790.66
MON,14:59:00,58.0,117.0,257.34,469.25,1790.66,1790.66
MON,15:04:00,585.0,585.0,353.01,303.91,1805.41,1790.66
