WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,66.0,66.0,446.13,446.13,3254.43,3254.43
MON,08:44:00,66.0,66.0,446.13,446.13,3296.59,3296.59
MON,08:49:00,66.0,66.0,446.13,446.13,3276.54,3268.92
MON,08:54:00,66.0,66.0,446.13,446.13,3262.28,3262.28
MON,08:59:00,66.0,66.0,446.13,446.13,3244.63,3244.63
MON,09:04:00,133.0,66.0,446.13,446.13,3262.28,3262.28
MON,09:09:00,66.0,66.0,446.13,446.13,3254.43,3254.43
MON,09:14:00,333.0,66.0,446.13,446.13,3254.43,3254.43
MON,09:19:00,66.0,66.0,446.13,446.13,3254.43,3254.43
MON,09:24:00,66.0,133.0,446.13,446.13,3296.59,3276.54
MON,09:29:00,133.0,0.0,446.13,446.13,3296.59,3276.54
MON,09:34:00,66.0,0.0,446.13,446.13,3296.59,3276.54
MON,09:39:00,66.0,66.0,446.13,446.13,3296.59,3276.54
MON,09:44:00,66.0,0.0,446.13,446.13,3285.41,3285.41
MON,09:49:00,66.0,66.0,446.13,446.13,3296.59,3285.41
MON,09:54:00,466.0,66.0,446.13,446.13,3310.49,3310.49
MON,09:59:00,333.0,333.0,446.13,446.13,3331.31,3331.31
MON,10:04:00,0.0,66.0,446.13,446.13,3310.49,3310.49
MON,10:09:00,133.0,66.0,446.13,446.13,3310.49,3310.49
MON,10:14:00,0.0,0.0,446.13,446.13,3310.49,3268.92
MON,10:19:00,133.0,66.0,446.13,446.13,3310.49,3285.41
MON,10:24:00,0.0,0.0,446.13,446.13,3331.31,3285.41
MON,10:29:00,66.0,66.0,446.13,446.13,3349.41,3349.41
MON,10:34:00,66.0,66.0,446.13,446.13,3331.31,3331.31
MON,10:39:00,66.0,66.0,446.13,446.13,3310.49,3349.41
MON,10:44:00,66.0,66.0,446.13,446.13,3375.24,3375.24
MON,10:49:00,66.0,66.0,446.13,446.13,3383.21,3383.21
MON,10:54:00,66.0,66.0,446.13,446.13,3383.21,3383.21
MON,10:59:00,66.0,66.0,446.13,446.13,3383.21,3383.21
MON,11:04:00,66.0,66.0,446.13,446.13,3362.72,3362.72
MON,11:09:00,66.0,66.0,446.13,446.13,3383.21,3383.21
MON,11:14:00,66.0,66.0,446.13,446.13,3427.15,3362.72
MON,11:19:00,66.0,66.0,446.13,446.13,3391.76,3391.76
MON,11:24:00,133.0,66.0,446.13,446.13,3391.76,3391.76
MON,11:29:00,66.0,66.0,446.13,446.13,3391.76,3391.76
MON,11:34:00,66.0,66.0,446.13,446.13,3408.29,3408.29
MON,11:39:00,66.0,66.0,446.13,446.13,3408.29,3408.29
MON,11:44:00,66.0,66.0,446.13,446.13,3408.29,3408.29
MON,11:49:00,66.0,66.0,446.13,446.13,3399.58,3399.58
MON,11:54:00,66.0,66.0,446.13,446.13,3408.29,3391.76
MON,11:59:00,66.0,0.0,446.13,446.13,3375.24,3391.76
MON,12:04:00,133.0,66.0,446.13,446.13,3321.73,3391.76
MON,12:09:00,66.0,66.0,446.13,446.13,3310.49,3375.24
MON,12:14:00,66.0,66.0,446.13,446.13,3321.73,3321.73
MON,12:19:00,66.0,66.0,446.13,446.13,3331.31,3375.24
MON,12:24:00,66.0,66.0,446.13,446.13,3341.12,3341.12
MON,12:29:00,66.0,66.0,446.13,446.13,3356.66,3356.66
MON,12:34:00,133.0,66.0,446.13,446.13,3362.72,3362.72
MON,12:39:00,66.0,66.0,446.13,446.13,3349.41,3349.41
MON,12:44:00,66.0,66.0,446.13,446.13,3341.12,3368.36
MON,12:49:00,66.0,133.0,446.13,446.13,3285.41,3368.36
MON,12:54:00,66.0,66.0,446.13,446.13,3296.59,3417.54
MON,12:59:00,66.0,66.0,446.13,446.13,3296.59,3349.41
MON,13:04:00,66.0,66.0,446.13,446.13,3285.41,3285.41
MON,13:09:00,66.0,66.0,446.13,446.13,3310.49,3310.49
MON,13:14:00,66.0,66.0,446.13,446.13,3296.59,3296.59
MON,13:19:00,66.0,66.0,446.13,446.13,3285.41,3285.41
MON,13:24:00,66.0,66.0,446.13,446.13,3296.59,3296.59
MON,13:29:00,66.0,66.0,446.13,446.13,3296.59,3296.59
MON,13:34:00,66.0,66.0,446.13,446.13,3296.59,3296.59
