WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,0.01,0.01,314.0,314.0
MON,08:44:00,58.0,29.0,0.01,0.01,314.0,314.0
MON,08:49:00,29.0,58.0,0.01,0.01,313.0,313.0
MON,08:54:00,58.0,29.0,0.01,0.01,313.0,313.0
MON,08:59:00,29.0,204.0,0.01,0.01,314.0,314.0
MON,09:04:00,29.0,58.0,0.01,0.01,315.0,315.0
MON,09:09:00,58.0,204.0,0.01,0.01,312.0,312.0
MON,09:14:00,117.0,58.0,0.01,0.01,312.0,312.0
MON,09:19:00,117.0,146.0,0.01,0.01,312.0,312.0
MON,09:24:00,117.0,117.0,0.01,0.01,313.0,313.0
MON,09:29:00,58.0,146.0,0.01,0.01,315.0,315.0
MON,09:34:00,204.0,146.0,0.01,0.01,314.0,315.0
MON,09:39:00,29.0,204.0,0.01,0.01,314.0,314.0
MON,09:44:00,117.0,117.0,0.01,0.01,314.0,315.0
MON,09:49:00,58.0,146.0,0.01,0.01,315.0,315.0
MON,09:54:00,29.0,204.0,0.01,0.01,309.0,315.0
MON,09:59:00,58.0,117.0,0.01,0.01,318.0,317.0
MON,10:04:00,146.0,204.0,0.01,0.01,313.0,317.0
MON,10:09:00,204.0,58.0,0.01,0.01,313.0,316.0
MON,10:14:00,58.0,146.0,0.01,0.01,314.0,315.0
MON,10:19:00,146.0,146.0,0.01,0.01,313.0,317.0
MON,10:24:00,58.0,204.0,0.01,0.01,313.0,313.0
MON,10:29:00,58.0,146.0,0.01,0.01,316.0,316.0
MON,10:34:00,117.0,204.0,0.01,0.01,316.0,316.0
MON,10:39:00,29.0,29.0,0.01,0.01,316.0,316.0
MON,10:44:00,58.0,58.0,0.01,0.01,317.0,317.0
MON,10:49:00,58.0,58.0,0.01,0.01,311.0,316.0
MON,10:54:00,117.0,204.0,0.01,0.01,313.0,318.0
MON,10:59:00,117.0,146.0,0.01,0.01,315.0,319.0
MON,11:04:00,58.0,204.0,0.01,0.01,315.0,320.0
MON,11:09:00,58.0,146.0,0.01,0.01,316.0,316.0
MON,11:14:00,204.0,234.0,0.01,0.01,323.0,315.0
MON,11:19:00,117.0,117.0,0.01,0.01,316.0,315.0
MON,11:24:00,29.0,204.0,0.01,0.01,318.0,318.0
MON,11:29:00,117.0,58.0,0.01,0.01,320.0,317.0
MON,11:34:00,117.0,117.0,0.01,0.01,328.0,317.0
MON,11:39:00,117.0,29.0,0.01,0.01,315.0,321.0
MON,11:44:00,29.0,146.0,0.01,0.01,317.0,317.0
MON,11:49:00,58.0,146.0,0.01,0.01,317.0,317.0
MON,11:54:00,58.0,117.0,0.01,0.01,318.0,316.0
MON,11:59:00,146.0,146.0,0.01,0.01,317.0,317.0
MON,12:04:00,29.0,29.0,0.01,0.01,319.0,319.0
MON,12:09:00,117.0,204.0,0.01,0.01,318.0,323.0
MON,12:14:00,29.0,29.0,0.01,0.01,318.0,317.0
MON,12:19:00,117.0,204.0,0.01,0.01,319.0,319.0
MON,12:24:00,146.0,146.0,0.01,0.01,319.0,319.0
MON,12:29:00,58.0,58.0,0.01,0.01,322.0,322.0
MON,12:34:00,58.0,204.0,0.01,0.01,322.0,322.0
MON,12:39:00,58.0,58.0,0.01,0.01,317.0,322.0
MON,12:44:00,58.0,204.0,0.01,0.01,319.0,318.0
MON,12:49:00,146.0,58.0,0.01,0.01,319.0,320.0
MON,12:54:00,29.0,58.0,0.01,0.01,320.0,320.0
MON,12:59:00,117.0,146.0,0.01,0.01,320.0,320.0
MON,13:04:00,29.0,29.0,0.01,0.01,320.0,322.0
MON,13:09:00,58.0,117.0,0.01,0.01,320.0,320.0
MON,13:14:00,58.0,204.0,0.01,0.01,321.0,320.0
MON,13:19:00,117.0,117.0,0.01,0.01,320.0,320.0
MON,13:24:00,58.0,58.0,0.01,0.01,320.0,320.0
MON,13:29:00,146.0,146.0,0.01,0.01,323.0,322.0
MON,13:34:00,58.0,117.0,0.01,0.01,322.0,322.0
MON,13:39:00,58.0,146.0,0.01,0.01,318.0,322.0
MON,13:44:00,117.0,29.0,0.01,0.01,321.0,323.0
MON,13:49:00,58.0,117.0,0.01,0.01,321.0,323.0
MON,13:54:00,58.0,234.0,0.01,0.01,321.0,323.0
MON,13:59:00,58.0,58.0,0.01,0.01,322.0,322.0
MON,14:04:00,29.0,146.0,0.01,0.01,322.0,322.0
MON,14:09:00,58.0,204.0,0.01,0.01,322.0,323.0
MON,14:14:00,58.0,29.0,0.01,0.01,322.0,322.0
MON,14:19:00,117.0,146.0,0.01,0.01,321.0,321.0
MON,14:24:00,117.0,204.0,0.01,0.01,321.0,321.0
MON,14:29:00,117.0,146.0,0.01,0.01,324.0,324.0
MON,14:34:00,117.0,204.0,0.01,0.01,323.0,323.0
MON,14:39:00,58.0,204.0,0.01,0.01,319.0,322.0
MON,14:44:00,29.0,29.0,0.01,0.01,320.0,325.0
MON,14:49:00,58.0,117.0,0.01,0.01,321.0,321.0
MON,14:54:00,117.0,204.0,0.01,0.01,322.0,322.0
MON,14:59:00,58.0,146.0,0.01,0.01,322.0,322.0
MON,15:04:00,146.0,204.0,0.01,0.01,329.0,320.0
MON,15:09:00,146.0,146.0,0.01,0.01,330.0,324.0
MON,15:14:00,0.0,0.0,0.01,0.01,325.0,325.0
MON,15:19:00,0.0,0.0,0.01,0.01,325.0,325.0
MON,15:24:00,117.0,204.0,0.01,0.01,326.0,325.0
MON,15:29:00,58.0,204.0,0.01,0.01,325.0,324.0
MON,15:34:00,29.0,29.0,0.01,0.01,324.0,326.0
MON,15:39:00,29.0,146.0,0.01,0.01,320.0,325.0
MON,15:44:00,117.0,146.0,0.01,0.01,321.0,321.0
MON,15:49:00,117.0,204.0,0.01,0.01,321.0,323.0
MON,15:54:00,117.0,146.0,0.01,0.01,322.0,323.0
MON,15:59:00,117.0,117.0,0.01,0.01,322.0,322.0
MON,16:04:00,29.0,117.0,0.01,0.01,323.0,325.0
MON,16:09:00,58.0,146.0,0.01,0.01,323.0,323.0
MON,16:14:00,117.0,29.0,0.01,0.01,323.0,328.0
MON,16:19:00,29.0,204.0,0.01,0.01,330.0,330.0
MON,16:24:00,29.0,58.0,0.01,0.01,323.0,325.0
MON,16:29:00,58.0,117.0,0.01,0.01,326.0,326.0
MON,16:34:00,117.0,204.0,0.01,0.01,325.0,329.0
MON,16:39:00,204.0,146.0,0.01,0.01,320.0,327.0
MON,16:44:00,29.0,29.0,0.01,0.01,323.0,323.0
MON,16:49:00,58.0,58.0,0.01,0.01,323.0,323.0
MON,16:54:00,204.0,204.0,0.01,0.01,324.0,324.0
MON,16:59:00,117.0,146.0,0.01,0.01,324.0,324.0
MON,17:04:00,58.0,29.0,0.01,0.01,324.0,324.0
MON,17:09:00,29.0,146.0,0.01,0.01,323.0,325.0
MON,17:14:00,58.0,146.0,0.01,0.01,324.0,324.0
MON,17:19:00,58.0,204.0,0.01,0.01,324.0,324.0
MON,17:24:00,58.0,146.0,0.01,0.01,323.0,323.0
