WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,234.0,1.0,1.0,1176.7,1176.7
MON,08:44:00,58.0,58.0,1.0,1.0,1176.7,1176.7
MON,08:49:00,58.0,58.0,5.55,5.55,1176.7,1176.7
MON,08:54:00,58.0,974.69,0.0,5.55,1176.7,1176.7
MON,08:59:00,58.0,58.0,0.0,5.55,1176.7,1176.7
MON,09:04:00,409.0,58.0,0.0,5.55,1176.7,1176.7
MON,09:09:00,974.69,292.0,0.0,5.55,1176.7,1176.7
MON,09:14:00,58.0,409.0,2.0,2.0,1176.7,1176.7
MON,09:19:00,58.0,292.0,0.0,5.55,1176.7,1176.7
MON,09:24:00,58.0,234.0,0.0,5.55,1176.7,1176.7
MON,09:29:00,58.0,0.0,2.0,2.0,1176.7,1176.7
MON,09:34:00,58.0,0.0,3.0,3.0,1176.7,1176.7
MON,09:39:00,58.0,292.0,0.0,5.55,1183.74,1183.74
MON,09:44:00,58.0,0.0,0.0,2.0,1176.7,1176.7
MON,09:49:00,58.0,234.0,0.0,5.55,1176.7,1176.7
MON,09:54:00,117.0,234.0,10.0,10.0,1188.58,1183.74
MON,09:59:00,974.69,974.69,53.13,53.13,1204.18,1204.18
MON,10:04:00,0.0,0.0,26.45,26.45,1188.58,1183.74
MON,10:09:00,0.0,0.0,29.0,29.0,1183.74,1183.74
MON,10:14:00,0.0,0.0,29.0,29.0,1188.58,1188.58
MON,10:19:00,0.0,0.0,22.0,22.0,1183.74,1183.74
MON,10:24:00,0.0,0.0,0.0,0.0,1188.58,1188.58
MON,10:29:00,0.0,0.0,5.55,5.55,1188.58,1188.58
MON,10:34:00,3811.11,3811.11,5.55,5.55,1371.98,1371.98
MON,10:39:00,292.0,292.0,0.0,5.55,1264.0,1264.0
MON,10:44:00,58.0,58.0,0.0,0.0,1183.74,1183.74
MON,10:49:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,10:54:00,58.0,58.0,0.0,0.0,1183.74,1183.74
MON,10:59:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,11:04:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,11:09:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,11:14:00,58.0,58.0,2.0,2.0,1207.65,1207.65
MON,11:19:00,58.0,117.0,0.0,0.0,1176.7,1176.7
MON,11:24:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,11:29:00,58.0,58.0,13.0,13.0,1183.74,1183.74
MON,11:34:00,58.0,58.0,1.0,1.0,1188.58,1188.58
MON,11:39:00,58.0,58.0,94.32,94.32,1183.74,1183.74
MON,11:44:00,58.0,58.0,0.0,0.0,1183.74,1183.74
MON,11:49:00,234.0,234.0,1.0,1.0,1176.7,1176.7
MON,11:54:00,58.0,58.0,8.0,8.0,1183.74,1183.74
MON,11:59:00,58.0,58.0,32.46,32.46,1183.74,1183.74
MON,12:04:00,58.0,58.0,0.0,0.0,1188.58,1188.58
MON,12:09:00,58.0,58.0,0.0,0.0,1183.74,1183.74
MON,12:14:00,58.0,58.0,94.32,94.32,1188.58,1188.58
MON,12:19:00,58.0,58.0,0.0,0.0,1188.58,1188.58
MON,12:24:00,58.0,58.0,0.0,8.0,1188.58,1188.58
MON,12:29:00,58.0,58.0,0.0,5.55,1188.58,1188.58
MON,12:34:00,58.0,117.0,3.0,94.32,1183.74,1188.58
MON,12:39:00,974.69,974.69,94.32,94.32,1183.74,1183.74
MON,12:44:00,58.0,0.0,47.91,47.91,1183.74,1183.74
MON,12:49:00,58.0,58.0,4.0,94.32,1183.74,1183.74
MON,12:54:00,58.0,58.0,1.0,5.55,1183.74,1183.74
MON,12:59:00,58.0,0.0,0.0,8.0,1176.7,1176.7
MON,13:04:00,58.0,0.0,0.0,5.55,1183.74,1183.74
MON,13:09:00,58.0,58.0,0.0,5.55,1183.74,1188.58
MON,13:14:00,58.0,58.0,0.0,65.45,1183.74,1183.74
MON,13:19:00,58.0,117.0,4.0,4.0,1176.7,1188.58
MON,13:24:00,58.0,58.0,0.0,7.0,1183.74,1183.74
MON,13:29:00,58.0,0.0,25.0,25.0,1183.74,1183.74
MON,13:34:00,58.0,58.0,4.0,4.0,1183.74,1183.74
MON,13:39:00,58.0,0.0,5.55,8.0,1188.58,1188.58
MON,13:44:00,58.0,234.0,0.0,5.55,1188.58,1188.58
MON,13:49:00,58.0,974.69,1.0,5.55,1183.74,1183.74
MON,13:54:00,58.0,58.0,3.0,65.45,1188.58,1188.58
MON,13:59:00,58.0,58.0,0.0,3.0,1188.58,1188.58
MON,14:04:00,58.0,58.0,0.0,5.55,1188.58,1188.58
MON,14:09:00,58.0,117.0,32.46,32.46,1188.58,1188.58
MON,14:14:00,58.0,0.0,7.0,7.0,1188.58,1188.58
MON,14:19:00,58.0,234.0,25.0,25.0,1183.74,1183.74
MON,14:24:00,58.0,0.0,4.0,4.0,1183.74,1183.74
MON,14:29:00,58.0,58.0,0.0,94.32,1183.74,1183.74
MON,14:34:00,58.0,58.0,2.0,2.0,1183.74,1183.74
MON,14:39:00,58.0,58.0,65.45,65.45,1176.7,1176.7
MON,14:44:00,58.0,58.0,94.32,94.32,1188.58,1188.58
MON,14:49:00,58.0,58.0,3.0,3.0,1188.58,1188.58
MON,14:54:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,14:59:00,58.0,58.0,1.0,1.0,1193.46,1193.46
MON,15:04:00,58.0,58.0,0.0,2.0,1214.0,1214.0
MON,15:09:00,58.0,58.0,7.0,7.0,1183.74,1183.74
MON,15:14:00,58.0,58.0,0.0,0.0,1188.58,1188.58
MON,15:19:00,58.0,58.0,0.0,0.0,1183.74,1183.74
MON,15:24:00,58.0,58.0,5.55,5.55,1188.58,1188.58
MON,15:29:00,58.0,58.0,4.0,4.0,1188.58,1188.58
MON,15:34:00,58.0,58.0,9.0,9.0,1183.74,1183.74
MON,15:39:00,58.0,58.0,0.0,0.0,1176.7,1176.7
MON,15:44:00,58.0,58.0,1.0,1.0,1183.74,1183.74
MON,15:49:00,58.0,58.0,19.0,19.0,1183.74,1183.74
MON,15:54:00,58.0,58.0,12.0,12.0,1183.74,1183.74
MON,15:59:00,58.0,58.0,1.0,1.0,1176.7,1176.7
