WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,29.0,29.0,0.02,0.02,288.31,288.31
MON,08:44:00,119.0,29.0,0.02,0.02,288.31,278.63
MON,08:49:00,149.0,149.0,0.02,0.02,282.92,278.63
MON,08:54:00,29.0,209.0,0.02,0.02,278.63,278.63
MON,08:59:00,59.0,149.0,0.02,0.02,278.63,278.63
MON,09:04:00,29.0,119.0,0.02,0.02,280.45,278.63
MON,09:09:00,59.0,149.0,0.02,0.02,280.45,278.63
MON,09:14:00,29.0,209.0,0.02,0.02,280.45,280.45
MON,09:19:00,59.0,119.0,0.02,0.02,273.5,280.45
MON,09:24:00,149.0,149.0,0.02,0.02,278.63,278.63
MON,09:29:00,209.0,149.0,0.02,0.02,278.63,278.63
MON,09:34:00,119.0,209.0,0.02,0.02,280.45,280.45
MON,09:39:00,119.0,59.0,0.02,0.02,280.45,280.45
MON,09:44:00,119.0,29.0,0.02,0.02,280.45,280.45
MON,09:49:00,149.0,149.0,0.02,0.02,272.0,282.92
MON,09:54:00,29.0,149.0,0.02,0.02,278.63,278.63
MON,09:59:00,149.0,119.0,0.02,0.02,282.92,278.63
MON,10:04:00,119.0,119.0,0.02,0.02,280.45,280.45
MON,10:09:00,29.0,149.0,0.02,0.02,280.45,280.45
MON,10:14:00,119.0,119.0,0.02,0.02,280.45,280.45
MON,10:19:00,29.0,149.0,0.02,0.02,280.45,280.45
MON,10:24:00,59.0,119.0,0.02,0.02,280.45,280.45
MON,10:29:00,209.0,119.0,0.02,0.02,280.45,280.45
MON,10:34:00,119.0,119.0,0.02,0.02,280.45,280.45
MON,10:39:00,149.0,59.0,0.02,0.02,280.45,280.45
MON,10:44:00,149.0,209.0,0.02,0.02,275.0,280.45
MON,10:49:00,29.0,29.0,0.02,0.02,278.63,278.63
MON,10:54:00,59.0,149.0,0.02,0.02,278.63,278.63
MON,10:59:00,29.0,149.0,0.02,0.02,278.63,278.63
MON,11:04:00,59.0,209.0,0.02,0.02,280.45,280.45
MON,11:09:00,119.0,149.0,0.02,0.02,280.45,276.43
MON,11:14:00,119.0,119.0,0.02,0.02,288.31,276.43
MON,11:19:00,119.0,119.0,0.02,0.02,280.45,280.45
MON,11:24:00,59.0,119.0,0.02,0.02,282.92,282.92
MON,11:29:00,29.0,209.0,0.02,0.02,282.92,282.92
MON,11:34:00,29.0,209.0,0.02,0.02,288.31,278.63
MON,11:39:00,29.0,149.0,0.02,0.02,276.43,276.43
MON,11:44:00,119.0,149.0,0.02,0.02,278.63,278.63
MON,11:49:00,59.0,119.0,0.02,0.02,278.63,278.63
MON,11:54:00,119.0,59.0,0.02,0.02,280.45,280.45
MON,11:59:00,119.0,209.0,0.02,0.02,278.63,278.63
MON,12:04:00,29.0,209.0,0.02,0.02,280.45,280.45
MON,12:09:00,59.0,59.0,0.02,0.02,280.45,276.43
MON,12:14:00,59.0,149.0,0.02,0.02,278.63,278.63
MON,12:19:00,149.0,209.0,0.02,0.02,280.45,280.45
MON,12:24:00,59.0,29.0,0.02,0.02,280.45,280.45
MON,12:29:00,59.0,209.0,0.02,0.02,280.45,280.45
MON,12:34:00,119.0,149.0,0.02,0.02,280.45,280.45
MON,12:39:00,149.0,119.0,0.02,0.02,276.43,276.43
MON,12:44:00,59.0,29.0,0.02,0.02,276.43,276.43
MON,12:49:00,59.0,29.0,0.02,0.02,278.63,278.63
MON,12:54:00,59.0,59.0,0.02,0.02,280.45,280.45
MON,12:59:00,59.0,59.0,0.02,0.02,278.63,278.63
MON,13:04:00,59.0,29.0,0.02,0.02,278.63,278.63
MON,13:09:00,29.0,119.0,0.02,0.02,280.45,280.45
MON,13:14:00,119.0,149.0,0.02,0.02,280.45,280.45
MON,13:19:00,29.0,29.0,0.02,0.02,280.45,280.45
MON,13:24:00,119.0,149.0,0.02,0.02,278.63,278.63
MON,13:29:00,59.0,59.0,0.02,0.02,278.63,278.63
