WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,59.0,149.0,0.0,0.0,330.0,330.0
MON,08:44:00,29.0,29.0,0.0,0.0,330.0,330.0
MON,08:49:00,59.0,149.0,0.0,0.0,331.0,331.0
MON,08:54:00,119.0,149.0,0.0,0.0,332.0,334.0
MON,08:59:00,29.0,59.0,0.0,0.0,333.0,335.0
MON,09:04:00,29.0,29.0,0.0,0.0,333.0,333.0
MON,09:09:00,149.0,209.0,0.0,0.0,334.0,337.0
MON,09:14:00,119.0,59.0,0.0,0.0,336.0,338.0
MON,09:19:00,29.0,59.0,0.0,0.0,337.0,337.0
MON,09:24:00,59.0,119.0,0.0,0.0,337.0,337.0
MON,09:29:00,119.0,149.0,0.0,0.0,334.0,333.0
MON,09:34:00,29.0,239.0,0.0,0.0,334.0,334.0
MON,09:39:00,59.0,119.0,0.0,0.0,334.0,337.0
MON,09:44:00,29.0,29.0,0.0,0.0,334.0,334.0
MON,09:49:00,59.0,149.0,0.0,0.0,336.0,336.0
MON,09:54:00,29.0,29.0,0.0,0.0,266.16,338.0
MON,09:59:00,59.0,29.0,0.0,0.0,278.31,278.31
MON,10:04:00,59.0,59.0,0.0,0.0,278.31,278.31
MON,10:09:00,119.0,209.0,0.0,0.0,278.31,278.31
MON,10:14:00,149.0,119.0,0.0,0.0,278.31,278.31
MON,10:19:00,119.0,59.0,0.0,0.0,278.31,278.31
MON,10:24:00,119.0,29.0,0.0,0.0,278.31,278.31
MON,10:29:00,59.0,149.0,0.0,0.0,278.31,278.31
MON,10:34:00,29.0,59.0,0.0,0.0,278.31,278.31
MON,10:39:00,59.0,29.0,0.0,0.0,278.31,278.31
MON,10:44:00,119.0,149.0,0.0,0.0,278.31,278.31
MON,10:49:00,59.0,119.0,0.0,0.0,282.7,282.7
MON,10:54:00,119.0,119.0,0.0,0.0,282.7,282.7
MON,10:59:00,119.0,119.0,0.0,0.0,282.7,282.7
MON,11:04:00,59.0,29.0,0.0,0.0,282.7,282.7
MON,11:09:00,119.0,29.0,0.0,0.0,285.88,285.88
MON,11:14:00,459.61,459.61,0.0,0.0,292.0,292.0
MON,11:19:00,59.0,59.0,0.0,0.0,285.88,285.88
MON,11:24:00,149.0,59.0,0.0,0.0,285.88,285.88
MON,11:29:00,59.0,29.0,0.0,0.0,285.88,285.88
MON,11:34:00,29.0,29.0,0.0,0.0,297.55,285.88
MON,11:39:00,29.0,209.0,0.0,0.0,282.7,293.0
MON,11:44:00,119.0,119.0,0.0,0.0,285.88,285.88
MON,11:49:00,149.0,59.0,0.0,0.0,285.88,291.0
MON,11:54:00,59.0,119.0,0.0,0.0,288.59,291.0
