WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,58.0,1.6,1.6,1737.47,1737.47
MON,08:44:00,292.0,2129.16,1.6,29.19,1696.56,1696.56
MON,08:49:00,234.0,117.0,29.19,29.19,1696.56,1696.56
MON,08:54:00,58.0,117.0,1.6,1.6,1696.56,1696.56
MON,08:59:00,58.0,234.0,1.6,1.6,1700.58,1700.58
MON,09:04:00,58.0,58.0,1.6,61.43,1700.58,1700.58
MON,09:09:00,58.0,58.0,29.19,29.19,1700.58,1700.58
MON,09:14:00,58.0,234.0,1.6,29.19,1703.52,1703.52
MON,09:19:00,58.0,292.0,1.6,1.6,1700.58,1700.58
MON,09:24:00,58.0,117.0,1.6,1.6,1703.52,1703.52
MON,09:29:00,292.0,58.0,1001.62,1001.62,1737.47,1737.47
MON,09:34:00,58.0,234.0,128.35,1.6,1700.58,1700.58
MON,09:39:00,58.0,58.0,1.6,1.6,1703.52,1703.52
MON,09:44:00,117.0,117.0,1.6,1.6,1703.52,1703.52
MON,09:49:00,117.0,117.0,1.6,94.68,1678.85,1678.85
MON,09:54:00,234.0,58.0,29.19,29.19,1687.1,1687.1
MON,09:59:00,234.0,234.0,1.6,61.43,1712.51,1712.51
MON,10:04:00,58.0,58.0,1.6,29.19,1689.46,1689.46
MON,10:09:00,58.0,58.0,1.6,29.19,1689.46,1689.46
MON,10:14:00,58.0,585.0,29.19,29.19,1696.56,1696.56
MON,10:19:00,58.0,117.0,61.43,29.19,1692.47,1692.47
MON,10:24:00,234.0,234.0,1.6,61.43,1689.46,1689.46
MON,10:29:00,117.0,117.0,1.6,29.19,1696.56,1696.56
MON,10:34:00,58.0,643.0,61.43,29.19,1692.47,1692.47
MON,10:39:00,58.0,58.0,29.19,61.43,1692.47,1692.47
MON,10:44:00,292.0,1697.0,1.6,29.19,1692.47,1692.47
MON,10:49:00,58.0,58.0,29.19,29.19,1687.1,1692.47
MON,10:54:00,58.0,1906.54,29.19,29.19,1692.47,1692.47
MON,10:59:00,58.0,58.0,61.43,61.43,1696.56,1696.56
MON,11:04:00,117.0,117.0,61.43,94.68,1696.56,1696.56
MON,11:09:00,58.0,58.0,29.19,29.19,1696.56,1696.56
MON,11:14:00,234.0,292.0,1.6,29.19,1726.02,1689.46
MON,11:19:00,234.0,234.0,1.6,29.19,1696.56,1700.58
MON,11:24:00,58.0,1906.54,1.6,29.19,1700.58,1700.58
MON,11:29:00,58.0,58.0,1.6,29.19,1700.58,1705.0
MON,11:34:00,58.0,468.0,1.6,29.19,1718.52,1696.56
MON,11:39:00,58.0,234.0,29.19,29.19,1683.54,1696.56
MON,11:44:00,58.0,234.0,29.19,94.68,1692.47,1696.56
MON,11:49:00,643.0,643.0,1.6,29.19,1700.58,1700.58
MON,11:54:00,292.0,234.0,1.6,209.62,1689.46,1692.47
MON,11:59:00,58.0,643.0,1.6,29.19,1696.56,1696.56
MON,12:04:00,292.0,1906.54,1.6,29.19,1696.56,1700.58
MON,12:09:00,58.0,234.0,1.6,61.43,1700.58,1703.52
MON,12:14:00,58.0,234.0,1.6,29.19,1707.0,1696.56
MON,12:19:00,58.0,58.0,1.6,29.19,1703.52,1696.56
MON,12:24:00,1756.0,1756.0,1.6,94.68,1705.0,1705.0
MON,12:29:00,292.0,117.0,1.6,94.68,1708.5,1708.5
MON,12:34:00,2129.16,117.0,29.19,29.19,1700.58,1700.58
MON,12:39:00,58.0,58.0,29.19,29.19,1708.5,1703.52
MON,12:44:00,58.0,234.0,1.6,29.19,1707.0,1700.58
MON,12:49:00,58.0,58.0,1.6,1.6,1708.5,1703.52
MON,12:54:00,58.0,234.0,1.6,61.43,1705.0,1703.52
MON,12:59:00,58.0,58.0,1.6,61.43,1708.5,1705.0
MON,13:04:00,58.0,117.0,1.6,29.19,1705.0,1705.0
MON,13:09:00,58.0,58.0,1.6,29.19,1708.5,1708.5
MON,13:14:00,58.0,117.0,1.6,29.19,1712.51,1710.41
MON,13:19:00,58.0,58.0,1.6,29.19,1712.51,1712.51
MON,13:24:00,409.0,409.0,1.6,61.43,1705.0,1705.0
