WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,3263.59,0.0,0.0,3931.26,3931.26
MON,08:44:00,0.0,2475.19,0.0,0.0,3931.26,3931.26
MON,08:49:00,0.0,2475.19,0.0,0.0,3931.26,3931.26
MON,08:54:00,0.0,3066.33,0.0,0.0,3931.26,3931.26
MON,08:59:00,0.0,3263.59,0.0,0.0,3931.26,3931.26
MON,09:04:00,0.0,3263.59,0.0,2.85,3931.26,3826.21
MON,09:09:00,0.0,2629.95,1.0,2.85,3931.26,3931.26
MON,09:14:00,0.0,3066.33,0.0,6.36,3931.26,3931.26
MON,09:19:00,0.0,3066.33,0.0,16.08,3931.26,3931.26
MON,09:24:00,0.0,2629.95,0.0,1.0,3931.26,3931.26
MON,09:29:00,0.0,106.0,1.0,1.0,3931.26,3931.26
MON,09:34:00,0.0,106.0,0.0,6.36,3931.26,3931.26
MON,09:39:00,246.55,246.55,0.0,6.36,3931.26,3931.26
MON,09:44:00,0.0,0.0,0.0,2.85,3931.26,3931.26
MON,09:49:00,0.0,106.0,0.0,6.36,3931.26,3931.26
MON,09:54:00,0.0,246.55,0.0,1.0,3931.26,3931.26
MON,09:59:00,0.0,246.55,0.0,2.85,3931.26,3931.26
MON,10:04:00,0.0,683.41,0.0,34.51,3931.26,3931.26
MON,10:09:00,0.0,106.0,0.0,34.51,3931.26,3931.26
MON,10:14:00,0.0,106.0,0.0,28.31,3931.26,3931.26
MON,10:19:00,0.0,106.0,0.0,2.85,3931.26,3931.26
MON,10:24:00,0.0,106.0,0.0,2.85,3931.26,3931.26
MON,10:29:00,0.0,246.55,0.0,1.0,3931.26,4029.57
MON,10:34:00,0.0,246.55,0.0,22.09,3931.26,3931.26
MON,10:39:00,0.0,106.0,0.0,34.51,3931.26,3931.26
MON,10:44:00,0.0,371.65,0.0,1.0,3931.26,4029.57
MON,10:49:00,0.0,106.0,0.0,34.51,3931.26,4029.57
MON,10:54:00,0.0,53.0,0.0,16.08,3931.26,4029.57
MON,10:59:00,0.0,106.0,0.0,6.36,3931.26,3980.06
MON,11:04:00,0.0,53.0,0.0,6.36,3931.26,3931.26
MON,11:09:00,0.0,533.0,0.0,2.85,3931.26,3931.26
MON,11:14:00,0.0,426.0,0.0,6.36,3931.26,3931.26
MON,11:19:00,0.0,106.0,0.0,16.08,3931.26,3931.26
MON,11:24:00,0.0,683.41,0.0,2.85,3931.26,3980.06
MON,11:29:00,0.0,246.55,0.0,2.85,3931.26,3980.06
MON,11:34:00,0.0,533.0,0.0,2.85,3931.26,3980.06
MON,11:39:00,0.0,426.0,0.0,6.36,3931.26,3931.26
MON,11:44:00,0.0,533.0,0.0,2.85,3931.26,3931.26
MON,11:49:00,0.0,371.65,0.0,6.36,3931.26,4029.57
MON,11:54:00,0.0,533.0,0.0,2.85,3931.26,3931.26
MON,11:59:00,0.0,533.0,0.0,2.85,3931.26,3931.26
MON,12:04:00,0.0,106.0,0.0,6.36,3931.26,3931.26
MON,12:09:00,0.0,53.0,0.0,6.36,3931.26,3931.26
MON,12:14:00,0.0,426.0,0.0,16.08,3931.26,3931.26
MON,12:19:00,106.0,683.41,6.36,2.85,3931.26,3931.26
MON,12:24:00,246.55,246.55,2.85,34.51,3931.26,3931.26
MON,12:29:00,106.0,371.65,2.85,22.09,3931.26,3931.26
MON,12:34:00,53.0,426.0,2.85,2.85,3980.06,3931.26
MON,12:39:00,0.0,246.55,2.85,2.85,3931.26,3931.26
MON,12:44:00,0.0,683.41,2.85,28.31,3931.26,3980.06
MON,12:49:00,0.0,683.41,2.85,34.51,3931.26,3931.26
MON,12:54:00,246.55,246.55,6.36,1.0,3931.26,3980.06
MON,12:59:00,533.0,246.55,6.36,22.09,3931.26,3931.26
MON,13:04:00,371.65,371.65,2.85,2.85,3931.26,3931.26
MON,13:09:00,0.0,53.0,2.85,10.62,3931.26,3931.26
MON,13:14:00,0.0,246.55,2.85,22.09,3931.26,3931.26
MON,13:19:00,683.41,683.41,2.85,16.08,3980.06,3980.06
MON,13:24:00,0.0,106.0,1.0,1.0,3980.06,3980.06
MON,13:29:00,426.0,426.0,2.85,2.85,3980.06,3980.06
MON,13:34:00,371.65,371.65,6.36,28.31,3980.06,3980.06
MON,13:39:00,246.55,106.0,2.85,2.85,3980.06,3980.06
MON,13:44:00,0.0,106.0,2.85,6.36,3980.06,3980.06
MON,13:49:00,0.0,106.0,6.36,22.09,3980.06,3980.06
MON,13:54:00,0.0,246.55,2.85,2.85,3980.06,3980.06
MON,13:59:00,0.0,106.0,2.85,2.85,3980.06,3980.06
MON,14:04:00,246.55,246.55,6.36,2.85,4029.57,4029.57
MON,14:09:00,0.0,53.0,10.62,6.36,3980.06,3980.06
MON,14:14:00,0.0,0.0,41.23,41.23,3762.33,3931.26
MON,14:19:00,0.0,246.55,0.0,10.62,3762.33,3762.33
MON,14:24:00,0.0,246.55,0.0,1.0,3762.33,3762.33
MON,14:29:00,0.0,0.0,0.0,16.08,3762.33,3762.33
MON,14:34:00,0.0,106.0,0.0,6.36,3762.33,3762.33
MON,14:39:00,0.0,0.0,0.0,6.36,3762.33,3762.33
MON,14:44:00,2769.94,2769.94,2.85,2.85,3826.21,3826.21
MON,14:49:00,53.0,53.0,6.36,2.85,3980.06,3980.06
MON,14:54:00,426.0,426.0,6.36,10.62,3931.26,3931.26
MON,14:59:00,0.0,0.0,2.85,2.85,3871.21,3871.21
MON,15:04:00,0.0,106.0,34.51,34.51,3826.21,3826.21
MON,15:09:00,0.0,106.0,0.0,6.36,3826.21,3826.21
MON,15:14:00,0.0,0.0,0.0,6.36,3826.21,3826.21
MON,15:19:00,0.0,0.0,0.0,6.36,3826.21,3762.33
MON,15:24:00,586.0,586.0,0.0,10.62,3826.21,3826.21
MON,15:29:00,0.0,106.0,0.0,6.36,3826.21,3826.21
MON,15:34:00,0.0,0.0,0.0,1.0,3826.21,3826.21
MON,15:39:00,0.0,0.0,0.0,6.36,3826.21,3826.21
MON,15:44:00,0.0,0.0,0.0,1.0,3826.21,3826.21
MON,15:49:00,0.0,246.55,0.0,6.36,3826.21,3826.21
MON,15:54:00,0.0,0.0,0.0,1.0,3826.21,3826.21
MON,15:59:00,0.0,246.55,0.0,2.85,3826.21,3826.21
MON,16:04:00,0.0,0.0,0.0,1.0,3826.21,3826.21
MON,16:09:00,0.0,0.0,0.0,1.0,3826.21,3826.21
MON,16:14:00,0.0,0.0,0.0,16.08,3826.21,3826.21
MON,16:19:00,0.0,246.55,0.0,10.62,3826.21,3826.21
MON,16:24:00,0.0,246.55,0.0,6.36,3826.21,3826.21
MON,16:29:00,0.0,106.0,0.0,16.08,3826.21,3826.21
MON,16:34:00,53.0,53.0,6.36,10.62,3931.26,3826.21
MON,16:39:00,106.0,106.0,2.85,22.09,3871.21,3871.21
MON,16:44:00,0.0,0.0,0.0,2.85,3871.21,3826.21
MON,16:49:00,0.0,0.0,0.0,22.09,3871.21,3871.21
MON,16:54:00,0.0,246.55,2.85,16.08,3826.21,3826.21
MON,16:59:00,0.0,0.0,0.0,2.85,3826.21,3826.21
MON,17:04:00,0.0,53.0,0.0,1.0,3826.21,3826.21
MON,17:09:00,371.65,53.0,0.0,22.09,3826.21,3826.21
MON,17:14:00,0.0,106.0,0.0,2.85,3826.21,3826.21
MON,17:19:00,0.0,0.0,0.0,16.08,3826.21,3826.21
MON,17:24:00,0.0,0.0,0.0,22.09,3826.21,3826.21
MON,17:29:00,0.0,246.55,0.0,1.0,3826.21,3826.21
MON,17:34:00,0.0,0.0,0.0,1.0,3871.21,3826.21
MON,17:39:00,0.0,246.55,0.0,1.0,3871.21,3826.21
MON,17:44:00,106.0,106.0,2.85,16.08,2910.46,2910.46
MON,17:49:00,586.0,586.0,2.85,2.85,2559.11,2559.11
MON,17:54:00,0.0,0.0,0.0,0.0,2222.92,2222.92
MON,17:59:00,0.0,0.0,0.0,0.0,1940.85,1940.85
MON,18:04:00,0.0,0.0,0.0,0.0,1671.6,1671.6
MON,18:09:00,0.0,0.0,6.36,6.36,1384.13,1384.13
MON,18:14:00,0.0,0.0,0.0,0.0,1227.38,1227.38
MON,18:19:00,0.0,0.0,0.0,0.0,1111.57,1111.57
MON,18:24:00,0.0,0.0,0.0,0.0,1008.52,1008.52
MON,18:29:00,0.0,0.0,0.0,0.0,940.07,940.07
MON,18:34:00,0.0,0.0,0.0,0.0,873.07,873.07
MON,18:39:00,0.0,0.0,0.0,0.0,829.87,829.87
MON,18:44:00,0.0,0.0,0.0,0.0,800.25,800.25
MON,18:49:00,0.0,0.0,0.0,0.0,769.78,769.78
MON,18:54:00,0.0,0.0,0.0,0.0,769.78,769.78
MON,18:59:00,0.0,0.0,0.0,0.0,712.73,712.73
