WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,149.0,209.0,91.51,91.51,279.0,279.0
MON,08:44:00,59.0,209.0,121.18,121.18,281.0,281.0
MON,08:49:00,119.0,239.0,98.62,98.62,282.0,276.0
MON,08:54:00,119.0,239.0,91.51,91.51,284.0,277.0
MON,08:59:00,59.0,239.0,91.51,91.51,284.0,284.0
MON,09:04:00,59.0,239.0,98.62,98.62,280.0,280.0
MON,09:09:00,149.0,239.0,91.51,91.51,277.0,277.0
MON,09:14:00,119.0,239.0,91.51,91.51,279.0,279.0
MON,09:19:00,149.0,239.0,91.51,91.51,280.0,280.0
MON,09:24:00,59.0,239.0,98.62,98.62,282.0,282.0
MON,09:29:00,119.0,209.0,91.51,91.51,283.0,283.0
MON,09:34:00,149.0,299.0,91.51,91.51,283.0,283.0
MON,09:39:00,119.0,299.0,91.51,91.51,283.0,283.0
MON,09:44:00,0.0,209.0,91.51,91.51,284.0,284.0
MON,09:49:00,119.0,209.0,91.51,91.51,284.0,284.0
MON,09:54:00,59.0,209.0,98.62,98.62,276.0,276.0
MON,09:59:00,329.0,329.0,91.51,91.51,285.96,285.96
MON,10:04:00,119.0,209.0,91.51,91.51,279.0,279.0
MON,10:09:00,299.0,299.0,91.51,91.51,284.0,284.0
MON,10:14:00,59.0,239.0,98.62,98.62,290.43,290.43
MON,10:19:00,209.0,209.0,91.51,91.51,290.43,290.43
MON,10:24:00,59.0,209.0,98.62,98.62,290.43,290.43
MON,10:29:00,59.0,239.0,98.62,98.62,292.0,292.0
MON,10:34:00,59.0,209.0,98.62,98.62,290.43,293.46
MON,10:39:00,149.0,239.0,98.62,98.62,293.46,293.46
MON,10:44:00,0.0,299.0,108.76,108.76,282.0,282.0
MON,10:49:00,59.0,239.0,91.51,91.51,285.96,285.96
MON,10:54:00,119.0,239.0,91.51,91.51,293.46,290.43
MON,10:59:00,29.0,29.0,91.51,91.51,304.55,304.55
MON,11:04:00,59.0,209.0,91.51,91.51,302.0,302.0
MON,11:09:00,29.0,29.0,91.51,91.51,295.0,295.0
MON,11:14:00,119.0,119.0,91.51,91.51,304.55,304.55
MON,11:19:00,59.0,239.0,91.51,91.51,296.43,296.43
MON,11:24:00,0.0,209.0,98.62,98.62,298.52,298.52
MON,11:29:00,119.0,239.0,91.51,91.51,298.52,298.52
