WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,731.0,731.0,16.35,16.35,645.0,645.0
MON,08:44:00,643.0,614.0,396.16,396.16,647.55,647.55
MON,08:49:00,643.0,643.0,803.34,803.34,642.53,642.53
MON,08:54:00,439.0,702.0,76.18,76.18,644.0,644.0
MON,08:59:00,380.0,731.0,130.28,130.28,647.55,647.55
MON,09:04:00,468.0,614.0,76.18,76.18,647.55,647.55
MON,09:09:00,468.0,526.0,76.18,76.18,650.54,650.54
MON,09:14:00,2789.75,862.13,277.46,277.46,706.18,706.18
MON,09:19:00,2297.22,2297.22,714.54,714.54,723.22,723.22
MON,09:24:00,2789.75,526.0,208.35,208.35,666.84,666.84
MON,09:29:00,2297.22,2297.22,208.35,208.35,656.98,656.98
MON,09:34:00,2789.75,2789.75,6804.21,6804.21,666.84,672.46
MON,09:39:00,2789.75,2789.75,9356.48,9356.48,675.45,675.45
MON,09:44:00,2789.75,2789.75,9356.48,9356.48,723.22,723.22
MON,09:49:00,790.0,790.0,5135.07,5135.07,560.0,560.0
MON,09:54:00,321.0,321.0,338.81,338.81,561.54,561.54
MON,09:59:00,862.13,862.13,613.76,613.76,561.54,561.54
MON,10:04:00,1024.0,1024.0,1192.99,1192.99,590.88,590.88
MON,10:09:00,1053.0,1053.0,487.77,487.77,650.54,650.54
MON,10:14:00,862.13,862.13,1425.5,1425.5,629.42,629.42
MON,10:19:00,790.0,862.13,446.12,446.12,634.13,634.13
MON,10:24:00,556.0,643.0,396.16,396.16,639.0,639.0
MON,10:29:00,614.0,862.13,208.35,208.35,640.45,640.45
MON,10:34:00,556.0,862.13,446.12,446.12,640.45,640.45
MON,10:39:00,556.0,556.0,571.43,571.43,646.0,646.0
MON,10:44:00,439.0,862.13,338.81,338.81,654.56,654.56
MON,10:49:00,790.0,790.0,1108.55,1108.55,650.54,650.54
MON,10:54:00,439.0,556.0,487.77,487.77,654.56,654.56
MON,10:59:00,526.0,862.13,76.18,76.18,654.56,654.56
MON,11:04:00,439.0,556.0,338.81,338.81,660.39,660.39
MON,11:09:00,439.0,643.0,208.35,208.35,656.98,656.98
MON,11:14:00,614.0,643.0,208.35,208.35,656.98,656.98
MON,11:19:00,526.0,556.0,130.28,130.28,656.98,656.98
MON,11:24:00,439.0,702.0,43.53,43.53,660.39,660.39
MON,11:29:00,862.13,862.13,130.28,208.35,660.39,660.39
MON,11:34:00,321.0,790.0,130.28,130.28,675.45,675.45
MON,11:39:00,862.13,790.0,396.16,396.16,654.56,654.56
MON,11:44:00,643.0,731.0,613.76,613.76,656.98,656.98
MON,11:49:00,556.0,790.0,130.28,130.28,656.98,656.98
MON,11:54:00,862.13,862.13,446.12,446.12,660.39,660.39
MON,11:59:00,526.0,862.13,208.35,208.35,660.39,660.39
MON,12:04:00,731.0,862.13,446.12,446.12,660.39,660.39
MON,12:09:00,862.13,862.13,277.46,277.46,666.84,666.84
MON,12:14:00,556.0,731.0,130.28,130.28,670.2,670.2
MON,12:19:00,1772.28,1772.28,487.77,487.77,670.2,670.2
MON,12:24:00,556.0,862.13,130.28,661.93,672.46,672.46
MON,12:29:00,702.0,862.13,130.28,613.76,670.2,670.2
MON,12:34:00,556.0,862.13,338.81,338.81,626.0,626.0
MON,12:39:00,702.0,702.0,1037.12,1037.12,614.0,614.0
MON,12:44:00,643.0,862.13,661.93,661.93,631.58,631.58
MON,12:49:00,643.0,862.13,396.16,396.16,631.58,631.58
MON,12:54:00,292.0,702.0,277.46,277.46,634.13,634.13
MON,12:59:00,321.0,862.13,130.28,130.28,634.13,634.13
MON,13:04:00,380.0,614.0,208.35,208.35,634.13,634.13
MON,13:09:00,731.0,614.0,277.46,277.46,647.55,647.55
MON,13:14:00,643.0,790.0,208.35,208.35,646.0,646.0
MON,13:19:00,380.0,643.0,277.46,277.46,646.0,646.0
MON,13:24:00,409.0,409.0,396.16,396.16,650.54,650.54
MON,13:29:00,380.0,643.0,130.28,130.28,642.53,642.53
MON,13:34:00,1024.0,1024.0,130.28,130.28,664.04,664.04
MON,13:39:00,643.0,643.0,130.28,130.28,650.54,650.54
MON,13:44:00,468.0,556.0,338.81,338.81,649.0,649.0
MON,13:49:00,556.0,439.0,277.46,277.46,647.55,647.55
MON,13:54:00,321.0,702.0,130.28,130.28,650.54,650.54
MON,13:59:00,614.0,614.0,43.53,76.18,647.55,647.55
MON,14:04:00,614.0,614.0,76.18,76.18,650.54,650.54
MON,14:09:00,731.0,731.0,76.18,76.18,650.54,650.54
MON,14:14:00,468.0,526.0,130.28,130.28,650.54,650.54
MON,14:19:00,614.0,731.0,208.35,208.35,652.47,652.47
