WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,234.0,234.0,217.04,217.04,1688.6,1688.6
MON,08:44:00,58.0,58.0,12.59,12.59,1688.6,1688.6
MON,08:49:00,117.0,117.0,86.23,86.23,1688.6,1688.6
MON,08:54:00,58.0,58.0,12.59,86.23,1688.6,1688.6
MON,08:59:00,58.0,58.0,12.59,217.04,1688.6,1688.6
MON,09:04:00,58.0,58.0,86.23,86.23,1697.18,1697.18
MON,09:09:00,58.0,117.0,12.59,86.23,1697.18,1697.18
MON,09:14:00,117.0,117.0,86.23,86.23,1697.18,1697.18
MON,09:19:00,58.0,58.0,86.23,86.23,1712.4,1712.4
MON,09:24:00,117.0,117.0,86.23,86.23,1719.43,1719.43
MON,09:29:00,58.0,58.0,86.23,86.23,1719.43,1719.43
MON,09:34:00,292.0,292.0,12.59,86.23,1719.43,1719.43
MON,09:39:00,58.0,117.0,12.59,86.23,1727.6,1719.43
MON,09:44:00,58.0,234.0,217.04,86.23,1727.6,1719.43
MON,09:49:00,58.0,117.0,86.23,86.23,1712.4,1719.43
MON,09:54:00,468.0,468.0,12.59,86.23,1719.43,1719.43
MON,09:59:00,234.0,234.0,12.59,86.23,1754.0,1754.0
MON,10:04:00,58.0,58.0,12.59,86.23,1719.43,1719.43
MON,10:09:00,58.0,58.0,86.23,86.23,1741.12,1741.12
MON,10:14:00,585.0,585.0,86.23,86.23,1752.41,1752.41
MON,10:19:00,117.0,117.0,12.59,86.23,1752.41,1752.41
MON,10:24:00,58.0,58.0,86.23,86.23,1748.51,1748.51
MON,10:29:00,58.0,58.0,12.59,86.23,1755.46,1755.46
MON,10:34:00,58.0,234.0,86.23,86.23,1754.0,1754.0
MON,10:39:00,58.0,117.0,12.59,86.23,1755.46,1755.46
MON,10:44:00,117.0,234.0,157.66,157.66,1768.0,1768.0
MON,10:49:00,58.0,234.0,217.04,217.04,1752.41,1752.41
MON,10:54:00,58.0,117.0,12.59,86.23,1748.51,1748.51
