WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,204.0,58.0,49.48,1.82,309.0,309.0
MON,08:44:00,234.0,117.0,1.82,1.82,308.0,308.0
MON,08:49:00,117.0,117.0,4.36,1.82,307.0,311.49
MON,08:54:00,58.0,58.0,1.82,1.82,313.51,313.51
MON,08:59:00,146.0,58.0,8.3,1.82,306.0,308.0
MON,09:04:00,29.0,29.0,1.82,1.82,308.0,308.0
MON,09:09:00,117.0,117.0,8.3,1.82,316.38,316.38
MON,09:14:00,204.0,321.0,45.57,1.82,306.0,311.49
MON,09:19:00,204.0,146.0,6.63,1.82,308.0,308.0
MON,09:24:00,58.0,117.0,1.82,1.82,308.0,308.0
MON,09:29:00,204.0,321.0,6.63,6.63,303.55,309.0
MON,09:34:00,117.0,204.0,18.61,18.61,303.55,311.49
MON,09:39:00,204.0,58.0,10.51,30.02,305.0,305.0
MON,09:44:00,117.0,146.0,1.82,1.82,303.55,311.49
MON,09:49:00,204.0,117.0,6.63,25.47,306.0,306.0
MON,09:54:00,29.0,29.0,6.63,6.63,294.5,316.38
MON,09:59:00,380.0,380.0,6.63,6.63,305.0,305.0
MON,10:04:00,234.0,58.0,54.41,25.47,298.54,298.54
MON,10:09:00,438.0,380.0,18.61,30.02,303.55,303.55
MON,10:14:00,146.0,117.0,10.51,4.36,303.55,303.55
MON,10:19:00,146.0,292.0,10.51,30.02,303.55,303.55
MON,10:24:00,146.0,234.0,8.3,8.3,305.0,305.0
MON,10:29:00,117.0,204.0,12.96,4.36,305.0,305.0
MON,10:34:00,292.0,117.0,15.92,15.92,305.0,305.0
MON,10:39:00,58.0,321.0,15.92,15.92,306.0,306.0
MON,10:44:00,204.0,380.0,30.02,30.02,307.0,307.0
MON,10:49:00,380.0,380.0,25.47,25.47,296.51,296.51
MON,10:54:00,117.0,438.0,25.47,25.47,307.0,307.0
MON,10:59:00,146.0,29.0,35.44,30.02,307.0,307.0
MON,11:04:00,117.0,146.0,40.84,22.13,307.0,307.0
MON,11:09:00,204.0,234.0,30.02,25.47,307.0,307.0
MON,11:14:00,204.0,29.0,25.47,25.47,308.0,308.0
MON,11:19:00,234.0,58.0,35.44,30.02,307.0,307.0
MON,11:24:00,204.0,234.0,30.02,30.02,311.49,311.49
MON,11:29:00,117.0,321.0,30.02,30.02,310.0,310.0
MON,11:34:00,117.0,321.0,54.41,54.41,316.38,316.38
MON,11:39:00,146.0,58.0,25.47,35.44,303.55,303.55
MON,11:44:00,877.0,877.0,25.47,25.47,303.55,303.55
MON,11:49:00,321.0,117.0,35.44,35.44,303.55,303.55
MON,11:54:00,204.0,146.0,35.44,35.44,308.0,308.0
MON,11:59:00,204.0,321.0,30.02,30.02,307.0,307.0
MON,12:04:00,29.0,204.0,25.47,25.47,308.0,308.0
MON,12:09:00,117.0,321.0,25.47,25.47,310.0,310.0
MON,12:14:00,146.0,321.0,35.44,25.47,308.0,308.0
MON,12:19:00,117.0,321.0,35.44,35.44,308.0,308.0
MON,12:24:00,234.0,234.0,30.02,30.02,310.0,310.0
MON,12:29:00,58.0,58.0,25.47,25.47,310.0,310.0
MON,12:34:00,234.0,321.0,30.02,30.02,310.0,310.0
MON,12:39:00,204.0,204.0,40.84,35.44,298.54,298.54
MON,12:44:00,117.0,117.0,49.48,30.02,300.51,300.51
MON,12:49:00,146.0,380.0,35.44,35.44,302.0,302.0
MON,12:54:00,204.0,117.0,35.44,35.44,309.0,309.0
MON,12:59:00,321.0,321.0,35.44,35.44,308.0,308.0
MON,13:04:00,438.0,438.0,35.44,35.44,309.0,309.0
MON,13:09:00,234.0,321.0,35.44,30.02,309.0,309.0
MON,13:14:00,204.0,146.0,40.84,40.84,308.0,308.0
MON,13:19:00,146.0,204.0,30.02,30.02,309.0,309.0
MON,13:24:00,146.0,58.0,30.02,30.02,309.0,309.0
MON,13:29:00,438.0,29.0,30.02,30.02,308.0,308.0
MON,13:34:00,146.0,380.0,30.02,25.47,309.0,309.0
MON,13:39:00,204.0,204.0,35.44,30.02,300.51,300.51
MON,13:44:00,146.0,234.0,30.02,30.02,300.51,300.51
MON,13:49:00,29.0,321.0,30.02,30.02,308.0,308.0
MON,13:54:00,146.0,204.0,30.02,30.02,309.0,309.0
MON,13:59:00,234.0,204.0,30.02,35.44,308.0,308.0
MON,14:04:00,234.0,321.0,92.5,92.5,308.0,308.0
MON,14:09:00,117.0,29.0,35.44,30.02,310.0,310.0
MON,14:14:00,146.0,380.0,40.84,40.84,308.0,308.0
MON,14:19:00,204.0,321.0,25.47,30.02,307.0,307.0
MON,14:24:00,117.0,380.0,54.41,54.41,228.58,228.58
