WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,117.0,129.47,129.47,845.32,845.32
MON,08:44:00,58.0,468.0,129.47,129.47,845.32,845.32
MON,08:49:00,58.0,58.0,129.47,129.47,845.32,845.32
MON,08:54:00,58.0,58.0,129.47,129.47,845.32,845.32
MON,08:59:00,117.0,117.0,129.47,3077.12,866.77,866.77
MON,09:04:00,58.0,117.0,129.47,3077.12,866.77,866.77
MON,09:09:00,58.0,58.0,129.47,3077.12,866.77,866.77
MON,09:14:00,58.0,117.0,129.47,3077.12,889.81,889.81
MON,09:19:00,58.0,117.0,129.47,1340.07,889.81,889.81
MON,09:24:00,1755.32,117.0,129.47,1340.07,889.81,889.81
MON,09:29:00,58.0,117.0,129.47,1340.07,924.54,924.54
MON,09:34:00,117.0,117.0,129.47,1340.07,924.54,924.54
MON,09:39:00,58.0,58.0,129.47,3077.12,955.54,955.54
MON,09:44:00,234.0,234.0,129.47,1340.07,968.51,968.51
MON,09:49:00,58.0,117.0,129.47,1340.07,980.65,980.65
MON,09:54:00,58.0,58.0,129.47,1340.07,980.65,980.65
MON,09:59:00,117.0,117.0,129.47,1340.07,1029.45,1029.45
MON,10:04:00,58.0,58.0,129.47,1340.07,1001.3,1001.3
MON,10:09:00,58.0,58.0,129.47,1340.07,1029.45,1029.45
MON,10:14:00,58.0,117.0,129.47,3077.12,1046.7,1046.7
MON,10:19:00,58.0,117.0,129.47,1340.07,1046.7,1046.7
MON,10:24:00,58.0,58.0,129.47,129.47,1046.7,1046.7
MON,10:29:00,58.0,58.0,1340.07,1340.07,1029.45,1029.45
MON,10:34:00,58.0,117.0,129.47,1340.07,1046.7,1046.7
MON,10:39:00,58.0,117.0,129.47,1340.07,1046.7,1046.7
MON,10:44:00,58.0,58.0,129.47,129.47,1046.7,1046.7
MON,10:49:00,58.0,58.0,129.47,1340.07,1063.92,1063.92
MON,10:54:00,117.0,117.0,129.47,1340.07,1046.7,1046.7
MON,10:59:00,58.0,117.0,1340.07,1340.07,1063.92,1063.92
MON,11:04:00,58.0,117.0,129.47,1340.07,1063.92,1063.92
MON,11:09:00,58.0,58.0,129.47,1340.07,1063.92,1063.92
MON,11:14:00,58.0,117.0,129.47,1340.07,1063.92,1063.92
MON,11:19:00,58.0,585.0,129.47,1340.07,1063.92,1063.92
MON,11:24:00,58.0,117.0,129.47,1340.07,1063.92,1063.92
MON,11:29:00,58.0,58.0,129.47,1340.07,1081.37,1081.37
MON,11:34:00,117.0,117.0,129.47,1340.07,1081.37,1081.37
MON,11:39:00,58.0,117.0,129.47,1340.07,1081.37,1081.37
MON,11:44:00,58.0,234.0,129.47,1340.07,1081.37,1081.37
MON,11:49:00,58.0,58.0,129.47,1340.07,1081.37,1081.37
MON,11:54:00,58.0,58.0,129.47,1340.07,1081.37,1081.37
MON,11:59:00,58.0,58.0,129.47,1340.07,1096.88,1096.88
MON,12:04:00,58.0,117.0,129.47,1340.07,1096.88,1096.88
MON,12:09:00,58.0,117.0,129.47,1340.07,1096.88,1096.88
MON,12:14:00,58.0,58.0,129.47,1340.07,1096.88,1096.88
MON,12:19:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,12:24:00,58.0,58.0,129.47,129.47,1114.68,1114.68
MON,12:29:00,58.0,58.0,129.47,1340.07,1123.13,1123.13
MON,12:34:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,12:39:00,58.0,58.0,129.47,129.47,1114.68,1114.68
MON,12:44:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,12:49:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,12:54:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,12:59:00,58.0,58.0,129.47,1340.07,1114.68,1114.68
MON,13:04:00,58.0,58.0,129.47,1340.07,1123.13,1123.13
MON,13:09:00,58.0,58.0,129.47,1340.07,1123.13,1123.13
MON,13:14:00,58.0,58.0,129.47,129.47,1131.78,1131.78
MON,13:19:00,58.0,58.0,129.47,1340.07,1246.13,1246.13
MON,13:24:00,58.0,58.0,129.47,1340.07,1138.14,1138.14
MON,13:29:00,58.0,58.0,129.47,1340.07,1142.18,1142.18
MON,13:34:00,117.0,117.0,129.47,1340.07,1148.28,1148.28
MON,13:39:00,234.0,234.0,1340.07,1340.07,1159.59,1159.59
MON,13:44:00,58.0,58.0,1340.07,1340.07,1159.59,1159.59
MON,13:49:00,877.0,877.0,1340.07,1340.07,1185.14,1185.14
MON,13:54:00,58.0,58.0,1340.07,1340.07,1159.59,1159.59
MON,13:59:00,58.0,117.0,1340.07,1340.07,1171.63,1171.63
MON,14:04:00,58.0,117.0,1340.07,1340.07,1171.63,1171.63
MON,14:09:00,58.0,117.0,1340.07,1340.07,1171.63,1171.63
MON,14:14:00,58.0,58.0,1340.07,1340.07,1185.14,1185.14
MON,14:19:00,58.0,58.0,129.47,1340.07,1196.91,1196.91
MON,14:24:00,58.0,58.0,1340.07,1340.07,1196.91,1196.91
MON,14:29:00,58.0,58.0,1340.07,1340.07,1205.44,1205.44
MON,14:34:00,58.0,58.0,1340.07,1340.07,1205.44,1205.44
MON,14:39:00,58.0,58.0,1340.07,1340.07,1211.9,1211.9
MON,14:44:00,58.0,58.0,1340.07,1340.07,1205.44,1205.44
MON,14:49:00,58.0,58.0,1340.07,1340.07,1205.44,1205.44
MON,14:54:00,58.0,58.0,1340.07,1340.07,1211.9,1211.9
MON,14:59:00,58.0,58.0,1340.07,1340.07,1226.24,1226.24
MON,15:04:00,409.0,409.0,129.47,1340.07,1246.13,1246.13
MON,15:09:00,58.0,58.0,129.47,1340.07,1220.31,1220.31
MON,15:14:00,58.0,58.0,129.47,1340.07,1220.31,1220.31
MON,15:19:00,58.0,58.0,129.47,1340.07,1220.31,1220.31
MON,15:24:00,58.0,58.0,129.47,1340.07,1232.25,1232.25
