WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,234.0,0.0,107.97,107.97,1452.41,1452.41
MON,08:44:00,2585.51,2585.51,107.97,107.97,1452.41,1452.41
MON,08:49:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,08:54:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,08:59:00,117.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:04:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,09:09:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:14:00,117.0,0.0,107.97,107.97,1452.41,1452.41
MON,09:19:00,0.0,0.0,107.97,107.97,1452.41,1452.41
MON,09:24:00,117.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:29:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:34:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:39:00,117.0,0.0,107.97,107.97,1457.78,1457.78
MON,09:44:00,0.0,0.0,107.97,107.97,1462.75,1462.75
MON,09:49:00,0.0,0.0,107.97,107.97,1462.75,1462.75
MON,09:54:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,09:59:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,10:04:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,10:09:00,234.0,0.0,107.97,107.97,1452.41,1452.41
MON,10:14:00,117.0,0.0,107.97,107.97,1457.78,1457.78
MON,10:19:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,10:24:00,0.0,0.0,107.97,107.97,1452.41,1452.41
MON,10:29:00,292.0,292.0,107.97,107.97,1452.41,1452.41
MON,10:34:00,0.0,0.0,107.97,107.97,1462.75,1462.75
MON,10:39:00,292.0,0.0,107.97,107.97,1462.75,1462.75
MON,10:44:00,292.0,0.0,107.97,107.97,1470.88,1470.88
MON,10:49:00,117.0,0.0,107.97,107.97,1462.75,1462.75
MON,10:54:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,10:59:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,11:04:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,11:09:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,11:14:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,11:19:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,11:24:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,11:29:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,11:34:00,0.0,0.0,107.97,107.97,1499.32,1499.32
MON,11:39:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,11:44:00,0.0,0.0,107.97,107.97,1499.32,1499.32
MON,11:49:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,11:54:00,117.0,0.0,107.97,107.97,1484.49,1484.49
MON,11:59:00,117.0,117.0,107.97,107.97,1499.32,1499.32
MON,12:04:00,0.0,0.0,107.97,107.97,1499.32,1499.32
MON,12:09:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,12:14:00,117.0,0.0,107.97,107.97,1491.29,1491.29
MON,12:19:00,0.0,0.0,107.97,107.97,1506.79,1506.79
MON,12:24:00,0.0,0.0,107.97,107.97,1499.32,1499.32
MON,12:29:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,12:34:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,12:39:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,12:44:00,117.0,0.0,107.97,107.97,1484.49,1484.49
MON,12:49:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,12:54:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,12:59:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:04:00,0.0,0.0,107.97,107.97,1477.06,1484.49
MON,13:09:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:14:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:19:00,0.0,0.0,107.97,107.97,1540.91,1491.29
MON,13:24:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:29:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:34:00,0.0,0.0,107.97,107.97,1477.06,1477.06
MON,13:39:00,117.0,117.0,107.97,107.97,1477.06,1477.06
MON,13:44:00,117.0,117.0,107.97,107.97,1477.06,1477.06
MON,13:49:00,1287.0,0.0,107.97,107.97,1499.32,1499.32
MON,13:54:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,13:59:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:04:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:09:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:14:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:19:00,234.0,0.0,107.97,107.97,1477.06,1477.06
MON,14:24:00,0.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:29:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,14:34:00,117.0,234.0,107.97,107.97,1484.49,1484.49
MON,14:39:00,117.0,0.0,107.97,107.97,1484.49,1484.49
MON,14:44:00,292.0,0.0,107.97,107.97,1491.29,1491.29
MON,14:49:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,14:54:00,0.0,0.0,107.97,107.97,1491.29,1491.29
MON,14:59:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,15:04:00,409.0,409.0,107.97,107.97,1499.32,1499.32
MON,15:09:00,0.0,0.0,1354.79,107.97,1462.75,1462.75
MON,15:14:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,15:19:00,0.0,0.0,107.97,107.97,1462.75,1462.75
MON,15:24:00,0.0,0.0,3264.49,107.97,1462.75,1462.75
MON,15:29:00,0.0,0.0,107.97,107.97,1457.78,1457.78
MON,15:34:00,0.0,0.0,107.97,107.97,1470.88,1470.88
MON,15:39:00,117.0,0.0,107.97,107.97,1462.75,1462.75
MON,15:44:00,0.0,0.0,107.97,107.97,1466.46,1466.46
MON,15:49:00,117.0,0.0,107.97,107.97,1470.88,1470.88
MON,15:54:00,0.0,0.0,107.97,107.97,1477.06,1477.06
