WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,117.0,7.85,102.63,1529.2,1529.2
MON,08:44:00,2433.1,2433.1,50.26,102.63,1542.51,1542.51
MON,08:49:00,117.0,117.0,7.85,50.26,1542.51,1542.51
MON,08:54:00,58.0,58.0,50.26,50.26,1552.89,1552.89
MON,08:59:00,58.0,468.0,50.26,168.8,1542.51,1542.51
MON,09:04:00,58.0,117.0,50.26,102.63,1542.51,1542.51
MON,09:09:00,58.0,292.0,168.8,168.8,1542.51,1542.51
MON,09:14:00,58.0,117.0,233.7,102.63,1542.51,1542.51
MON,09:19:00,58.0,117.0,7.85,168.8,1542.51,1542.51
MON,09:24:00,58.0,58.0,7.85,102.63,1542.51,1542.51
MON,09:29:00,58.0,58.0,7.85,50.26,1542.51,1542.51
MON,09:34:00,58.0,117.0,102.63,50.26,1552.89,1552.89
MON,09:39:00,58.0,585.0,50.26,50.26,1542.51,1542.51
MON,09:44:00,58.0,468.0,7.85,50.26,1552.89,1542.51
MON,09:49:00,468.0,643.0,102.63,102.63,1542.51,1542.51
MON,09:54:00,234.0,117.0,102.63,302.97,1542.51,1542.51
MON,09:59:00,117.0,643.0,50.26,102.63,1552.89,1529.2
MON,10:04:00,58.0,234.0,50.26,50.26,1595.43,1542.51
MON,10:09:00,58.0,585.0,102.63,50.26,1542.51,1542.51
MON,10:14:00,58.0,234.0,102.63,102.63,1542.51,1542.51
MON,10:19:00,58.0,585.0,50.26,102.63,1559.55,1578.36
MON,10:24:00,58.0,409.0,102.63,233.7,1559.55,1559.55
MON,10:29:00,58.0,409.0,7.85,102.63,1559.55,1559.55
MON,10:34:00,58.0,58.0,680.92,680.92,1567.1,1567.1
MON,10:39:00,58.0,585.0,378.35,378.35,1559.55,1578.36
MON,10:44:00,58.0,58.0,102.63,102.63,1567.1,1567.1
MON,10:49:00,58.0,409.0,7.85,102.63,1542.51,1542.51
MON,10:54:00,58.0,409.0,7.85,102.63,1559.55,1559.55
MON,10:59:00,58.0,409.0,50.26,50.26,1552.89,1552.89
MON,11:04:00,58.0,234.0,50.26,50.26,1552.89,1552.89
MON,11:09:00,58.0,117.0,7.85,102.63,1552.89,1552.89
MON,11:14:00,58.0,234.0,50.26,168.8,1552.89,1552.89
MON,11:19:00,58.0,234.0,102.63,102.63,1552.89,1552.89
MON,11:24:00,234.0,234.0,7.85,102.63,1552.89,1572.99
MON,11:29:00,58.0,234.0,7.85,102.63,1559.55,1559.55
MON,11:34:00,58.0,409.0,7.85,102.63,1567.1,1567.1
MON,11:39:00,58.0,58.0,510.06,510.06,1542.51,1542.51
MON,11:44:00,58.0,234.0,50.26,50.26,1542.51,1542.51
MON,11:49:00,58.0,234.0,50.26,102.63,1542.51,1542.51
MON,11:54:00,58.0,117.0,7.85,102.63,1552.89,1552.89
MON,11:59:00,58.0,234.0,7.85,102.63,1542.51,1542.51
MON,12:04:00,58.0,234.0,7.85,50.26,1552.89,1552.89
MON,12:09:00,58.0,117.0,102.63,102.63,1542.51,1542.51
MON,12:14:00,58.0,58.0,7.85,102.63,1552.89,1552.89
MON,12:19:00,58.0,292.0,7.85,50.26,1542.51,1552.89
MON,12:24:00,58.0,409.0,378.35,378.35,1552.89,1552.89
MON,12:29:00,58.0,58.0,50.26,50.26,1552.89,1552.89
MON,12:34:00,117.0,234.0,50.26,50.26,1559.55,1559.55
MON,12:39:00,58.0,117.0,7.85,50.26,1552.89,1552.89
MON,12:44:00,58.0,117.0,7.85,50.26,1552.89,1552.89
