WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,234.0,4.51,4.51,286.0,286.0
MON,08:44:00,58.0,0.0,4.51,4.51,287.0,287.0
MON,08:49:00,234.0,292.0,4.51,11.68,287.0,287.0
MON,08:54:00,292.0,321.0,11.68,4.51,289.0,289.0
MON,08:59:00,204.0,117.0,4.51,4.51,289.0,289.0
MON,09:04:00,0.0,117.0,4.51,4.51,284.0,284.0
MON,09:09:00,204.0,292.0,4.51,4.51,278.5,287.0
MON,09:14:00,146.0,0.0,4.51,4.51,285.0,285.0
MON,09:19:00,146.0,58.0,4.51,4.51,287.0,287.0
MON,09:24:00,117.0,234.0,4.51,4.51,286.0,286.0
MON,09:29:00,117.0,0.0,4.51,4.51,288.0,290.0
MON,09:34:00,146.0,117.0,4.51,4.51,287.0,287.0
MON,09:39:00,117.0,117.0,4.51,4.51,287.0,287.0
MON,09:44:00,117.0,117.0,11.68,11.68,288.0,288.0
MON,09:49:00,234.0,0.0,4.51,4.51,289.0,289.0
MON,09:54:00,0.0,0.0,4.51,4.51,282.0,282.0
MON,09:59:00,117.0,204.0,4.51,4.51,291.0,291.0
MON,10:04:00,204.0,204.0,11.68,11.68,291.0,291.0
MON,10:09:00,204.0,58.0,4.51,4.51,291.0,291.0
MON,10:14:00,117.0,0.0,4.51,4.51,292.0,286.0
MON,10:19:00,292.0,0.0,4.51,4.51,292.0,292.0
MON,10:24:00,204.0,58.0,4.51,4.51,292.0,287.0
MON,10:29:00,0.0,292.0,4.51,4.51,293.49,289.0
MON,10:34:00,146.0,234.0,4.51,4.51,292.0,290.0
MON,10:39:00,117.0,292.0,11.68,11.68,293.49,289.0
MON,10:44:00,292.0,292.0,4.51,4.51,284.0,290.0
MON,10:49:00,146.0,234.0,4.51,4.51,287.0,287.0
MON,10:54:00,204.0,204.0,11.68,11.68,290.0,289.0
MON,10:59:00,146.0,204.0,4.51,4.51,293.49,293.49
MON,11:04:00,58.0,58.0,4.51,4.51,293.49,293.49
MON,11:09:00,146.0,292.0,4.51,4.51,302.45,302.45
MON,11:14:00,146.0,234.0,4.51,4.51,295.48,291.0
MON,11:19:00,146.0,0.0,4.51,4.51,295.48,299.49
MON,11:24:00,292.0,292.0,11.68,4.51,298.0,292.0
MON,11:29:00,321.0,292.0,11.68,11.68,308.0,295.48
MON,11:34:00,204.0,234.0,4.51,4.51,287.0,287.0
MON,11:39:00,58.0,292.0,68.43,68.43,290.0,290.0
MON,11:44:00,204.0,146.0,4.51,4.51,293.49,293.49
