WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,58.0,6.28,6.28,1523.04,1523.04
MON,08:44:00,761.0,761.0,6.28,6.28,1523.04,1523.04
MON,08:49:00,58.0,58.0,6.28,6.28,1523.04,1523.04
MON,08:54:00,58.0,58.0,6.28,6.28,1523.04,1523.04
MON,08:59:00,58.0,58.0,6.28,6.28,1523.04,1523.04
MON,09:04:00,58.0,117.0,6.28,6.28,1523.04,1523.04
MON,09:09:00,58.0,58.0,6.28,6.28,1523.04,1523.04
MON,09:14:00,58.0,58.0,6.28,6.28,1534.38,1534.38
MON,09:19:00,58.0,117.0,6.28,6.28,1534.38,1534.38
MON,09:24:00,4507.03,234.0,6.28,6.28,1534.38,1534.38
MON,09:29:00,58.0,58.0,6.28,6.28,1534.38,1534.38
MON,09:34:00,585.0,234.0,6.28,6.28,1534.38,1534.38
MON,09:39:00,58.0,58.0,6.28,6.28,1534.38,1534.38
MON,09:44:00,58.0,234.0,121.32,6.28,1534.38,1534.38
MON,09:49:00,58.0,58.0,6.28,6.28,1534.38,1534.38
MON,09:54:00,117.0,117.0,6.28,6.28,1523.04,1523.04
MON,09:59:00,58.0,234.0,121.32,6.28,1523.04,1523.04
MON,10:04:00,58.0,58.0,121.32,6.28,1534.38,1534.38
MON,10:09:00,58.0,58.0,6.28,6.28,1534.38,1534.38
MON,10:14:00,58.0,234.0,6.28,6.28,1534.38,1534.38
MON,10:19:00,58.0,234.0,121.32,6.28,1549.73,1549.73
MON,10:24:00,409.0,234.0,121.32,6.28,1549.73,1549.73
MON,10:29:00,58.0,234.0,6.28,6.28,1549.73,1549.73
MON,10:34:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,10:39:00,58.0,117.0,570.17,570.17,1599.06,1599.06
MON,10:44:00,58.0,58.0,6.28,121.32,1599.06,1599.06
MON,10:49:00,58.0,58.0,253.13,6.28,1655.99,1655.99
MON,10:54:00,58.0,234.0,121.32,6.28,1534.38,1534.38
MON,10:59:00,58.0,58.0,6.28,121.32,1549.73,1549.73
MON,11:04:00,58.0,117.0,6.28,121.32,1549.73,1549.73
MON,11:09:00,58.0,58.0,6.28,121.32,1549.73,1549.73
MON,11:14:00,58.0,117.0,6.28,121.32,1549.73,1549.73
MON,11:19:00,468.0,468.0,6.28,121.32,1549.73,1549.73
MON,11:24:00,58.0,58.0,6.28,121.32,1549.73,1549.73
MON,11:29:00,58.0,117.0,6.28,6.28,1549.73,1549.73
MON,11:34:00,117.0,117.0,6.28,121.32,1568.21,1568.21
MON,11:39:00,58.0,58.0,6.28,121.32,1549.73,1549.73
MON,11:44:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,11:49:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,11:54:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,11:59:00,58.0,58.0,6.28,121.32,1549.73,1549.73
MON,12:04:00,58.0,117.0,6.28,6.28,1559.81,1559.81
MON,12:09:00,58.0,117.0,6.28,6.28,1549.73,1549.73
MON,12:14:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,12:19:00,117.0,234.0,6.28,6.28,1559.81,1559.81
MON,12:24:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,12:29:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,12:34:00,117.0,409.0,6.28,6.28,1549.73,1549.73
MON,12:39:00,234.0,409.0,6.28,6.28,1549.73,1549.73
MON,12:44:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,12:49:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,12:54:00,117.0,58.0,6.28,6.28,1559.81,1559.81
MON,12:59:00,58.0,117.0,6.28,6.28,1559.81,1559.81
MON,13:04:00,58.0,58.0,121.32,6.28,1559.81,1559.81
MON,13:09:00,58.0,117.0,6.28,6.28,1559.81,1559.81
MON,13:14:00,234.0,234.0,6.28,6.28,1559.81,1559.81
MON,13:19:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,13:24:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,13:29:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,13:34:00,58.0,58.0,6.28,6.28,1616.0,1616.0
MON,13:39:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,13:44:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,13:49:00,58.0,234.0,6.28,6.28,1574.03,1581.84
MON,13:54:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,13:59:00,58.0,117.0,6.28,6.28,1549.73,1549.73
MON,14:04:00,58.0,234.0,6.28,6.28,1549.73,1549.73
MON,14:09:00,58.0,117.0,6.28,6.28,1549.73,1549.73
MON,14:14:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,14:19:00,58.0,117.0,6.28,6.28,1549.73,1549.73
MON,14:24:00,58.0,58.0,6.28,6.28,1549.73,1549.73
MON,14:29:00,58.0,58.0,6.28,6.28,1559.81,1559.81
MON,14:34:00,58.0,117.0,121.32,6.28,1603.63,1603.63
MON,14:39:00,58.0,58.0,121.32,6.28,1606.97,1606.97
MON,14:44:00,58.0,58.0,6.28,6.28,1616.0,1616.0
MON,14:49:00,58.0,58.0,253.13,6.28,1680.41,1680.41
MON,14:54:00,58.0,234.0,6.28,6.28,1683.22,1683.22
MON,14:59:00,58.0,234.0,6.28,6.28,1685.52,1685.52
MON,15:04:00,58.0,234.0,6.28,6.28,1709.52,1709.52
MON,15:09:00,58.0,58.0,6.28,6.28,1677.63,1677.63
MON,15:14:00,58.0,58.0,6.28,6.28,1680.41,1680.41
MON,15:19:00,58.0,58.0,6.28,6.28,1683.22,1683.22
MON,15:24:00,58.0,234.0,6.28,121.32,1687.61,1687.61
MON,15:29:00,58.0,58.0,6.28,121.32,1687.61,1687.61
MON,15:34:00,58.0,58.0,6.28,6.28,1689.47,1689.47
MON,15:39:00,58.0,234.0,6.28,121.32,1671.46,1671.46
MON,15:44:00,58.0,117.0,6.28,253.13,1677.63,1677.63
MON,15:49:00,58.0,117.0,6.28,253.13,1677.63,1677.63
MON,15:54:00,58.0,117.0,6.28,121.32,1677.63,1677.63
MON,15:59:00,58.0,117.0,6.28,253.13,1677.63,1677.63
