WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,409.0,5.32,61.52,1537.0,1537.0
MON,08:44:00,0.0,0.0,566.77,566.77,1547.01,1547.01
MON,08:49:00,0.0,878.0,159.28,159.28,1526.38,1526.38
MON,08:54:00,0.0,0.0,61.52,61.52,1523.0,1523.0
MON,08:59:00,0.0,643.0,159.28,159.28,1520.55,1520.55
MON,09:04:00,1053.0,0.0,5.32,5.32,1514.12,1514.12
MON,09:09:00,234.0,117.0,5.32,5.32,1518.14,1518.14
MON,09:14:00,117.0,292.0,5.32,61.52,1514.12,1514.12
MON,09:19:00,0.0,0.0,5.32,5.32,1509.53,1509.53
MON,09:24:00,4610.39,117.0,5.32,5.32,1518.14,1518.14
MON,09:29:00,0.0,0.0,61.52,61.52,1514.12,1514.12
MON,09:34:00,117.0,117.0,5.32,61.52,1520.55,1520.55
MON,09:39:00,468.0,468.0,5.32,61.52,1518.14,1518.14
MON,09:44:00,0.0,117.0,61.52,61.52,1518.14,1518.14
MON,09:49:00,0.0,234.0,5.32,61.52,1523.0,1526.38
MON,09:54:00,761.0,761.0,159.28,159.28,1529.95,1529.95
MON,09:59:00,1404.0,1404.0,263.83,263.83,1523.0,1526.38
MON,10:04:00,1053.0,1053.0,263.83,263.83,1520.55,1520.55
MON,10:09:00,1112.0,1112.0,61.52,61.52,1523.0,1523.0
MON,10:14:00,0.0,0.0,61.52,61.52,1526.38,1526.38
MON,10:19:00,292.0,761.0,5.32,61.52,1518.14,1518.14
MON,10:24:00,117.0,0.0,5.32,61.52,1520.55,1520.55
MON,10:29:00,585.0,585.0,5.32,61.52,1562.53,1526.38
MON,10:34:00,0.0,0.0,61.52,61.52,1514.12,1514.12
MON,10:39:00,1112.0,1112.0,5.32,61.52,1509.53,1509.53
MON,10:44:00,292.0,234.0,5.32,5.32,1514.12,1514.12
MON,10:49:00,0.0,761.0,5.32,61.52,1518.14,1518.14
MON,10:54:00,0.0,0.0,5.32,61.52,1514.12,1514.12
MON,10:59:00,1404.0,1404.0,5.32,61.52,1509.53,1509.53
