WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,0.0,15.48,4.84,1835.56,1835.56
MON,08:44:00,518.89,518.89,9.83,9.83,1850.69,1850.69
MON,08:49:00,0.0,0.0,9.83,9.83,1850.69,1850.69
MON,08:54:00,0.0,0.0,0.29,9.83,1826.35,1826.35
MON,08:59:00,0.0,0.0,0.29,4.84,1798.57,1798.57
MON,09:04:00,0.0,0.0,0.29,0.29,1804.31,1811.99
MON,09:09:00,0.0,0.0,0.29,21.83,1804.31,1804.31
MON,09:14:00,0.0,0.0,0.29,0.29,1804.31,1804.31
MON,09:19:00,0.0,0.0,0.29,21.83,1804.31,1804.31
MON,09:24:00,0.0,0.0,0.29,0.29,1804.31,1804.31
MON,09:29:00,0.0,0.0,0.29,9.83,1804.31,1804.31
MON,09:34:00,0.0,0.0,0.29,4.84,1804.31,1804.31
MON,09:39:00,0.0,0.0,0.29,9.83,1804.31,1804.31
MON,09:44:00,0.0,0.0,0.29,15.48,1804.31,1804.31
MON,09:49:00,0.0,0.0,0.29,15.48,1804.31,1804.31
MON,09:54:00,0.0,0.0,4.84,21.83,1798.57,1798.57
MON,09:59:00,0.0,0.0,0.29,4.84,1798.57,1798.57
MON,10:04:00,0.0,0.0,0.29,9.83,1804.31,1804.31
MON,10:09:00,0.0,0.0,0.29,15.48,1804.31,1804.31
MON,10:14:00,0.0,0.0,0.29,4.84,1804.31,1804.31
MON,10:19:00,0.0,0.0,0.29,4.84,1804.31,1804.31
MON,10:24:00,133.0,0.0,0.29,9.83,1804.31,1804.31
MON,10:29:00,0.0,0.0,0.29,4.84,1804.31,1804.31
MON,10:34:00,0.0,0.0,4.84,4.84,1804.31,1804.31
MON,10:39:00,0.0,0.0,4.84,15.48,1835.56,1798.57
MON,10:44:00,0.0,0.0,0.29,4.84,1821.96,1821.96
MON,10:49:00,0.0,0.0,4.84,9.83,1829.29,1829.29
MON,10:54:00,0.0,0.0,15.48,9.83,1856.47,1811.99
MON,10:59:00,0.0,0.0,15.48,15.48,1863.25,1818.08
MON,11:04:00,133.0,0.0,21.83,21.83,1856.47,1837.5
MON,11:09:00,0.0,0.0,21.83,15.48,1870.64,1818.08
MON,11:14:00,0.0,0.0,28.35,15.48,1878.66,1844.88
MON,11:19:00,133.0,0.0,21.83,21.83,1878.66,1840.5
MON,11:24:00,0.0,0.0,21.83,21.83,1886.94,1844.88
MON,11:29:00,133.0,0.0,21.83,21.83,1906.15,1886.94
MON,11:34:00,0.0,518.89,21.83,21.83,1914.66,1856.47
MON,11:39:00,133.0,0.0,21.83,9.83,1896.57,1856.47
MON,11:44:00,0.0,0.0,21.83,9.83,1896.57,1863.25
MON,11:49:00,0.0,0.0,21.83,39.46,1906.15,1896.57
MON,11:54:00,133.0,0.0,21.83,21.83,1914.66,1863.25
MON,11:59:00,0.0,266.0,9.83,9.83,1921.89,1856.47
MON,12:04:00,0.0,333.0,4.84,39.46,1906.15,1896.57
MON,12:09:00,0.0,0.0,4.84,28.35,1921.89,1878.66
MON,12:14:00,0.0,133.0,4.84,15.48,1935.49,1878.66
MON,12:19:00,937.43,937.43,28.35,28.35,1956.46,1896.57
MON,12:24:00,0.0,266.0,44.95,44.95,1914.66,1914.66
