WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,0.0,2.18,1.0,795.61,795.61
MON,08:44:00,234.0,604.2,2.18,1.0,799.09,799.09
MON,08:49:00,0.0,0.0,2.18,1.0,792.33,792.33
MON,08:54:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,08:59:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,09:04:00,604.2,604.2,1.0,1.0,792.33,792.33
MON,09:09:00,117.0,0.0,2.18,1.0,792.33,792.33
MON,09:14:00,0.0,0.0,1.0,1.0,795.61,795.61
MON,09:19:00,0.0,0.0,1.0,1.0,795.61,795.61
MON,09:24:00,117.0,0.0,1.0,1.0,792.33,792.33
MON,09:29:00,0.0,0.0,2.18,1.0,795.61,795.61
MON,09:34:00,0.0,604.2,1.0,1.0,795.61,795.61
MON,09:39:00,0.0,0.0,1.0,1.0,795.61,795.61
MON,09:44:00,0.0,0.0,1.0,1.0,788.5,795.61
MON,09:49:00,0.0,234.0,2.18,1.0,784.44,795.61
MON,09:54:00,0.0,0.0,2.18,4.67,792.33,792.33
MON,09:59:00,292.0,0.0,2.18,4.67,792.33,792.33
MON,10:04:00,292.0,604.2,1.0,1.0,792.33,792.33
MON,10:09:00,0.0,0.0,2.18,4.67,792.33,792.33
MON,10:14:00,0.0,0.0,1.0,1.0,795.61,795.61
MON,10:19:00,0.0,604.2,1.0,1.0,795.61,795.61
MON,10:24:00,117.0,0.0,1.0,1.0,795.61,795.61
MON,10:29:00,409.0,409.0,1.0,1.0,795.61,795.61
MON,10:34:00,0.0,0.0,4.67,4.67,795.61,795.61
MON,10:39:00,0.0,234.0,2.18,4.67,795.61,795.61
MON,10:44:00,0.0,0.0,1.0,1.0,788.5,795.61
MON,10:49:00,0.0,234.0,2.18,4.67,788.5,788.5
MON,10:54:00,0.0,0.0,2.18,2.18,792.33,792.33
MON,10:59:00,0.0,292.0,2.18,4.67,792.33,792.33
MON,11:04:00,0.0,0.0,2.18,2.18,795.61,795.61
MON,11:09:00,0.0,0.0,1.0,1.0,799.09,799.09
MON,11:14:00,117.0,0.0,2.18,4.67,795.61,795.61
MON,11:19:00,0.0,292.0,2.18,2.18,795.61,792.33
MON,11:24:00,117.0,0.0,1.0,1.0,795.61,795.61
MON,11:29:00,0.0,0.0,2.18,2.18,799.09,799.09
MON,11:34:00,117.0,0.0,2.18,1.0,809.0,799.09
MON,11:39:00,0.0,409.0,1.0,1.0,792.33,792.33
MON,11:44:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,11:49:00,0.0,0.0,1.0,1.0,795.61,795.61
MON,11:54:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,11:59:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,12:04:00,0.0,0.0,1.0,1.0,792.33,792.33
MON,12:09:00,0.0,234.0,2.18,1.0,795.61,795.61
MON,12:14:00,0.0,0.0,4.67,1.0,795.61,795.61
MON,12:19:00,0.0,0.0,2.18,1.0,795.61,795.61
MON,12:24:00,0.0,0.0,2.18,1.0,795.61,795.61
MON,12:29:00,0.0,292.0,2.18,1.0,795.61,795.61
