WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,1522.0,1522.0,46.0,46.0,5713.93,5713.93
MON,08:44:00,2075.68,2075.68,45.0,45.0,5799.48,5799.48
MON,08:49:00,3189.13,3189.13,51.0,51.0,5757.41,5757.41
MON,08:54:00,5854.0,5854.0,46.0,46.0,5778.0,5778.0
MON,08:59:00,259.12,259.12,41.0,41.0,5780.0,5780.0
MON,09:04:00,486.63,486.63,37.0,37.0,5763.04,5763.04
MON,09:09:00,5617.57,5617.57,45.0,45.0,5814.07,5814.07
MON,09:14:00,2458.0,2458.0,48.0,48.0,5784.0,5784.0
MON,09:19:00,700.91,700.91,41.0,41.0,5789.52,5789.52
MON,09:24:00,5854.0,5854.0,40.0,40.0,5751.42,5751.42
MON,09:29:00,902.64,902.64,42.0,42.0,5717.13,5717.13
MON,09:34:00,4827.02,4827.02,42.0,42.0,5738.01,5738.01
MON,09:39:00,5477.27,5477.27,38.0,38.0,5751.42,5751.42
MON,09:44:00,5854.0,5854.0,37.0,37.0,5763.04,5786.52
MON,09:49:00,5854.0,5854.0,31.0,31.0,5763.04,5763.04
MON,09:54:00,2075.68,2075.68,46.0,46.0,5809.48,5809.48
MON,09:59:00,486.63,486.63,39.0,39.0,5789.52,5789.52
MON,10:04:00,5854.0,86.94,29.0,29.0,5760.0,5760.0
MON,10:09:00,5854.0,5854.0,52.0,52.0,5796.43,5796.43
MON,10:14:00,5854.0,5854.0,45.0,36.0,5786.52,5786.52
MON,10:19:00,2075.68,2075.68,41.0,41.0,5786.52,5786.52
MON,10:24:00,5854.0,5854.0,40.0,40.0,5717.13,5717.13
MON,10:29:00,5146.32,5146.32,36.0,36.0,5690.23,5690.23
MON,10:34:00,1522.0,1522.0,42.0,42.0,5697.11,5697.11
MON,10:39:00,5854.0,5854.0,38.0,38.0,5717.13,5717.13
MON,10:44:00,5854.0,86.94,42.0,42.0,5772.0,5772.0
MON,10:49:00,700.91,700.91,41.0,41.0,5725.49,5725.49
MON,10:54:00,5854.0,5854.0,36.0,36.0,5738.01,5738.01
MON,10:59:00,3863.0,3863.0,35.0,49.0,5778.0,5778.0
MON,11:04:00,1580.0,1580.0,42.0,41.0,5789.52,5789.52
MON,11:09:00,5854.0,700.91,52.0,52.0,5809.48,5809.48
MON,11:14:00,486.63,486.63,52.0,51.0,5793.0,5793.0
MON,11:19:00,3334.34,3334.34,50.0,50.0,5794.44,5794.44
MON,11:24:00,5795.0,5795.0,38.0,52.0,5668.08,5668.08
MON,11:29:00,1287.0,1287.0,143.22,143.22,5653.67,5653.67
MON,11:34:00,5854.0,5854.0,50.0,46.0,5602.02,5602.02
MON,11:39:00,5795.0,5795.0,39.0,39.0,5625.45,5625.45
MON,11:44:00,2868.0,2868.0,41.0,42.0,5707.51,5707.51
MON,11:49:00,2075.68,2075.68,42.0,42.0,5705.45,5705.45
MON,11:54:00,5854.0,5854.0,42.0,42.0,5707.51,5707.51
MON,11:59:00,2216.32,2216.32,42.0,42.0,5757.41,5757.41
MON,12:04:00,1229.0,1229.0,40.0,40.0,5777.0,5777.0
MON,12:09:00,3189.13,3189.13,56.0,56.0,5789.52,5791.41
MON,12:14:00,486.63,486.63,54.0,54.0,5791.41,5791.41
MON,12:19:00,2692.0,2692.0,46.0,48.0,5791.41,5791.41
MON,12:24:00,3189.13,3189.13,45.0,45.0,5767.0,5767.0
MON,12:29:00,5854.0,86.94,45.0,45.0,5791.41,5791.41
MON,12:34:00,486.63,486.63,44.0,44.0,5703.02,5703.02
MON,12:39:00,5854.0,5854.0,38.0,38.0,5730.0,5730.0
MON,12:44:00,4181.06,4181.06,39.0,39.0,5692.49,5692.49
MON,12:49:00,3570.0,3570.0,38.0,41.0,5697.11,5697.11
MON,12:54:00,4181.06,4181.06,44.0,44.0,5746.55,5746.55
MON,12:59:00,5034.0,5034.0,41.0,41.0,5788.0,5786.52
MON,13:04:00,4181.06,4181.06,44.0,44.0,5791.41,5791.41
MON,13:09:00,5854.0,700.91,64.0,64.0,5818.95,5818.95
MON,13:14:00,1082.73,259.12,50.0,50.0,5791.41,5791.41
MON,13:19:00,2576.19,2576.19,39.0,39.0,5789.52,5786.52
MON,13:24:00,5477.27,5477.27,42.0,42.0,5770.42,5770.42
MON,13:29:00,2075.68,2075.68,39.0,39.0,5789.52,5791.41
MON,13:34:00,3512.0,3512.0,39.0,37.0,5780.0,5780.0
MON,13:39:00,5854.0,486.63,40.0,40.0,5801.0,5801.0
MON,13:44:00,4827.02,4827.02,44.0,44.0,5789.52,5791.41
MON,13:49:00,5854.0,5854.0,40.0,51.0,5822.79,5822.79
MON,13:54:00,4624.0,4624.0,39.0,39.0,5707.51,5707.51
MON,13:59:00,5854.0,486.63,37.0,37.0,5748.99,5748.99
MON,14:04:00,3395.0,3395.0,50.0,50.0,5703.02,5703.02
MON,14:09:00,5854.0,5854.0,101.91,101.91,5773.49,5773.49
MON,14:14:00,902.64,902.64,53.0,53.0,5814.07,5814.07
MON,14:19:00,5854.0,486.63,41.0,41.0,5789.52,5789.52
MON,14:24:00,3689.45,3689.45,41.0,41.0,5763.04,5763.04
MON,14:29:00,5617.57,5617.57,41.0,41.0,5783.0,5783.0
MON,14:34:00,5854.0,5854.0,39.0,50.0,5703.02,5791.41
MON,14:39:00,4181.06,4181.06,58.58,58.58,5703.02,5703.02
MON,14:44:00,86.94,902.64,50.0,50.0,5699.9,5789.52
MON,14:49:00,86.94,86.94,37.0,37.0,5703.02,5703.02
MON,14:54:00,5854.0,5854.0,36.0,41.0,5709.43,5709.43
MON,14:59:00,486.63,486.63,36.0,36.0,5755.54,5755.54
MON,15:04:00,700.91,700.91,38.0,55.0,5766.0,5766.0
MON,15:09:00,5034.0,5034.0,46.0,46.0,5818.95,5818.95
MON,15:14:00,3334.34,3334.34,50.0,50.0,5786.52,5786.52
MON,15:19:00,5146.32,5146.32,46.0,46.0,5784.0,5784.0
MON,15:24:00,1082.73,1082.73,49.0,49.0,5697.11,5697.11
MON,15:29:00,2400.0,2400.0,48.0,48.0,5731.0,5731.0
MON,15:34:00,486.63,259.12,47.0,47.0,5675.89,5675.89
MON,15:39:00,3334.34,3334.34,42.0,42.0,5692.49,5692.49
MON,15:44:00,486.63,86.94,46.0,48.0,5709.43,5709.43
MON,15:49:00,3980.0,3980.0,38.0,44.0,5720.01,5720.01
MON,15:54:00,4827.02,4827.02,39.0,39.0,5735.4,5735.4
MON,15:59:00,486.63,902.64,26.6,41.0,5760.0,5789.52
MON,16:04:00,3189.13,3189.13,42.0,42.0,5786.52,5789.52
MON,16:09:00,5854.0,5795.0,52.0,52.0,5822.79,5822.79
MON,16:14:00,1082.73,486.63,48.0,50.0,5794.44,5794.44
MON,16:19:00,86.94,1082.73,36.0,36.0,5791.41,5788.0
MON,16:24:00,4827.02,4827.02,44.0,44.0,5709.43,5709.43
MON,16:29:00,2075.68,259.12,39.0,39.0,5744.4,5744.4
MON,16:34:00,2751.0,2751.0,38.0,47.0,5675.89,5675.89
