WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,292.0,204.0,0.02,0.02,537.0,539.0
MON,08:44:00,321.0,380.0,0.02,0.02,540.0,540.0
MON,08:49:00,321.0,146.0,0.02,0.02,539.0,539.0
MON,08:54:00,702.0,204.0,0.02,0.02,541.0,541.0
MON,08:59:00,292.0,321.0,0.02,0.02,540.0,540.0
MON,09:04:00,117.0,117.0,0.02,0.02,540.0,540.0
MON,09:09:00,117.0,117.0,0.02,0.02,538.0,538.0
MON,09:14:00,117.0,643.0,0.02,0.02,538.0,538.0
MON,09:19:00,321.0,439.0,0.02,0.02,539.0,539.0
MON,09:24:00,321.0,204.0,0.02,0.02,541.0,538.0
MON,09:29:00,292.0,204.0,0.02,0.02,538.0,538.0
MON,09:34:00,234.0,204.0,0.02,0.02,538.0,539.0
MON,09:39:00,292.0,204.0,0.02,0.02,539.0,539.0
MON,09:44:00,234.0,146.0,0.02,0.02,540.0,541.0
MON,09:49:00,2728.22,2728.22,107.0,107.0,564.0,564.0
MON,09:54:00,1464.81,1464.81,2016.67,2016.67,612.84,612.84
MON,09:59:00,2728.22,2728.22,8700.73,8700.73,612.84,612.84
MON,10:04:00,2018.14,2018.14,8700.73,8700.73,612.84,612.84
MON,10:09:00,117.0,117.0,8700.73,8700.73,612.84,612.84
MON,10:14:00,380.0,380.0,0.02,0.02,642.37,642.37
MON,10:19:00,321.0,321.0,0.02,0.02,563.0,563.0
MON,10:24:00,204.0,204.0,0.02,0.02,565.0,565.0
MON,10:29:00,321.0,321.0,0.02,0.02,562.0,562.0
MON,10:34:00,292.0,292.0,0.02,0.02,565.0,565.0
MON,10:39:00,292.0,292.0,0.02,0.02,565.0,565.0
MON,10:44:00,321.0,321.0,0.02,0.02,539.0,539.0
MON,10:49:00,292.0,292.0,0.02,0.02,564.0,564.0
MON,10:54:00,321.0,321.0,0.02,0.02,564.0,564.0
MON,10:59:00,117.0,117.0,0.02,0.02,564.0,564.0
MON,11:04:00,292.0,292.0,0.02,0.02,564.0,564.0
MON,11:09:00,204.0,204.0,0.02,0.02,563.0,563.0
MON,11:14:00,204.0,204.0,0.02,0.02,538.0,538.0
MON,11:19:00,234.0,234.0,0.02,0.02,538.0,538.0
MON,11:24:00,321.0,321.0,0.02,0.02,538.0,538.0
MON,11:29:00,292.0,292.0,0.02,0.02,538.0,538.0
MON,11:34:00,292.0,292.0,0.02,0.02,539.0,539.0
MON,11:39:00,292.0,321.0,0.02,0.02,539.0,539.0
MON,11:44:00,321.0,234.0,0.02,0.02,536.0,536.0
MON,11:49:00,380.0,234.0,0.02,0.02,538.0,538.0
MON,11:54:00,292.0,204.0,0.02,0.02,539.0,540.0
MON,11:59:00,321.0,204.0,0.02,0.02,536.0,536.0
MON,12:04:00,292.0,204.0,0.02,0.02,538.0,538.0
MON,12:09:00,321.0,468.0,0.02,0.02,539.0,539.0
MON,12:14:00,234.0,234.0,0.02,0.02,538.0,538.0
MON,12:19:00,292.0,439.0,0.02,0.02,538.0,538.0
MON,12:24:00,292.0,234.0,0.02,0.02,539.0,539.0
MON,12:29:00,234.0,204.0,0.02,0.02,537.0,537.0
MON,12:34:00,234.0,702.0,0.02,0.02,538.0,538.0
MON,12:39:00,321.0,321.0,0.02,0.02,539.0,539.0
MON,12:44:00,292.0,117.0,0.02,0.02,539.0,539.0
MON,12:49:00,321.0,556.0,0.02,0.02,538.0,563.0
MON,12:54:00,321.0,29.0,0.02,0.02,565.0,565.0
MON,12:59:00,117.0,204.0,0.02,0.02,563.0,563.0
MON,13:04:00,526.0,292.0,0.02,0.02,565.0,565.0
MON,13:09:00,321.0,204.0,0.02,0.02,564.0,564.0
MON,13:14:00,292.0,204.0,0.02,0.02,539.0,539.0
MON,13:19:00,292.0,117.0,0.02,0.02,563.0,563.0
MON,13:24:00,321.0,380.0,0.02,0.02,565.0,565.0
MON,13:29:00,234.0,234.0,0.02,0.02,565.0,565.0
MON,13:34:00,292.0,146.0,0.02,0.02,565.0,565.0
MON,13:39:00,204.0,204.0,0.02,0.02,564.0,564.0
MON,13:44:00,321.0,234.0,0.02,0.02,539.0,539.0
MON,13:49:00,380.0,380.0,0.02,0.02,539.0,539.0
