WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,380.0,380.0,4.63,4.63,392.56,392.56
MON,08:44:00,790.0,790.0,4.63,4.63,401.43,401.43
MON,08:49:00,439.0,526.0,4.63,4.63,367.48,367.48
MON,08:54:00,292.0,614.0,4.63,4.63,388.0,388.0
MON,08:59:00,556.0,204.0,4.63,4.63,383.0,383.0
MON,09:04:00,292.0,614.0,4.63,4.63,370.0,370.0
MON,09:09:00,468.0,468.0,4.63,4.63,390.0,390.0
MON,09:14:00,380.0,204.0,4.63,4.63,392.56,384.56
MON,09:19:00,380.0,380.0,4.63,4.63,374.5,408.42
MON,09:24:00,292.0,556.0,4.63,4.63,392.56,392.56
MON,09:29:00,321.0,321.0,4.63,4.63,384.56,384.56
MON,09:34:00,321.0,439.0,4.63,4.63,371.97,371.97
MON,09:39:00,234.0,234.0,4.63,4.63,392.56,392.56
MON,09:44:00,321.0,614.0,4.63,4.63,386.0,386.0
MON,09:49:00,292.0,439.0,4.63,4.63,371.97,371.97
MON,09:54:00,58.0,58.0,4.63,4.63,384.56,384.56
MON,09:59:00,321.0,556.0,4.63,4.63,384.56,384.56
MON,10:04:00,1075.67,1075.67,4.63,4.63,371.97,371.97
MON,10:09:00,468.0,292.0,4.63,4.63,394.0,394.0
MON,10:14:00,292.0,468.0,4.63,4.63,394.0,394.0
MON,10:19:00,380.0,234.0,4.63,4.63,371.97,371.97
MON,10:24:00,468.0,468.0,4.63,4.63,396.0,396.0
MON,10:29:00,702.0,702.0,4.63,4.63,384.56,411.11
MON,10:34:00,234.0,526.0,4.63,14.35,376.46,376.46
MON,10:39:00,292.0,526.0,4.63,14.35,384.56,384.56
MON,10:44:00,468.0,468.0,4.63,14.35,391.0,391.0
MON,10:49:00,439.0,614.0,4.63,14.35,374.5,374.5
MON,10:54:00,380.0,439.0,4.63,14.35,392.56,398.51
MON,10:59:00,556.0,614.0,4.63,14.35,392.56,392.56
MON,11:04:00,409.0,409.0,4.63,14.35,378.0,378.0
MON,11:09:00,556.0,556.0,4.63,4.63,411.11,411.11
MON,11:14:00,292.0,468.0,4.63,14.35,411.11,411.11
MON,11:19:00,556.0,556.0,4.63,4.63,394.0,394.0
MON,11:24:00,321.0,292.0,4.63,4.63,414.45,414.45
MON,11:29:00,204.0,643.0,4.63,4.63,408.42,408.42
MON,11:34:00,380.0,614.0,4.63,14.35,408.42,408.42
MON,11:39:00,614.0,292.0,4.63,14.35,322.0,322.0
MON,11:44:00,321.0,204.0,4.63,14.35,305.29,305.29
MON,11:49:00,321.0,439.0,4.63,14.35,293.77,293.77
MON,11:54:00,204.0,204.0,4.63,14.35,312.85,312.85
MON,11:59:00,292.0,234.0,4.63,4.63,305.29,305.29
MON,12:04:00,380.0,468.0,4.63,14.35,293.77,293.77
MON,12:09:00,292.0,234.0,4.63,14.35,335.0,335.0
MON,12:14:00,526.0,292.0,4.63,14.35,334.0,334.0
MON,12:19:00,234.0,468.0,4.63,14.35,317.56,317.56
MON,12:24:00,526.0,526.0,4.63,14.35,336.57,336.57
MON,12:29:00,292.0,614.0,4.63,14.35,333.0,333.0
MON,12:34:00,468.0,468.0,4.63,4.63,336.57,336.57
MON,12:39:00,234.0,468.0,4.63,14.35,325.53,325.53
MON,12:44:00,234.0,556.0,4.63,4.63,331.0,331.0
MON,12:49:00,439.0,468.0,4.63,14.35,317.56,317.56
MON,12:54:00,526.0,526.0,4.63,14.35,336.57,336.57
MON,12:59:00,204.0,204.0,4.63,14.35,327.0,327.0
MON,13:04:00,439.0,439.0,4.63,14.35,322.0,322.0
MON,13:09:00,321.0,439.0,4.63,14.35,342.53,342.53
MON,13:14:00,321.0,526.0,4.63,14.35,340.55,340.55
MON,13:19:00,292.0,556.0,4.63,14.35,323.57,323.57
MON,13:24:00,468.0,468.0,4.63,14.35,346.51,346.51
MON,13:29:00,526.0,614.0,4.63,14.35,336.57,332.0
MON,13:34:00,468.0,468.0,4.63,4.63,323.57,323.57
MON,13:39:00,321.0,380.0,4.63,14.35,336.57,350.53
MON,13:44:00,468.0,556.0,4.63,14.35,336.57,336.57
MON,13:49:00,321.0,556.0,4.63,14.35,348.0,348.0
MON,13:54:00,380.0,380.0,4.63,14.35,340.55,350.53
MON,13:59:00,556.0,204.0,4.63,4.63,335.0,335.0
MON,14:04:00,292.0,556.0,4.63,14.35,322.0,322.0
MON,14:09:00,292.0,380.0,4.63,4.63,344.0,344.0
MON,14:14:00,468.0,321.0,4.63,14.35,342.53,336.57
MON,14:19:00,526.0,439.0,4.63,14.35,328.0,328.0
MON,14:24:00,526.0,526.0,4.63,4.63,346.51,350.53
MON,14:29:00,234.0,234.0,4.63,14.35,335.0,335.0
MON,14:34:00,321.0,321.0,4.63,4.63,325.53,325.53
MON,14:39:00,321.0,321.0,4.63,14.35,340.55,350.53
MON,14:44:00,468.0,468.0,4.63,4.63,338.54,338.54
MON,14:49:00,556.0,556.0,4.63,14.35,323.57,323.57
MON,14:54:00,58.0,58.0,4.63,14.35,340.55,340.55
MON,14:59:00,497.0,497.0,4.63,4.63,338.54,336.57
MON,15:04:00,321.0,556.0,4.63,14.35,323.57,323.57
MON,15:09:00,380.0,380.0,4.63,4.63,345.0,345.0
MON,15:14:00,439.0,380.0,4.63,14.35,340.55,340.55
MON,15:19:00,526.0,204.0,4.63,14.35,325.53,325.53
MON,15:24:00,292.0,234.0,4.63,14.35,346.51,346.51
MON,15:29:00,614.0,409.0,4.63,14.35,340.55,340.55
MON,15:34:00,234.0,29.0,4.63,14.35,328.0,328.0
MON,15:39:00,29.0,468.0,4.63,14.35,342.53,342.53
MON,15:44:00,556.0,556.0,4.63,14.35,340.55,340.55
MON,15:49:00,321.0,468.0,4.63,14.35,327.0,327.0
MON,15:54:00,321.0,292.0,4.63,14.35,345.0,345.0
MON,15:59:00,234.0,556.0,4.63,14.35,336.57,340.55
MON,16:04:00,380.0,439.0,4.63,14.35,327.0,327.0
MON,16:09:00,380.0,556.0,4.63,4.63,348.0,349.0
MON,16:14:00,468.0,556.0,4.63,4.63,346.51,346.51
MON,16:19:00,643.0,439.0,4.63,4.63,332.0,332.0
MON,16:24:00,292.0,526.0,4.63,4.63,350.53,350.53
MON,16:29:00,614.0,614.0,4.63,4.63,342.53,349.0
MON,16:34:00,380.0,526.0,4.63,4.63,329.0,329.0
MON,16:39:00,526.0,526.0,4.63,4.63,335.0,349.0
MON,16:44:00,468.0,468.0,4.63,4.63,342.53,342.53
MON,16:49:00,497.0,468.0,4.63,14.35,325.53,325.53
MON,16:54:00,380.0,292.0,4.63,4.63,330.0,350.53
MON,16:59:00,614.0,234.0,4.63,4.63,323.57,346.51
MON,17:04:00,526.0,526.0,4.63,4.63,312.85,342.53
MON,17:09:00,29.0,556.0,4.63,4.63,325.53,325.53
MON,17:14:00,380.0,556.0,4.63,4.63,331.0,331.0
MON,17:19:00,526.0,556.0,4.63,14.35,317.56,331.0
MON,17:24:00,321.0,321.0,4.63,4.63,336.57,336.57
MON,17:29:00,439.0,439.0,4.63,4.63,332.0,332.0
MON,17:34:00,321.0,234.0,4.63,4.63,317.56,317.56
MON,17:39:00,292.0,556.0,4.63,4.63,355.0,355.0
MON,17:44:00,380.0,204.0,4.63,4.63,355.0,355.0
MON,17:49:00,468.0,380.0,4.63,4.63,350.53,350.53
