WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,0.02,0.02,359.0,359.0
MON,08:44:00,146.0,146.0,0.02,0.02,415.0,415.0
MON,08:49:00,146.0,146.0,0.02,0.02,385.0,385.0
MON,08:54:00,58.0,146.0,0.02,0.02,357.0,357.0
MON,08:59:00,146.0,117.0,0.02,0.02,388.48,388.48
MON,09:04:00,29.0,29.0,0.02,0.02,383.0,383.0
MON,09:09:00,58.0,58.0,0.02,0.02,361.0,361.0
MON,09:14:00,146.0,234.0,0.02,0.02,390.55,390.55
MON,09:19:00,58.0,146.0,0.02,0.02,383.0,383.0
MON,09:24:00,117.0,204.0,0.02,0.02,354.0,354.0
MON,09:29:00,58.0,58.0,0.02,0.02,388.48,388.48
MON,09:34:00,204.0,204.0,0.02,0.02,386.49,386.49
MON,09:39:00,117.0,234.0,0.02,0.02,359.0,359.0
MON,09:44:00,58.0,204.0,0.02,0.02,388.48,388.48
MON,09:49:00,146.0,146.0,0.02,0.02,380.0,380.0
MON,09:54:00,58.0,234.0,0.02,0.02,354.0,354.0
MON,09:59:00,117.0,234.0,0.02,0.02,390.55,390.55
MON,10:04:00,703.32,703.32,0.02,0.02,397.52,397.52
MON,10:09:00,146.0,146.0,0.02,0.02,360.0,360.0
MON,10:14:00,117.0,146.0,0.02,0.02,396.0,396.0
MON,10:19:00,117.0,146.0,0.02,0.02,395.0,395.0
MON,10:24:00,58.0,117.0,0.02,0.02,367.0,367.0
MON,10:29:00,146.0,146.0,0.02,0.02,405.97,405.97
MON,10:34:00,117.0,234.0,0.02,0.02,395.0,395.0
MON,10:39:00,58.0,234.0,0.02,0.02,371.0,371.0
MON,10:44:00,117.0,117.0,0.02,0.02,390.55,390.55
MON,10:49:00,58.0,146.0,0.02,0.02,390.55,390.55
MON,10:54:00,58.0,204.0,0.02,0.02,365.0,365.0
MON,10:59:00,117.0,234.0,0.02,0.02,395.0,395.0
MON,11:04:00,58.0,204.0,0.02,0.02,390.55,390.55
MON,11:09:00,58.0,204.0,0.02,0.02,368.0,368.0
MON,11:14:00,204.0,204.0,0.02,0.02,399.5,399.5
MON,11:19:00,468.0,468.0,0.02,0.02,393.0,393.0
MON,11:24:00,1405.02,1405.02,0.02,0.02,381.0,381.0
MON,11:29:00,204.0,234.0,0.02,0.02,423.39,423.39
MON,11:34:00,117.0,204.0,0.02,0.02,386.49,386.49
MON,11:39:00,234.0,234.0,0.02,0.02,367.0,367.0
MON,11:44:00,117.0,117.0,0.02,0.02,397.52,397.52
MON,11:49:00,204.0,29.0,0.02,0.02,397.52,397.52
MON,11:54:00,58.0,234.0,0.02,0.02,370.0,370.0
MON,11:59:00,58.0,292.0,0.02,0.02,399.5,399.5
MON,12:04:00,146.0,204.0,0.02,0.02,394.0,394.0
MON,12:09:00,117.0,146.0,0.02,0.02,372.0,372.0
MON,12:14:00,146.0,117.0,0.02,0.02,403.48,403.48
MON,12:19:00,204.0,204.0,0.02,0.02,397.52,397.52
MON,12:24:00,58.0,234.0,0.02,0.02,372.0,372.0
MON,12:29:00,58.0,29.0,0.02,0.02,405.97,405.97
MON,12:34:00,58.0,292.0,0.02,0.02,405.97,405.97
MON,12:39:00,117.0,204.0,0.02,0.02,367.0,367.0
MON,12:44:00,58.0,234.0,0.02,0.02,396.0,396.0
MON,12:49:00,117.0,292.0,0.02,0.02,393.0,393.0
MON,12:54:00,117.0,204.0,0.02,0.02,368.0,368.0
MON,12:59:00,58.0,58.0,0.02,0.02,399.5,399.5
MON,13:04:00,117.0,58.0,0.02,0.02,393.0,393.0
MON,13:09:00,204.0,292.0,0.02,0.02,310.57,310.57
MON,13:14:00,321.0,321.0,0.02,0.02,335.96,335.96
MON,13:19:00,117.0,117.0,0.02,0.02,339.02,339.02
MON,13:24:00,117.0,146.0,0.02,0.02,314.55,314.55
MON,13:29:00,58.0,146.0,0.02,0.02,346.0,346.0
MON,13:34:00,58.0,204.0,0.02,0.02,333.0,333.0
MON,13:39:00,117.0,117.0,0.02,0.02,308.0,308.0
MON,13:44:00,58.0,146.0,0.02,0.02,339.02,339.02
MON,13:49:00,380.0,380.0,0.02,0.02,368.0,368.0
MON,13:54:00,292.0,292.0,0.02,0.02,310.57,310.57
MON,13:59:00,117.0,117.0,0.02,0.02,341.45,341.45
MON,14:04:00,146.0,146.0,0.02,0.02,335.96,335.96
MON,14:09:00,117.0,146.0,0.02,0.02,312.59,312.59
MON,14:14:00,117.0,146.0,0.02,0.02,349.0,349.0
MON,14:19:00,234.0,58.0,0.02,0.02,350.0,339.02
MON,14:24:00,146.0,234.0,0.02,0.02,320.46,320.46
MON,14:29:00,204.0,292.0,0.02,0.02,353.0,353.0
MON,14:34:00,29.0,29.0,0.02,0.02,335.96,335.96
MON,14:39:00,58.0,58.0,0.02,0.02,314.55,314.55
MON,14:44:00,58.0,204.0,0.02,0.02,346.0,346.0
MON,14:49:00,234.0,234.0,0.02,0.02,341.45,341.45
MON,14:54:00,29.0,29.0,0.02,0.02,316.59,316.59
MON,14:59:00,146.0,146.0,0.02,0.02,348.0,348.0
MON,15:04:00,146.0,146.0,0.02,0.02,341.45,341.45
MON,15:09:00,234.0,234.0,0.02,0.02,318.61,318.61
MON,15:14:00,58.0,234.0,0.02,0.02,349.0,349.0
MON,15:19:00,58.0,58.0,0.02,0.02,343.0,343.0
MON,15:24:00,58.0,58.0,0.02,0.02,318.61,318.61
MON,15:29:00,58.0,292.0,0.02,0.02,351.0,351.0
MON,15:34:00,204.0,117.0,0.02,0.02,339.02,349.0
MON,15:39:00,146.0,58.0,0.02,0.02,320.46,320.46
MON,15:44:00,29.0,29.0,0.02,0.02,351.0,357.0
MON,15:49:00,29.0,58.0,0.02,0.02,347.0,347.0
MON,15:54:00,292.0,29.0,0.02,0.02,373.98,320.46
MON,15:59:00,58.0,234.0,0.02,0.02,401.58,401.58
MON,16:04:00,117.0,234.0,0.02,0.02,396.0,396.0
MON,16:09:00,117.0,234.0,0.02,0.02,373.98,373.98
MON,16:14:00,146.0,146.0,0.02,0.02,405.97,405.97
MON,16:19:00,58.0,29.0,0.02,0.02,401.58,401.58
MON,16:24:00,1405.02,1405.02,0.02,0.02,376.46,376.46
MON,16:29:00,58.0,204.0,0.02,0.02,409.56,409.56
MON,16:34:00,556.0,556.0,0.02,0.02,399.5,399.5
MON,16:39:00,117.0,204.0,0.02,0.02,372.0,372.0
MON,16:44:00,117.0,146.0,0.02,0.02,403.48,403.48
MON,16:49:00,58.0,58.0,0.02,0.02,403.48,403.48
MON,16:54:00,58.0,58.0,0.02,0.02,373.98,373.98
MON,16:59:00,58.0,58.0,0.02,0.02,405.97,405.97
MON,17:04:00,58.0,146.0,0.02,0.02,399.5,399.5
MON,17:09:00,29.0,29.0,0.02,0.02,376.46,376.46
MON,17:14:00,117.0,117.0,0.02,0.02,409.56,409.56
MON,17:19:00,58.0,204.0,0.02,0.02,405.97,405.97
MON,17:24:00,29.0,29.0,0.02,0.02,376.46,376.46
MON,17:29:00,29.0,146.0,0.02,0.02,413.1,413.1
MON,17:34:00,292.0,146.0,0.02,0.02,390.55,390.55
MON,17:39:00,204.0,204.0,0.02,0.02,395.0,395.0
MON,17:44:00,146.0,146.0,0.02,0.02,403.48,403.48
MON,17:49:00,117.0,117.0,0.02,0.02,399.5,399.5
MON,17:54:00,117.0,234.0,0.02,0.02,373.98,373.98
MON,17:59:00,292.0,234.0,0.02,0.02,409.56,409.56
MON,18:04:00,58.0,204.0,0.02,0.02,399.5,399.5
MON,18:09:00,117.0,117.0,0.02,0.02,379.0,379.0
MON,18:14:00,58.0,117.0,0.02,0.02,409.56,409.56
MON,18:19:00,58.0,29.0,0.02,0.02,405.97,405.97
MON,18:24:00,146.0,58.0,0.02,0.02,381.0,381.0
MON,18:29:00,117.0,234.0,0.02,0.02,413.1,413.1
MON,18:34:00,292.0,292.0,0.02,0.02,397.52,397.52
MON,18:39:00,204.0,204.0,0.02,0.02,373.98,373.98
MON,18:44:00,58.0,58.0,0.02,0.02,405.97,405.97
MON,18:49:00,146.0,234.0,0.02,0.02,355.0,355.0
MON,18:54:00,117.0,146.0,0.02,0.02,339.02,339.02
MON,18:59:00,117.0,146.0,0.02,0.02,373.98,373.98
MON,19:04:00,117.0,29.0,0.02,0.02,371.0,371.0
MON,19:09:00,117.0,292.0,0.02,0.02,345.0,345.0
MON,19:14:00,58.0,117.0,0.02,0.02,381.0,381.0
MON,19:19:00,321.0,321.0,0.02,0.02,376.46,376.46
MON,19:24:00,117.0,117.0,0.02,0.02,347.0,347.0
MON,19:29:00,234.0,234.0,0.02,0.02,383.0,383.0
MON,19:34:00,58.0,146.0,0.02,0.02,367.0,367.0
MON,19:39:00,117.0,117.0,0.02,0.02,347.0,347.0
MON,19:44:00,146.0,58.0,0.02,0.02,376.46,376.46
MON,19:49:00,58.0,29.0,0.02,0.02,373.98,373.98
MON,19:54:00,117.0,321.0,0.02,0.02,348.0,348.0
MON,19:59:00,117.0,117.0,0.02,0.02,380.0,380.0
MON,20:04:00,117.0,58.0,0.02,0.02,373.98,373.98
MON,20:09:00,117.0,292.0,0.02,0.02,351.0,351.0
MON,20:14:00,117.0,292.0,0.02,0.02,383.0,383.0
