WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,1729.82,1729.82,170.66,152.64,1705.09,1705.09
MON,08:44:00,4331.0,4331.0,152.64,152.64,1737.78,1737.78
MON,08:49:00,3395.0,3863.0,170.66,160.93,1737.78,1737.78
MON,08:54:00,2723.89,1729.82,160.93,160.93,1705.09,1705.09
MON,08:59:00,4187.61,4187.61,152.64,152.64,1737.78,1737.78
MON,09:04:00,257.29,3395.0,152.64,160.93,1737.78,1737.78
MON,09:09:00,4507.0,2546.17,160.93,160.93,1725.47,1725.47
MON,09:14:00,3980.0,3980.0,160.93,152.64,1737.78,1737.78
MON,09:19:00,3688.0,3863.0,152.64,160.93,1725.47,1725.47
MON,09:24:00,4187.61,2723.89,160.93,160.93,1705.09,1705.09
MON,09:29:00,257.29,257.29,170.66,152.64,1737.78,1737.78
MON,09:34:00,2985.0,3395.0,160.93,152.64,1737.78,1737.78
MON,09:39:00,4858.0,4858.0,160.93,160.93,1705.09,1705.09
MON,09:44:00,4858.0,4331.0,160.93,152.64,1737.78,1737.78
MON,09:49:00,1053.0,1053.0,137.54,152.64,1815.57,1815.57
MON,09:54:00,257.29,257.29,137.54,152.64,1749.46,1749.46
MON,09:59:00,3219.0,3219.0,170.66,160.93,1757.98,1757.98
MON,10:04:00,3395.0,3395.0,152.64,152.64,1757.98,1757.98
MON,10:09:00,3863.0,3863.0,152.64,152.64,1737.78,1737.78
MON,10:14:00,3980.0,3980.0,160.93,152.64,1764.7,1764.7
MON,10:19:00,5502.0,5502.0,160.93,160.93,1764.7,1764.7
MON,10:24:00,5034.0,5034.0,170.66,152.64,1737.78,1737.78
MON,10:29:00,257.29,257.29,160.93,152.64,1770.38,1770.38
MON,10:34:00,5829.58,5829.58,181.23,160.93,1770.38,1770.38
MON,10:39:00,70.1,70.1,152.64,160.93,1737.78,1737.78
MON,10:44:00,4858.0,4858.0,160.93,152.64,1764.7,1764.7
MON,10:49:00,5444.0,5444.0,152.64,152.64,1793.38,1793.38
MON,10:54:00,5034.0,5034.0,160.93,160.93,1749.46,1749.46
MON,10:59:00,70.1,4858.0,152.64,152.64,1757.98,1757.98
MON,11:04:00,821.04,821.04,170.66,152.64,1757.98,1757.98
MON,11:09:00,821.04,821.04,170.66,152.64,1737.78,1737.78
MON,11:14:00,3688.0,3688.0,170.66,160.93,1757.98,1757.98
MON,11:19:00,4187.61,4187.61,160.93,152.64,1770.38,1770.38
MON,11:24:00,3161.0,3161.0,152.64,152.64,1737.78,1737.78
MON,11:29:00,4449.0,4449.0,137.54,152.64,1770.38,1770.38
MON,11:34:00,5268.0,3980.0,137.54,160.93,2091.26,1793.38
MON,11:39:00,4683.0,3395.0,152.64,160.93,1854.03,1854.03
MON,11:44:00,3219.0,3219.0,160.93,160.93,1749.46,1749.46
MON,11:49:00,4187.61,4187.61,170.66,160.93,1757.98,1757.98
MON,11:54:00,4624.0,3570.0,152.64,152.64,1737.78,1737.78
MON,11:59:00,4975.0,4975.0,170.66,160.93,1757.98,1757.98
MON,12:04:00,70.1,70.1,152.64,152.64,1770.38,1770.38
MON,12:09:00,3044.0,3044.0,219.16,219.16,1737.78,1737.78
MON,12:14:00,5327.4,5327.4,170.66,160.93,1859.03,1859.03
MON,12:19:00,3805.0,3805.0,170.66,160.93,1859.03,1859.03
MON,12:24:00,3688.0,70.1,160.93,152.64,1835.96,1835.96
MON,12:29:00,70.1,70.1,170.66,152.64,1861.52,1861.52
MON,12:34:00,2868.0,2868.0,160.93,160.93,1859.03,1859.03
MON,12:39:00,3044.0,3044.0,160.93,160.93,1793.38,1793.38
MON,12:44:00,3161.0,3570.0,160.93,160.93,1784.56,1784.56
