WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,497.0,497.0,2.83,2.83,1741.16,1733.25
MON,08:44:00,527.0,790.0,2.83,2.83,1763.87,1763.87
MON,08:49:00,468.0,614.0,2.83,2.83,1726.23,1719.24
MON,08:54:00,790.0,439.0,2.83,2.83,1741.16,1741.16
MON,08:59:00,556.0,556.0,2.83,2.83,1741.16,1741.16
MON,09:04:00,58.0,58.0,2.83,2.83,1741.16,1719.24
MON,09:09:00,527.0,527.0,2.83,2.83,1760.43,1741.16
MON,09:14:00,644.0,439.0,2.83,2.83,1746.85,1733.25
MON,09:19:00,0.0,0.0,2.83,2.83,1726.23,1726.23
MON,09:24:00,468.0,790.0,2.83,2.83,1752.02,1741.16
MON,09:29:00,527.0,790.0,2.83,2.83,1752.02,1752.02
MON,09:34:00,702.0,439.0,2.83,2.83,1733.25,1719.24
MON,09:39:00,614.0,732.0,2.83,2.83,1756.3,1756.3
MON,09:44:00,790.0,790.0,2.83,2.83,1767.06,1767.06
MON,09:49:00,527.0,644.0,2.83,2.83,1733.25,1733.25
MON,09:55:00,0.0,0.0,2.83,2.83,1756.3,1756.3
MON,09:59:00,468.0,468.0,2.83,2.83,1760.43,1760.43
MON,10:04:00,468.0,468.0,2.83,2.83,1746.85,1746.85
MON,10:09:00,556.0,556.0,2.83,2.83,1756.3,1756.3
MON,10:14:00,585.0,585.0,2.83,2.83,1756.3,1756.3
MON,10:19:00,527.0,527.0,2.83,2.83,1741.16,1741.16
MON,10:24:00,614.0,614.0,2.83,2.83,1763.87,1763.87
MON,10:29:00,322.0,322.0,2.83,2.83,1763.87,1763.87
MON,10:34:00,556.0,556.0,2.83,2.83,1741.16,1741.16
MON,10:39:00,556.0,556.0,2.83,2.83,1763.87,1763.87
MON,10:44:00,439.0,439.0,2.83,2.83,1763.87,1763.87
MON,10:49:00,673.0,673.0,2.83,2.83,1733.25,1733.25
MON,10:54:00,614.0,614.0,2.83,2.83,1763.87,1763.87
MON,10:59:00,527.0,527.0,2.83,2.83,1763.87,1763.87
MON,11:04:00,614.0,614.0,2.83,2.83,1746.85,1746.85
MON,11:09:00,556.0,556.0,2.83,2.83,1769.52,1769.52
MON,11:14:00,556.0,556.0,2.83,2.83,1769.52,1769.52
MON,11:19:00,1666.69,1666.69,2.83,2.83,1760.43,1760.43
MON,11:24:00,614.0,614.0,2.83,2.83,1774.22,1774.22
MON,11:29:00,527.0,527.0,2.83,2.83,1774.22,1774.22
MON,11:34:00,849.0,849.0,2.83,2.83,1771.55,1771.55
MON,11:39:00,732.0,732.0,2.83,2.83,1778.32,1778.32
MON,11:44:00,761.0,761.0,2.83,2.83,1782.72,1782.72
MON,11:49:00,556.0,732.0,2.83,2.83,1752.02,1752.02
MON,11:54:00,468.0,527.0,2.83,2.83,1774.22,1774.22
MON,11:59:00,497.0,497.0,2.83,2.83,1778.32,1778.32
MON,12:04:00,702.0,614.0,2.83,2.83,1760.43,1760.43
MON,12:09:00,614.0,614.0,2.83,2.83,1782.72,1782.72
MON,12:14:00,614.0,702.0,2.83,2.83,1793.68,1793.68
MON,12:19:00,468.0,614.0,2.83,2.83,1778.32,1778.32
MON,12:24:00,614.0,614.0,2.83,2.83,1799.89,1799.89
MON,12:29:00,439.0,439.0,2.83,2.83,1786.0,1786.0
MON,12:34:00,966.0,966.0,2.83,2.83,1782.72,1782.72
MON,12:39:00,527.0,527.0,2.83,2.83,1782.72,1782.72
MON,12:44:00,644.0,644.0,2.83,2.83,1795.5,1795.5
MON,12:49:00,527.0,527.0,2.83,2.83,1782.72,1782.72
MON,12:54:00,702.0,702.0,2.83,2.83,1804.0,1804.0
MON,12:59:00,790.0,790.0,2.83,2.83,1805.5,1805.5
MON,13:04:00,702.0,702.0,2.83,2.83,1788.44,1788.44
MON,13:09:00,614.0,614.0,2.83,2.83,1811.92,1811.92
MON,13:14:00,527.0,527.0,2.83,2.83,1811.92,1811.92
MON,13:19:00,644.0,644.0,2.83,2.83,1752.02,1752.02
MON,13:24:00,556.0,556.0,2.83,2.83,1746.85,1746.85
MON,13:29:00,644.0,644.0,2.83,2.83,1778.32,1778.32
MON,13:34:00,790.0,527.0,2.83,2.83,1778.32,1778.32
MON,13:39:00,790.0,790.0,2.83,2.83,1804.0,1804.0
MON,13:44:00,556.0,556.0,2.83,2.83,1807.17,1807.17
MON,13:49:00,468.0,468.0,2.83,2.83,1795.5,1795.5
MON,13:54:00,556.0,556.0,2.83,2.83,1817.0,1817.0
MON,13:59:00,644.0,644.0,2.83,2.83,1818.5,1818.5
MON,14:04:00,527.0,527.0,2.83,2.83,1786.0,1786.0
MON,14:09:00,585.0,585.0,2.83,2.83,1827.9,1827.9
MON,14:14:00,556.0,556.0,2.83,2.83,1827.9,1827.9
MON,14:19:00,644.0,644.0,2.83,2.83,1811.92,1811.92
MON,14:24:00,614.0,614.0,2.83,2.83,1833.11,1833.11
MON,14:29:00,527.0,527.0,2.83,2.83,1833.11,1833.11
MON,14:34:00,732.0,732.0,2.83,2.83,1815.04,1815.04
MON,14:39:00,527.0,527.0,2.83,2.83,1827.9,1827.9
MON,14:44:00,614.0,614.0,2.83,2.83,1827.9,1827.9
MON,14:49:00,527.0,527.0,2.83,2.83,1815.04,1815.04
MON,14:54:00,468.0,468.0,2.83,2.83,1837.1,1837.1
MON,14:59:00,527.0,527.0,2.83,2.83,1840.24,1840.24
MON,15:04:00,527.0,527.0,2.83,2.83,1820.83,1820.83
MON,15:09:00,556.0,556.0,2.83,2.83,1833.11,1833.11
MON,15:14:00,380.0,380.0,2.83,2.83,1833.11,1833.11
MON,15:19:00,527.0,527.0,2.83,2.83,1815.04,1815.04
MON,15:24:00,732.0,732.0,2.83,2.83,1833.11,1833.11
MON,15:29:00,790.0,790.0,2.83,2.83,1849.26,1849.26
MON,15:34:00,556.0,556.0,2.83,2.83,1833.11,1833.11
MON,15:39:00,527.0,527.0,2.83,2.83,1833.11,1833.11
MON,15:44:00,468.0,468.0,2.83,2.83,1833.11,1833.11
MON,15:49:00,527.0,527.0,2.83,2.83,1818.5,1818.5
MON,15:54:00,527.0,527.0,2.83,2.83,1840.24,1840.24
MON,15:59:00,468.0,468.0,2.83,2.83,1854.0,1854.0
