WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,2106.0,2106.0,38.99,669.49,5771.06,5771.06
MON,08:44:00,10916.7,10916.7,333.86,333.86,5626.31,5626.31
MON,08:49:00,1287.0,1287.0,38.99,669.49,5496.84,5496.84
MON,08:54:00,5103.55,5103.55,38.99,333.86,5575.03,5860.26
MON,08:59:00,6810.15,6810.15,38.99,960.48,5920.41,5920.41
MON,09:04:00,936.0,936.0,38.99,669.49,5811.18,5710.9
MON,09:09:00,5103.55,5103.55,38.99,333.86,5860.26,5860.26
MON,09:14:00,5103.55,5103.55,38.99,38.99,5920.41,5920.41
MON,09:19:00,2223.0,7847.94,38.99,669.49,5771.06,5771.06
MON,09:24:00,2223.0,2223.0,333.86,669.49,5811.18,5811.18
MON,09:29:00,4681.0,4681.0,38.99,669.49,5860.26,5860.26
MON,09:34:00,2805.19,9046.51,38.99,669.49,5642.84,5860.26
MON,09:39:00,5441.0,5441.0,38.99,669.49,5710.9,5710.9
MON,09:44:00,4798.0,4798.0,38.99,669.49,5575.03,5575.03
MON,09:49:00,6810.15,6810.15,38.99,669.49,5612.5,5612.5
MON,09:55:00,936.0,936.0,38.99,38.99,5771.06,5771.06
MON,09:59:00,7847.94,7847.94,38.99,38.99,5595.52,5595.52
MON,10:04:00,1521.0,1521.0,38.99,38.99,5771.06,5771.06
MON,10:09:00,6810.15,6810.15,1200.67,1200.67,5738.9,5738.9
MON,10:14:00,6810.15,6810.15,1556.47,1556.47,5811.18,5811.18
MON,10:19:00,10916.7,10916.7,38.99,38.99,5920.41,5920.41
MON,10:24:00,7847.94,7847.94,333.86,333.86,5920.41,5920.41
MON,10:29:00,5441.0,5441.0,38.99,38.99,5860.26,5860.26
MON,10:34:00,9046.51,9046.51,38.99,38.99,5811.18,5811.18
MON,10:39:00,10916.7,10916.7,38.99,38.99,5860.26,5860.26
MON,10:44:00,9046.51,9046.51,333.86,333.86,5811.18,5811.18
MON,10:49:00,9046.51,9046.51,333.86,333.86,5920.41,5920.41
MON,10:54:00,10916.7,10916.7,333.86,333.86,5626.31,5626.31
MON,10:59:00,3865.31,3865.31,333.86,333.86,5920.41,5920.41
MON,11:04:00,2223.0,2223.0,38.99,38.99,5771.06,5771.06
MON,11:09:00,4681.0,4681.0,38.99,38.99,5860.26,5860.26
MON,11:14:00,9046.51,9046.51,1715.97,1715.97,5920.41,5920.41
MON,11:19:00,10916.7,10916.7,333.86,333.86,5920.41,5920.41
MON,11:24:00,9046.51,9046.51,38.99,38.99,5710.9,5710.9
MON,11:29:00,7847.94,7847.94,38.99,38.99,6011.19,6011.19
MON,11:34:00,9046.51,9046.51,38.99,38.99,5771.06,5771.06
MON,11:39:00,10916.7,10916.7,38.99,669.49,5920.41,5920.41
MON,11:44:00,10916.7,10916.7,669.49,669.49,5811.18,5811.18
MON,11:49:00,10916.7,10916.7,38.99,669.49,5860.26,5860.26
MON,11:54:00,10916.7,10916.7,38.99,333.86,5920.41,5920.41
MON,11:59:00,10916.7,10916.7,38.99,960.48,5860.26,5860.26
MON,12:04:00,9046.51,10916.7,38.99,38.99,5920.41,5920.41
MON,12:09:00,10916.7,10916.7,38.99,333.86,5595.52,5595.52
MON,12:14:00,10916.7,10916.7,38.99,333.86,5710.9,5811.18
MON,12:19:00,10916.7,10916.7,38.99,333.86,5595.52,5595.52
MON,12:24:00,1287.0,6810.15,38.99,333.86,5686.72,5686.72
MON,12:29:00,6810.15,6810.15,38.99,333.86,5664.19,5664.19
MON,12:34:00,3865.31,3865.31,333.86,333.86,5920.41,5920.41
MON,12:39:00,2106.0,2106.0,669.49,333.86,6011.19,6011.19
MON,12:44:00,7847.94,7847.94,38.99,960.48,5920.41,5920.41
MON,12:49:00,4149.89,9046.51,38.99,669.49,5811.18,5811.18
MON,12:54:00,10916.7,10916.7,38.99,669.49,5811.18,5860.26
MON,12:59:00,10916.7,10916.7,333.86,333.86,5920.41,5920.41
MON,13:04:00,9046.51,9046.51,38.99,38.99,5860.26,5860.26
MON,13:09:00,9046.51,9046.51,333.86,333.86,5811.18,5811.18
MON,13:14:00,10916.7,10916.7,333.86,960.48,5920.41,5920.41
MON,13:19:00,10916.7,10916.7,38.99,333.86,5771.06,5771.06
MON,13:24:00,9046.51,9046.51,38.99,333.86,5738.9,5738.9
MON,13:29:00,9046.51,9046.51,38.99,333.86,5771.06,5920.41
MON,13:34:00,9046.51,9046.51,333.86,333.86,5771.06,5771.06
MON,13:39:00,10916.7,10916.7,38.99,333.86,5811.18,5920.41
MON,13:44:00,10916.7,10916.7,38.99,960.48,5811.18,5860.26
MON,13:49:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,13:54:00,10916.7,10916.7,38.99,669.49,5920.41,5811.18
MON,13:59:00,10916.7,10916.7,333.86,669.49,6011.19,6011.19
MON,14:04:00,10916.7,10916.7,333.86,333.86,5811.18,5811.18
MON,14:09:00,10916.7,10916.7,38.99,333.86,5920.41,5920.41
MON,14:14:00,10916.7,10916.7,333.86,333.86,6011.19,6011.19
MON,14:19:00,10916.7,10916.7,333.86,669.49,5738.9,5710.9
MON,14:24:00,10916.7,10916.7,333.86,333.86,6011.19,6011.19
MON,14:29:00,10916.7,10916.7,38.99,333.86,6011.19,6011.19
MON,14:34:00,10916.7,10916.7,38.99,333.86,5686.72,5920.41
MON,14:39:00,7847.94,7847.94,38.99,333.86,5860.26,5811.18
MON,14:44:00,9046.51,9046.51,38.99,333.86,6011.19,6011.19
MON,14:49:00,9046.51,10916.7,38.99,333.86,5920.41,5920.41
MON,14:54:00,10916.7,10916.7,38.99,38.99,5710.9,5710.9
MON,14:59:00,10916.7,10916.7,333.86,333.86,5811.18,5710.9
MON,15:04:00,10916.7,10916.7,333.86,333.86,5811.18,5811.18
MON,15:09:00,10916.7,10916.7,333.86,333.86,5738.9,5738.9
MON,15:14:00,10916.7,10916.7,333.86,960.48,5771.06,5771.06
MON,15:19:00,6810.15,6810.15,669.49,669.49,5860.26,5710.9
MON,15:24:00,9046.51,9046.51,333.86,333.86,5920.41,5920.41
MON,15:29:00,10916.7,10916.7,38.99,333.86,5920.41,5920.41
MON,15:34:00,10916.7,10916.7,38.99,38.99,5860.26,5710.9
MON,15:39:00,10916.7,10916.7,38.99,333.86,5860.26,5710.9
MON,15:44:00,10916.7,10916.7,669.49,333.86,5771.06,5771.06
MON,15:49:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,15:54:00,9046.51,9046.51,333.86,669.49,5920.41,5920.41
MON,15:59:00,10916.7,10916.7,333.86,960.48,5860.26,5860.26
MON,16:04:00,10916.7,10916.7,38.99,333.86,5920.41,5920.41
MON,16:09:00,10916.7,10916.7,38.99,333.86,5860.26,5860.26
MON,16:14:00,10916.7,10916.7,38.99,333.86,5860.26,5811.18
MON,16:19:00,10916.7,10916.7,333.86,333.86,5811.18,5811.18
MON,16:24:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,16:29:00,10916.7,10916.7,38.99,333.86,5664.19,5920.41
MON,16:34:00,10916.7,10916.7,38.99,38.99,5771.06,5920.41
MON,16:39:00,10916.7,10916.7,38.99,38.99,5738.9,5738.9
MON,16:44:00,10916.7,10916.7,38.99,333.86,5738.9,5738.9
MON,16:49:00,10916.7,10916.7,38.99,333.86,5771.06,5771.06
MON,16:54:00,10916.7,10916.7,38.99,333.86,5860.26,5860.26
MON,16:59:00,10916.7,10916.7,38.99,333.86,5710.9,5710.9
MON,17:04:00,9046.51,6137.48,38.99,38.99,5811.18,5811.18
MON,17:09:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,17:14:00,6810.15,9046.51,38.99,333.86,5710.9,5710.9
MON,17:19:00,10916.7,10916.7,38.99,38.99,5811.18,5811.18
MON,17:24:00,10916.7,10916.7,38.99,333.86,5860.26,5860.26
MON,17:29:00,10916.7,10916.7,38.99,333.86,5920.41,5710.9
MON,17:34:00,10916.7,10916.7,38.99,38.99,5860.26,5860.26
MON,17:39:00,10916.7,10916.7,38.99,38.99,5920.41,5920.41
MON,17:44:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,17:49:00,10916.7,10916.7,38.99,333.86,5811.18,5811.18
MON,17:54:00,10916.7,10916.7,38.99,333.86,5860.26,5860.26
MON,17:59:00,10916.7,10916.7,38.99,333.86,5860.26,5860.26
MON,18:04:00,10916.7,10916.7,333.86,38.99,5710.9,5710.9
MON,18:09:00,10916.7,10916.7,333.86,38.99,5710.9,5710.9
MON,18:14:00,6137.48,6137.48,333.86,38.99,5511.6,5511.6
MON,18:19:00,9046.51,9046.51,333.86,333.86,5552.43,5552.43
MON,18:24:00,10916.7,10916.7,333.86,333.86,5552.43,5552.43
MON,18:29:00,10916.7,10916.7,333.86,333.86,5437.6,5437.6
MON,18:34:00,10916.7,10916.7,333.86,333.86,5365.11,5365.11
MON,18:39:00,10916.7,10916.7,333.86,333.86,5389.09,5389.09
MON,18:44:00,10916.7,10916.7,38.99,333.86,5496.84,5496.84
MON,18:49:00,10916.7,10916.7,38.99,38.99,5496.84,5496.84
MON,18:54:00,10916.7,10916.7,38.99,38.99,5407.16,5407.16
MON,18:59:00,6810.15,6810.15,38.99,38.99,5529.87,5529.87
MON,19:04:00,9046.51,9046.51,38.99,38.99,5612.5,5612.5
MON,19:09:00,10916.7,10916.7,38.99,38.99,5738.9,5738.9
MON,19:14:00,10916.7,10916.7,38.99,333.86,5710.9,5710.9
MON,19:19:00,10916.7,10916.7,38.99,38.99,5738.9,5738.9
