WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,819.0,819.0,37.0,37.0,1692.54,1692.54
MON,08:44:00,936.0,936.0,39.0,45.0,1705.46,1705.46
MON,08:49:00,468.0,614.0,38.0,38.0,1689.0,1689.0
MON,08:54:00,1170.0,1170.0,39.0,42.0,1695.0,1695.0
MON,08:59:00,1170.0,1170.0,42.0,42.0,1692.54,1692.54
MON,09:04:00,321.0,380.0,45.0,39.0,1690.0,1690.0
MON,09:09:00,731.0,468.0,37.0,37.0,1696.0,1696.0
MON,09:14:00,1024.0,1024.0,49.0,49.0,1702.05,1702.05
MON,09:19:00,907.0,907.0,48.0,48.0,1696.0,1696.0
MON,09:24:00,526.0,702.0,52.0,52.0,1702.05,1702.05
MON,09:29:00,790.0,731.0,43.0,42.0,1669.0,1669.0
MON,09:34:00,878.0,878.0,46.0,44.0,1671.0,1671.0
MON,09:39:00,878.0,878.0,99.97,99.97,1669.0,1669.0
MON,09:44:00,907.0,907.0,99.97,99.97,1788.6,1788.6
MON,09:49:00,380.0,380.0,138.18,138.18,1799.59,1799.59
MON,09:55:00,614.0,614.0,63.0,63.0,1733.04,1733.04
MON,09:59:00,234.0,234.0,45.0,45.0,1720.98,1720.98
MON,10:04:00,321.0,321.0,43.0,43.0,1733.04,1733.04
MON,10:09:00,731.0,731.0,42.0,42.0,1727.04,1727.04
MON,10:14:00,1562.3,1562.3,48.0,48.0,1729.98,1729.98
MON,10:19:00,643.0,643.0,42.0,42.0,1727.04,1727.04
MON,10:24:00,1170.0,1170.0,44.0,44.0,1741.0,1741.0
MON,10:29:00,731.0,731.0,50.0,50.0,1741.0,1741.0
MON,10:34:00,731.0,731.0,51.0,51.0,1745.47,1745.47
MON,10:39:00,2841.88,2841.88,138.18,138.18,1904.04,1904.04
MON,10:44:00,1024.0,1024.0,138.18,138.18,1904.04,1904.04
MON,10:49:00,1170.0,1170.0,59.0,59.0,1750.14,1750.14
MON,10:54:00,1053.0,1053.0,53.0,53.0,1754.54,1754.54
MON,10:59:00,936.0,936.0,45.0,45.0,1763.9,1763.9
MON,11:04:00,878.0,878.0,40.0,40.0,1757.02,1757.02
MON,11:09:00,614.0,614.0,43.0,43.0,1760.42,1760.42
MON,11:14:00,878.0,878.0,62.0,62.0,1760.42,1760.42
MON,11:19:00,1380.85,1380.85,47.0,47.0,1771.5,1771.5
MON,11:24:00,2841.88,2841.88,244.35,244.35,1768.58,1768.58
MON,11:29:00,1562.3,1562.3,244.35,244.35,1799.59,1799.59
MON,11:34:00,1200.0,1200.0,73.0,73.0,1719.0,1719.0
MON,11:39:00,643.0,643.0,48.0,48.0,1724.05,1724.05
MON,11:44:00,1275.86,1275.86,46.0,46.0,1720.98,1720.98
MON,11:49:00,1200.0,1200.0,41.0,41.0,1729.98,1729.98
MON,11:54:00,614.0,614.0,42.0,42.0,1739.0,1739.0
MON,11:59:00,790.0,790.0,43.0,43.0,1743.0,1743.0
MON,12:04:00,643.0,643.0,41.0,41.0,1740.0,1740.0
MON,12:09:00,556.0,556.0,44.0,47.0,1743.0,1743.0
MON,12:14:00,878.0,878.0,43.0,43.0,1733.04,1733.04
MON,12:19:00,643.0,643.0,42.0,42.0,1733.04,1733.04
MON,12:24:00,702.0,702.0,40.0,40.0,1745.47,1745.47
MON,12:29:00,848.0,848.0,44.0,44.0,1733.04,1733.04
MON,12:34:00,1380.85,1380.85,39.0,42.0,1760.42,1760.42
MON,12:39:00,117.0,117.0,42.0,42.0,1737.0,1737.0
MON,12:44:00,321.0,321.0,39.0,39.0,1740.0,1740.0
MON,12:49:00,790.0,790.0,39.0,41.0,1742.0,1742.0
MON,12:54:00,643.0,643.0,40.0,41.0,1750.14,1750.14
MON,12:59:00,468.0,468.0,41.0,39.0,1750.14,1750.14
MON,13:04:00,936.0,936.0,40.0,40.0,1745.47,1745.47
MON,13:09:00,643.0,643.0,40.0,42.0,1750.14,1750.14
MON,13:14:00,614.0,614.0,44.0,42.0,1747.59,1747.59
MON,13:19:00,556.0,556.0,42.0,42.0,1739.0,1739.0
MON,13:24:00,965.0,965.0,45.0,45.0,1702.05,1702.05
MON,13:29:00,614.0,556.0,42.0,42.0,1698.97,1698.97
MON,13:34:00,556.0,643.0,41.0,42.0,1698.97,1698.97
MON,13:39:00,526.0,614.0,42.0,43.0,1702.05,1702.05
MON,13:44:00,790.0,790.0,38.0,39.0,1698.97,1698.97
MON,13:49:00,439.0,204.0,38.0,41.0,1709.04,1709.04
MON,13:54:00,614.0,556.0,40.0,44.0,1702.05,1702.05
MON,13:59:00,321.0,321.0,40.0,44.0,1711.47,1711.47
MON,14:04:00,878.0,878.0,41.0,40.0,1705.46,1705.46
MON,14:09:00,731.0,614.0,41.0,40.0,1655.97,1655.97
MON,14:14:00,380.0,380.0,42.0,42.0,1655.97,1655.97
MON,14:19:00,321.0,556.0,40.0,44.0,1659.0,1659.0
MON,14:24:00,321.0,878.0,40.0,40.0,1659.0,1659.0
MON,14:29:00,234.0,292.0,41.0,44.0,1665.0,1665.0
MON,14:34:00,1200.0,1200.0,39.0,41.0,1662.0,1662.0
MON,14:39:00,556.0,643.0,41.0,41.0,1666.51,1666.51
MON,14:44:00,790.0,731.0,42.0,43.0,1673.0,1673.0
MON,14:49:00,526.0,526.0,38.0,38.0,1666.51,1666.51
MON,14:54:00,468.0,556.0,41.0,40.0,1671.0,1671.0
MON,14:59:00,1024.0,1024.0,39.0,41.0,1679.47,1679.47
