WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,1185.12,1185.12,81.23,81.23,3649.47,3649.47
MON,08:44:00,702.0,702.0,81.23,81.23,3676.54,3676.54
MON,08:49:00,614.0,878.0,81.23,81.23,3621.52,3621.52
MON,08:54:00,936.0,936.0,81.23,81.23,3662.47,3662.47
MON,08:59:00,936.0,702.0,89.0,89.0,3660.48,3660.48
MON,09:04:00,790.0,731.0,89.0,89.0,3633.0,3633.0
MON,09:09:00,643.0,556.0,81.23,81.23,3665.0,3665.0
MON,09:14:00,702.0,556.0,98.0,98.0,3658.51,3658.51
MON,09:19:00,790.0,790.0,98.0,98.0,3633.0,3633.0
MON,09:24:00,526.0,936.0,98.0,98.0,3651.97,3649.47
MON,09:29:00,1024.0,1024.0,89.0,89.0,3658.51,3649.47
MON,09:34:00,1112.43,1112.43,91.0,91.0,3632.0,3632.0
MON,09:39:00,965.0,965.0,191.33,191.33,3676.54,3651.97
MON,09:44:00,965.0,965.0,312.89,312.89,3680.03,3649.47
MON,09:49:00,643.0,643.0,164.0,164.0,3624.0,3624.0
MON,09:55:00,761.0,761.0,97.0,97.0,3658.51,3658.51
MON,09:59:00,468.0,468.0,78.15,78.15,3648.0,3648.0
MON,10:04:00,556.0,556.0,81.23,81.23,3651.97,3651.97
MON,10:09:00,1024.0,1024.0,81.23,81.23,3658.51,3658.51
MON,10:14:00,702.0,702.0,85.78,85.78,3654.47,3654.47
MON,10:19:00,936.0,936.0,81.23,81.23,3630.51,3630.51
MON,10:24:00,702.0,702.0,81.23,81.23,3658.51,3658.51
MON,10:29:00,761.0,761.0,92.0,92.0,3656.47,3656.47
MON,10:34:00,790.0,790.0,98.0,98.0,3633.0,3633.0
MON,10:39:00,1695.42,1695.42,444.33,444.33,3665.0,3665.0
MON,10:44:00,1185.12,1185.12,115.47,115.47,3606.0,3606.0
MON,10:49:00,614.0,614.0,91.0,91.0,3588.0,3588.0
MON,10:54:00,439.0,439.0,91.0,91.0,3635.5,3635.5
MON,10:59:00,1082.0,1082.0,90.0,90.0,3645.54,3645.54
MON,11:04:00,614.0,614.0,81.23,81.23,3621.52,3621.52
MON,11:09:00,790.0,790.0,81.23,81.23,3648.0,3648.0
MON,11:14:00,848.0,848.0,115.47,115.47,3648.0,3648.0
MON,11:19:00,1695.42,1695.42,90.0,90.0,3649.47,3649.47
MON,11:24:00,1695.42,1695.42,444.33,444.33,3670.0,3670.0
MON,11:29:00,936.0,936.0,444.33,444.33,3676.54,3676.54
MON,11:34:00,1112.43,1112.43,109.0,109.0,3632.0,3632.0
MON,11:39:00,790.0,790.0,85.78,81.23,3671.0,3671.0
MON,11:44:00,643.0,643.0,85.78,81.23,3651.97,3651.97
MON,11:49:00,643.0,643.0,81.23,81.23,3630.51,3630.51
MON,11:54:00,643.0,643.0,81.23,81.23,3660.48,3660.48
MON,11:59:00,965.0,965.0,81.23,81.23,3654.47,3654.47
MON,12:04:00,907.0,907.0,81.23,81.23,3632.0,3632.0
MON,12:09:00,848.0,848.0,81.23,81.23,3656.47,3656.47
MON,12:14:00,761.0,761.0,81.23,81.23,3643.49,3643.49
MON,12:19:00,702.0,702.0,81.23,81.23,3621.52,3621.52
MON,12:24:00,614.0,614.0,81.23,81.23,3654.47,3654.47
MON,12:29:00,7.91,7.91,81.23,81.23,3555.97,3555.97
MON,12:34:00,1330.45,1330.45,81.23,81.23,3539.8,3539.8
MON,12:39:00,643.0,643.0,81.23,81.23,3546.54,3546.54
MON,12:44:00,1185.12,1185.12,81.23,81.23,3555.97,3555.97
MON,12:49:00,556.0,556.0,81.23,81.23,3539.8,3539.8
MON,12:54:00,439.0,439.0,81.23,81.23,3578.45,3578.45
MON,12:59:00,556.0,556.0,81.23,81.23,3585.33,3585.33
MON,13:04:00,761.0,761.0,81.23,81.23,3560.63,3560.63
MON,13:09:00,1185.12,1185.12,81.23,81.23,3608.6,3608.6
MON,13:14:00,468.0,468.0,81.23,81.23,3625.0,3625.0
MON,13:19:00,204.0,204.0,81.23,81.23,3591.55,3591.55
MON,13:24:00,468.0,526.0,81.23,81.23,3635.5,3635.5
MON,13:29:00,614.0,614.0,81.23,81.23,3641.58,3641.58
MON,13:34:00,526.0,848.0,81.23,98.0,3608.6,3608.6
MON,13:39:00,526.0,614.0,81.23,81.23,3651.97,3649.47
MON,13:44:00,614.0,614.0,81.23,81.23,3651.97,3649.47
MON,13:49:00,1082.0,1082.0,81.23,81.23,3627.93,3627.93
MON,13:54:00,731.0,614.0,81.23,81.23,3658.51,3658.51
MON,13:59:00,380.0,380.0,81.23,81.23,3656.47,3656.47
MON,14:04:00,848.0,848.0,81.23,89.0,3626.0,3626.0
MON,14:09:00,936.0,936.0,81.23,81.23,3651.97,3651.97
MON,14:14:00,556.0,556.0,81.23,81.23,3649.47,3649.47
MON,14:19:00,936.0,936.0,81.23,81.23,3624.0,3624.0
MON,14:24:00,234.0,234.0,81.23,81.23,3656.47,3656.47
MON,14:29:00,526.0,526.0,81.23,81.23,3651.97,3643.49
MON,14:34:00,790.0,790.0,81.23,81.23,3621.52,3621.52
MON,14:39:00,556.0,614.0,81.23,81.23,3654.47,3654.47
MON,14:44:00,614.0,468.0,81.23,90.0,3654.47,3649.47
MON,14:49:00,731.0,731.0,81.23,81.23,3634.0,3634.0
MON,14:54:00,790.0,526.0,81.23,81.23,3662.47,3662.47
MON,14:59:00,1330.45,1330.45,81.23,81.23,3647.0,3647.0
MON,15:04:00,643.0,643.0,81.23,81.23,3624.0,3624.0
MON,15:09:00,848.0,90.17,81.23,81.23,3648.0,3648.0
MON,15:14:00,614.0,614.0,81.23,90.0,3645.54,3662.47
MON,15:19:00,439.0,439.0,81.23,81.23,3621.52,3621.52
MON,15:24:00,790.0,790.0,81.23,81.23,3665.0,3665.0
MON,15:29:00,614.0,468.0,81.23,81.23,3672.8,3654.47
MON,15:34:00,556.0,468.0,99.0,99.0,3627.93,3621.52
MON,15:39:00,848.0,1185.12,81.23,81.23,3667.54,3647.0
MON,15:44:00,702.0,7.91,81.23,81.23,3658.51,3660.48
MON,15:49:00,1024.0,702.0,81.23,81.23,3635.5,3630.51
MON,15:54:00,556.0,614.0,81.23,81.23,3651.97,3656.47
MON,15:59:00,643.0,702.0,81.23,89.0,3651.97,3654.47
MON,16:04:00,702.0,556.0,81.23,98.0,3621.52,3621.52
MON,16:09:00,439.0,439.0,81.23,81.23,3651.97,3643.49
MON,16:14:00,526.0,526.0,81.23,81.23,3654.47,3660.48
MON,16:19:00,643.0,673.0,81.23,98.0,3632.0,3632.0
MON,16:24:00,936.0,614.0,81.23,81.23,3680.03,3680.03
MON,16:29:00,614.0,1185.12,81.23,90.0,3656.47,3662.47
