WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,08:44:00,0.0,66.0,6.0,6.0,2862.89,2862.89
MON,08:49:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,08:54:00,66.0,0.0,6.0,6.0,2853.4,2853.4
MON,08:59:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,09:04:00,266.0,266.0,6.0,6.0,2876.47,2876.47
MON,09:09:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,09:14:00,0.0,66.0,6.0,6.0,2896.98,2896.98
MON,09:19:00,66.0,66.0,6.0,6.0,2896.98,2896.98
MON,09:24:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,09:29:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,09:34:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,09:39:00,0.0,133.0,6.0,6.0,2862.89,2862.89
MON,09:44:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,09:49:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,09:55:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,09:59:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,10:04:00,66.0,133.0,6.0,6.0,2943.43,2943.43
MON,10:09:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,10:14:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,10:19:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,10:24:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,10:29:00,0.0,0.0,6.0,6.0,2876.47,2876.47
MON,10:34:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,10:39:00,66.0,66.0,6.0,6.0,2853.4,2853.4
MON,10:44:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,10:49:00,0.0,0.0,6.0,6.0,2862.89,2862.89
MON,10:54:00,66.0,66.0,6.0,6.0,2853.4,2853.4
MON,10:59:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,11:04:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,11:09:00,66.0,66.0,6.0,6.0,2853.4,2853.4
MON,11:14:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,11:19:00,66.0,66.0,6.0,6.0,2896.98,2896.98
MON,11:24:00,466.0,466.0,6.0,6.0,2876.47,2876.47
MON,11:29:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,11:34:00,0.0,0.0,6.0,6.0,2876.47,2876.47
MON,11:39:00,0.0,66.0,6.0,6.0,2862.89,2862.89
MON,11:44:00,66.0,266.0,6.0,6.0,2876.47,2876.47
MON,11:49:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,11:54:00,0.0,66.0,6.0,6.0,2862.89,2862.89
MON,11:59:00,0.0,0.0,6.0,6.0,2862.89,2876.47
MON,12:04:00,0.0,0.0,6.0,6.0,2876.47,2876.47
MON,12:09:00,66.0,66.0,6.0,6.0,2876.47,2862.89
MON,12:14:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,12:19:00,0.0,66.0,6.0,6.0,2876.47,2876.47
MON,12:24:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,12:29:00,66.0,0.0,6.0,6.0,2876.47,2876.47
MON,12:34:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,12:39:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,12:44:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,12:49:00,66.0,66.0,6.0,6.0,2876.47,2876.47
MON,12:54:00,0.0,0.0,6.0,6.0,2853.4,2853.4
MON,12:59:00,66.0,133.0,6.0,6.0,2862.89,2862.89
MON,13:04:00,66.0,66.0,6.0,6.0,2862.89,2862.89
MON,13:09:00,0.0,66.0,6.0,6.0,2862.89,2862.89
MON,13:14:00,66.0,66.0,6.0,6.0,2830.87,2830.87
MON,13:19:00,0.0,0.0,6.0,6.0,2830.87,2830.87
MON,13:24:00,66.0,133.0,6.0,6.0,2830.87,2830.87
MON,13:29:00,66.0,66.0,6.0,6.0,2830.87,2830.87
MON,13:34:00,66.0,66.0,6.0,6.0,2830.87,2830.87
MON,13:39:00,66.0,133.0,6.0,6.0,2830.87,2830.87
MON,13:44:00,0.0,66.0,6.0,6.0,2844.08,2844.08
MON,13:49:00,0.0,133.0,6.0,6.0,2830.87,2830.87
