WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,58.0,0.0,0.0,4943.97,4943.97
MON,08:44:00,58.0,58.0,0.0,0.0,4962.24,4962.24
MON,08:49:00,292.0,292.0,0.0,0.0,4962.24,4962.24
MON,08:54:00,58.0,292.0,0.0,0.0,4962.24,4962.24
MON,08:59:00,234.0,234.0,0.0,0.0,4962.24,4962.24
MON,09:04:00,0.0,0.0,0.0,0.0,4983.42,4983.42
MON,09:09:00,0.0,117.0,0.0,0.0,4983.42,4983.42
MON,09:14:00,117.0,0.0,1.0,1.0,5028.71,5028.71
MON,09:19:00,0.0,0.0,0.0,0.0,5004.92,5004.92
MON,09:24:00,117.0,117.0,0.0,0.0,5004.92,5004.92
MON,09:29:00,0.0,0.0,0.0,0.0,5004.92,5004.92
MON,09:34:00,409.0,58.0,0.0,0.0,5004.92,5004.92
MON,09:39:00,234.0,234.0,0.0,0.0,5004.92,5004.92
MON,09:44:00,117.0,0.0,0.0,0.0,5028.71,5028.71
MON,09:49:00,58.0,468.0,0.0,0.0,5028.71,5028.71
MON,09:55:00,702.0,702.0,0.0,0.0,5053.28,5053.28
MON,09:59:00,0.0,117.0,0.0,0.0,5053.28,5053.28
MON,10:09:00,643.0,643.0,0.0,0.0,5072.99,5072.99
MON,10:14:00,58.0,0.0,0.0,0.0,5510.67,5510.67
MON,10:19:00,585.0,585.0,1.0,1.0,5497.09,5497.09
MON,10:24:00,643.0,643.0,0.0,0.0,5510.67,5510.67
MON,10:29:00,0.0,58.0,0.0,0.0,5510.67,5510.67
MON,10:34:00,234.0,292.0,0.0,0.0,5497.09,5497.09
MON,10:39:00,117.0,117.0,0.0,0.0,5510.67,5510.67
MON,10:44:00,234.0,234.0,0.0,0.0,5510.67,5510.67
MON,10:49:00,58.0,58.0,4.0,4.0,5497.09,5497.09
MON,10:54:00,0.0,234.0,4.0,4.0,5543.62,5543.62
MON,10:59:00,117.0,117.0,1.0,1.0,5543.62,5543.62
MON,11:04:00,0.0,0.0,0.0,0.0,5558.84,5558.84
MON,11:09:00,0.0,58.0,0.0,0.0,5589.79,5589.79
MON,11:14:00,117.0,117.0,0.0,0.0,5589.79,5589.79
MON,11:19:00,1521.0,1521.0,0.0,0.0,5609.67,5609.67
MON,11:24:00,1228.0,1228.0,0.0,0.0,5631.22,5631.22
MON,11:29:00,643.0,643.0,0.0,0.0,5631.22,5631.22
MON,11:34:00,0.0,0.0,1.0,1.0,5571.34,5571.34
MON,11:39:00,468.0,468.0,0.0,0.0,5543.62,5543.62
MON,11:44:00,234.0,117.0,0.0,0.0,5580.97,5580.97
MON,11:49:00,234.0,234.0,0.0,0.0,5609.67,5609.67
MON,11:54:00,58.0,117.0,0.0,0.0,5619.74,5619.74
MON,11:59:00,409.0,409.0,0.0,0.0,5609.67,5609.67
MON,12:04:00,0.0,0.0,0.0,0.0,5599.15,5599.15
MON,12:09:00,117.0,234.0,6.38,6.38,5609.67,5609.67
MON,12:14:00,0.0,234.0,1.0,1.0,5599.15,5599.15
MON,12:19:00,117.0,117.0,0.0,0.0,5599.15,5599.15
MON,12:24:00,0.0,117.0,0.0,0.0,5609.67,5609.67
MON,12:29:00,0.0,117.0,0.0,0.0,5609.67,5609.67
MON,12:34:00,585.0,585.0,1.0,1.0,5795.42,5795.42
MON,12:39:00,117.0,117.0,0.0,0.0,5795.42,5795.42
MON,12:44:00,1345.0,1345.0,0.0,0.0,5795.42,5795.42
MON,12:49:00,0.0,0.0,0.0,0.0,5821.85,5821.85
MON,12:54:00,643.0,643.0,0.0,0.0,5821.85,5821.85
MON,12:59:00,234.0,234.0,1.0,1.0,5821.85,5821.85
MON,13:04:00,643.0,643.0,0.0,0.0,5821.85,5821.85
MON,13:09:00,234.0,234.0,0.0,5.0,5821.85,5821.85
MON,13:14:00,58.0,58.0,1.0,1.0,5609.67,5609.67
MON,13:19:00,877.0,877.0,0.0,0.0,5619.74,5619.74
MON,13:24:00,234.0,117.0,0.0,0.0,5619.74,5619.74
MON,13:29:00,1404.0,1404.0,0.0,0.0,5619.74,5619.74
MON,13:34:00,117.0,117.0,0.0,0.0,5631.22,5631.22
MON,13:39:00,117.0,409.0,0.0,0.0,5599.15,5599.15
MON,13:44:00,117.0,234.0,0.0,0.0,5609.67,5609.67
MON,13:49:00,58.0,234.0,0.0,0.0,5619.74,5619.74
MON,13:54:00,409.0,58.0,1.0,1.0,5631.22,5631.22
MON,13:59:00,292.0,292.0,0.0,0.0,5631.22,5631.22
MON,14:04:00,409.0,409.0,0.0,0.0,5631.22,5631.22
MON,14:09:00,0.0,58.0,1.0,1.0,5323.68,5323.68
MON,14:14:00,117.0,117.0,0.0,0.0,5307.4,5307.4
MON,14:19:00,0.0,0.0,0.0,0.0,5295.49,5295.49
MON,14:24:00,0.0,0.0,0.0,0.0,5307.4,5307.4
MON,14:29:00,0.0,0.0,0.0,0.0,5295.49,5295.49
MON,14:34:00,0.0,234.0,0.0,0.0,5307.4,5307.4
MON,14:39:00,0.0,585.0,0.0,0.0,5295.49,5295.49
MON,14:44:00,0.0,117.0,0.0,0.0,5295.49,5295.49
MON,14:49:00,0.0,0.0,0.0,0.0,5323.68,5323.68
MON,14:54:00,0.0,0.0,0.0,0.0,5323.68,5323.68
MON,14:59:00,409.0,234.0,0.0,0.0,5323.68,5323.68
MON,15:04:00,643.0,643.0,0.0,0.0,5323.68,5323.68
MON,15:09:00,0.0,585.0,0.0,0.0,5340.64,5340.64
MON,15:14:00,0.0,292.0,0.0,0.0,5340.64,5340.64
MON,15:19:00,585.0,585.0,0.0,0.0,5340.64,5340.64
MON,15:24:00,234.0,58.0,18.18,18.18,5340.64,5340.64
MON,15:29:00,468.0,643.0,0.0,0.0,5340.64,5340.64
MON,15:34:00,58.0,585.0,0.0,0.0,5340.64,5340.64
MON,15:39:00,234.0,468.0,0.0,0.0,5340.64,5340.64
MON,15:44:00,58.0,117.0,0.0,0.0,5340.64,5340.64
MON,15:49:00,468.0,585.0,0.0,0.0,5340.64,5340.64
MON,15:54:00,58.0,58.0,0.0,0.0,5340.64,5340.64
MON,15:59:00,409.0,585.0,0.0,0.0,5340.64,5340.64
MON,16:04:00,58.0,0.0,0.0,0.0,5361.39,5340.64
MON,16:09:00,117.0,0.0,0.0,0.0,5361.39,5361.39
MON,16:14:00,0.0,58.0,0.0,0.0,5361.39,5361.39
MON,16:19:00,0.0,58.0,0.0,0.0,5361.39,5361.39
MON,16:24:00,0.0,760.0,0.0,0.0,5361.39,5361.39
MON,16:29:00,234.0,760.0,0.0,0.0,5381.53,5381.53
MON,16:34:00,0.0,117.0,0.0,0.0,5361.39,5361.39
MON,16:39:00,0.0,0.0,0.0,0.0,5323.68,5323.68
MON,16:44:00,409.0,117.0,6.38,6.38,5340.64,5340.64
MON,16:49:00,0.0,409.0,0.0,0.0,5361.39,5361.39
MON,16:54:00,409.0,58.0,0.0,0.0,5361.39,5361.39
MON,16:59:00,0.0,117.0,0.0,0.0,5361.39,5361.39
MON,17:04:00,58.0,58.0,0.0,1.0,5361.39,5361.39
MON,17:10:00,1697.0,1697.0,0.0,0.0,5361.39,5361.39
MON,17:14:00,58.0,58.0,0.0,0.0,5361.39,5361.39
MON,17:19:00,234.0,234.0,0.0,0.0,5381.53,5381.53
MON,17:24:00,117.0,117.0,0.0,0.0,5381.53,5381.53
MON,17:29:00,58.0,58.0,0.0,0.0,5381.53,5381.53
MON,17:34:00,0.0,0.0,2.0,2.0,5381.53,5381.53
MON,17:39:00,409.0,409.0,0.0,0.0,5381.53,5381.53
MON,17:44:00,5694.53,5694.53,0.0,0.0,5381.53,5381.53
MON,17:49:00,117.0,117.0,0.0,0.0,5381.53,5381.53
MON,17:54:00,58.0,58.0,0.0,0.0,5381.53,5381.53
MON,17:59:00,58.0,58.0,0.0,0.0,5381.53,5381.53
MON,18:04:00,0.0,0.0,1.0,1.0,5361.39,5361.39
MON,18:09:00,58.0,58.0,6.38,6.38,5412.1,5412.1
MON,18:14:00,117.0,117.0,3.0,3.0,5412.1,5412.1
MON,18:19:00,702.0,702.0,0.0,0.0,5423.2,5423.2
MON,18:24:00,0.0,0.0,0.0,0.0,5412.1,5412.1
MON,18:29:00,0.0,0.0,0.0,0.0,5412.1,5412.1
MON,18:34:00,234.0,234.0,0.0,0.0,5423.2,5423.2
MON,18:39:00,0.0,0.0,0.0,0.0,5381.53,5381.53
MON,18:44:00,117.0,117.0,0.0,0.0,5398.0,5398.0
MON,18:49:00,0.0,0.0,0.0,0.0,5412.1,5412.1
MON,18:54:00,58.0,117.0,0.0,0.0,5412.1,5412.1
MON,18:59:00,5694.53,5694.53,0.0,0.0,5412.1,5412.1
MON,19:04:00,58.0,585.0,0.0,0.0,5412.1,5412.1
MON,19:09:00,0.0,409.0,0.0,0.0,5423.2,5423.2
MON,19:14:00,468.0,234.0,0.0,0.0,5423.2,5423.2
MON,19:19:00,117.0,117.0,0.0,0.0,5435.69,5435.69
