WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,21.83,114.11,3605.6,3605.6
MON,08:44:00,292.0,292.0,6.93,166.67,3634.6,3634.6
MON,08:49:00,58.0,1053.0,339.7,380.99,3610.58,3650.25
MON,08:54:00,1053.0,117.0,6.93,72.63,3588.47,3427.4
MON,08:59:00,117.0,292.0,6.93,114.11,3627.54,3639.06
MON,09:04:00,58.0,643.0,339.7,339.7,3630.59,3630.59
MON,09:09:00,175.0,175.0,21.83,43.48,3602.92,3602.92
MON,09:14:00,117.0,409.0,6.93,43.48,3641.51,3639.06
MON,09:19:00,1113.38,117.0,380.99,380.99,3650.25,3650.25
MON,09:24:00,292.0,1229.0,6.93,72.63,3619.41,3614.46
MON,09:29:00,1873.0,292.0,6.93,6.93,3644.47,3641.51
MON,09:34:00,234.0,468.0,339.7,339.7,3641.51,3641.51
MON,09:39:00,234.0,1416.33,21.83,43.48,3614.46,3614.46
MON,09:44:00,234.0,1416.33,6.93,43.48,3644.47,3634.6
MON,09:49:00,2048.0,936.0,380.99,380.99,3639.06,3641.51
MON,09:55:00,292.0,58.0,6.93,6.93,3619.41,3614.46
MON,09:59:00,117.0,117.0,6.93,21.83,3644.47,3641.51
MON,10:04:00,936.0,936.0,339.7,339.7,3695.54,3695.54
MON,10:09:00,878.0,878.0,72.63,72.63,3646.88,3646.88
MON,10:14:00,292.0,292.0,43.48,43.48,3636.57,3636.57
MON,10:19:00,409.0,409.0,380.99,380.99,3676.0,3676.0
MON,10:24:00,117.0,117.0,6.93,21.83,3616.45,3616.45
MON,10:29:00,585.0,585.0,339.7,43.48,3665.02,3665.02
MON,10:34:00,0.0,409.0,339.7,339.7,3646.88,3643.0
MON,10:39:00,702.0,702.0,43.48,43.48,3616.45,3614.46
MON,10:44:00,1346.0,1346.0,43.48,43.48,3646.88,3646.88
MON,10:49:00,117.0,117.0,434.2,434.2,3660.91,3644.47
MON,10:54:00,292.0,292.0,114.11,114.11,3641.51,3641.51
MON,10:59:00,409.0,409.0,114.11,114.11,3643.0,3639.06
MON,11:04:00,234.0,234.0,380.99,380.99,3644.47,3641.51
MON,11:09:00,0.0,0.0,43.48,43.48,3618.0,3618.0
MON,11:14:00,0.0,0.0,21.83,43.48,3646.88,3641.51
MON,11:19:00,4339.33,4339.33,663.6,663.6,3718.46,3718.46
MON,11:25:00,2400.54,2400.54,1538.18,1538.18,3705.81,3705.81
MON,11:29:00,3185.95,3185.95,1467.0,1467.0,3705.81,3705.81
MON,11:34:00,1931.0,1931.0,1467.0,1467.0,3672.53,3672.53
MON,11:39:00,3765.81,3765.81,1153.96,1153.96,3641.51,3641.51
MON,11:44:00,585.0,585.0,994.44,994.44,3678.0,3678.0
MON,11:49:00,819.0,819.0,339.7,339.7,3646.88,3646.88
MON,11:54:00,292.0,292.0,114.11,114.11,3618.0,3618.0
MON,11:59:00,117.0,117.0,43.48,43.48,3650.25,3650.25
MON,12:04:00,468.0,468.0,948.18,948.18,3689.04,3689.04
MON,12:09:00,292.0,292.0,166.67,166.67,3618.0,3618.0
MON,12:14:00,468.0,468.0,6.93,6.93,3632.47,3632.47
MON,12:19:00,0.0,0.0,339.7,339.7,3650.25,3650.25
MON,12:24:00,234.0,234.0,6.93,6.93,3621.9,3621.9
MON,12:29:00,4339.33,4339.33,6.93,6.93,3646.88,3646.88
MON,12:34:00,117.0,117.0,339.7,339.7,3650.25,3650.25
MON,12:39:00,409.0,409.0,6.93,6.93,3592.97,3592.97
MON,12:44:00,234.0,234.0,6.93,6.93,3636.57,3636.57
MON,12:49:00,0.0,0.0,380.99,380.99,3639.06,3639.06
MON,12:54:00,292.0,292.0,6.93,6.93,3609.0,3609.0
MON,12:59:00,292.0,292.0,21.83,21.83,3639.06,3639.06
MON,13:04:00,0.0,0.0,380.99,380.99,3646.88,3646.88
MON,13:09:00,234.0,234.0,21.83,21.83,3619.41,3619.41
MON,13:14:00,3185.95,3185.95,21.83,21.83,3650.25,3650.25
MON,13:19:00,117.0,117.0,380.99,380.99,3646.88,3646.88
MON,13:24:00,175.0,175.0,72.63,72.63,3619.41,3619.41
MON,13:29:00,117.0,117.0,43.48,43.48,3636.57,3636.57
MON,13:34:00,234.0,1554.37,339.7,339.7,3636.57,3641.51
MON,13:39:00,117.0,117.0,6.93,21.83,3588.47,3588.47
MON,13:44:00,0.0,0.0,21.83,43.48,3630.59,3630.59
MON,13:49:00,0.0,0.0,339.7,339.7,3632.47,3643.0
MON,13:54:00,234.0,409.0,6.93,72.63,3602.92,3602.92
MON,13:59:00,0.0,0.0,6.93,21.83,3634.6,3634.6
MON,14:04:00,0.0,1697.0,339.7,339.7,3639.06,3650.25
MON,14:09:00,0.0,0.0,6.93,43.48,3610.58,3610.58
MON,14:14:00,292.0,292.0,6.93,21.83,3644.47,3644.47
MON,14:19:00,292.0,292.0,339.7,339.7,3644.47,3641.51
MON,14:24:00,0.0,0.0,6.93,72.63,3614.46,3614.46
MON,14:29:00,117.0,468.0,6.93,43.48,3646.88,3646.88
MON,14:34:00,117.0,1554.37,339.7,339.7,3644.47,3644.47
MON,14:39:00,58.0,234.0,6.93,72.63,3596.07,3596.07
MON,14:44:00,0.0,0.0,6.93,21.83,3619.41,3619.41
MON,14:49:00,58.0,58.0,339.7,339.7,3641.51,3641.51
MON,14:54:00,234.0,234.0,21.83,43.48,3614.46,3614.46
MON,14:59:00,117.0,117.0,6.93,21.83,3641.51,3639.06
MON,15:04:00,234.0,761.0,339.7,339.7,3650.25,3650.25
MON,15:09:00,1416.33,1416.33,6.93,43.48,3641.51,3614.46
MON,15:14:00,2400.54,2400.54,21.83,21.83,3646.88,3646.88
MON,15:19:00,117.0,117.0,434.2,434.2,3674.53,3674.53
MON,15:24:00,0.0,0.0,6.93,72.63,3614.46,3614.46
MON,15:29:00,292.0,117.0,43.48,72.63,3644.47,3636.57
MON,15:34:00,234.0,1873.0,380.99,380.99,3656.44,3656.44
MON,15:39:00,117.0,643.0,6.93,114.11,3601.0,3610.58
MON,15:44:00,1287.0,234.0,6.93,43.48,3474.59,3474.59
MON,15:49:00,234.0,409.0,339.7,339.7,3522.21,3522.21
MON,15:54:00,585.0,468.0,43.48,43.48,3465.31,3465.31
MON,15:59:00,878.0,292.0,6.93,21.83,3496.35,3496.35
MON,16:04:00,409.0,643.0,339.7,339.7,3560.82,3560.82
MON,16:09:00,292.0,292.0,6.93,21.83,3533.02,3533.02
MON,16:14:00,0.0,0.0,6.93,21.83,3568.61,3568.61
MON,16:19:00,234.0,292.0,339.7,339.7,3575.2,3575.2
MON,16:24:00,643.0,643.0,6.93,43.48,3578.04,3578.04
MON,16:29:00,585.0,585.0,43.48,21.83,3578.04,3578.04
MON,16:34:00,0.0,0.0,380.99,380.99,3578.04,3578.04
MON,16:39:00,234.0,1554.37,6.93,6.93,3522.21,3522.21
MON,16:44:00,117.0,117.0,6.93,21.83,3564.7,3564.7
MON,16:49:00,0.0,0.0,339.7,339.7,3568.61,3568.61
MON,16:54:00,234.0,292.0,6.93,21.83,3541.6,3541.6
MON,16:59:00,643.0,234.0,6.93,43.48,3575.2,3575.2
MON,17:04:00,58.0,58.0,339.7,339.7,3578.04,3578.04
MON,17:10:00,0.0,0.0,6.93,6.93,3545.65,3545.65
MON,17:14:00,234.0,234.0,6.93,6.93,3581.92,3581.92
MON,17:19:00,117.0,117.0,380.99,380.99,3588.47,3588.47
MON,17:24:00,585.0,585.0,6.93,6.93,3560.82,3560.82
MON,17:29:00,117.0,117.0,6.93,6.93,3592.97,3592.97
MON,17:34:00,585.0,585.0,339.7,339.7,3568.61,3568.61
MON,17:39:00,0.0,0.0,6.93,6.93,3541.6,3541.6
MON,17:44:00,3765.81,3765.81,6.93,6.93,3581.92,3581.92
MON,17:49:00,292.0,292.0,339.7,339.7,3610.58,3610.58
MON,17:54:00,117.0,117.0,6.93,6.93,3614.46,3614.46
MON,17:59:00,234.0,234.0,21.83,21.83,3634.6,3634.6
MON,18:04:00,117.0,117.0,587.4,587.4,3677.0,3677.0
MON,18:09:00,292.0,292.0,6.93,6.93,3621.9,3621.9
MON,18:14:00,234.0,234.0,6.93,6.93,3636.57,3636.57
MON,18:19:00,234.0,234.0,339.7,339.7,3646.88,3646.88
MON,18:24:00,643.0,643.0,6.93,6.93,3619.41,3619.41
MON,18:29:00,878.0,878.0,6.93,6.93,3644.47,3644.47
