WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,878.0,878.0,11.4,11.4,1764.0,1764.0
MON,08:44:00,1053.0,1053.0,11.4,11.4,1763.0,1763.0
MON,08:49:00,556.0,936.0,11.4,11.4,1746.0,1746.0
MON,08:54:00,936.0,936.0,11.4,11.4,1755.51,1755.51
MON,08:59:00,439.0,439.0,11.4,11.4,1755.51,1755.51
MON,09:05:00,995.0,995.0,11.4,11.4,1755.51,1755.51
MON,09:09:00,702.0,702.0,11.4,11.4,1761.0,1761.0
MON,09:14:00,643.0,643.0,11.4,11.4,1761.0,1761.0
MON,09:19:00,0.0,0.0,11.4,11.4,1761.0,1761.0
MON,09:24:00,965.0,965.0,11.4,11.4,1762.0,1762.0
MON,09:29:00,51.48,51.48,11.4,11.4,1762.0,1762.0
MON,09:34:00,1889.95,1889.95,11.4,11.4,1762.0,1762.0
MON,09:39:00,907.0,907.0,11.4,11.4,1762.0,1762.0
MON,09:44:00,995.0,995.0,11.4,11.4,1762.0,1762.0
MON,09:49:00,1346.0,1346.0,11.4,11.4,1743.0,1743.0
MON,09:55:00,1346.0,1346.0,11.4,11.4,1755.51,1755.51
MON,10:00:00,1024.0,1024.0,11.4,11.4,1757.0,1757.0
MON,10:04:00,1346.0,1346.0,11.4,11.4,1758.0,1758.0
MON,10:09:00,790.0,790.0,11.4,11.4,1769.12,1769.12
MON,10:14:00,995.0,995.0,11.4,11.4,1769.12,1769.12
MON,10:19:00,1112.0,1112.0,11.4,11.4,1744.0,1744.0
MON,10:24:00,1522.0,1522.0,11.4,11.4,1747.5,1747.5
MON,10:29:00,965.0,965.0,11.4,11.4,1747.5,1747.5
MON,10:34:00,790.0,790.0,11.4,11.4,1747.5,1747.5
MON,10:39:00,1258.0,1258.0,11.4,11.4,1747.5,1747.5
MON,10:44:00,702.0,702.0,11.4,11.4,1731.0,1731.0
MON,10:49:00,1287.0,1287.0,11.4,11.4,1736.43,1736.43
MON,10:54:00,731.0,731.0,11.4,20.63,1744.0,1744.0
MON,10:59:00,1200.0,1200.0,11.4,11.4,1745.0,1745.0
MON,11:04:00,848.0,848.0,11.4,11.4,1746.0,1746.0
MON,11:09:00,468.0,468.0,11.4,11.4,1751.0,1751.0
MON,11:14:00,965.0,965.0,11.4,20.63,1751.0,1751.0
MON,11:19:00,702.0,702.0,11.4,11.4,1779.85,1779.85
