WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,1037.0,1037.0,43.7,43.7,1231.57,1231.57
MON,08:44:00,798.0,798.0,932.31,932.31,1226.14,1226.14
MON,08:49:00,638.0,638.0,963.73,963.73,1231.57,1231.57
MON,08:54:00,1276.0,1276.0,963.73,963.73,1226.14,1226.14
MON,08:59:00,1436.0,1436.0,896.53,896.53,1231.57,1231.57
MON,09:04:00,79.0,399.0,932.31,932.31,1237.22,1237.22
MON,09:09:00,79.0,1197.0,920.33,920.33,1237.22,1237.22
MON,09:14:00,798.0,798.0,853.48,853.48,1237.22,1237.22
MON,09:19:00,798.0,1037.0,793.96,793.96,1244.05,1244.05
MON,09:24:00,1276.0,1276.0,994.88,994.88,1237.22,1237.22
MON,09:29:00,1037.0,1037.0,870.03,870.03,1244.05,1244.05
MON,09:34:00,638.0,798.0,947.67,947.67,1244.05,1244.05
MON,09:39:00,1037.0,877.0,910.63,910.63,1244.05,1244.05
MON,09:44:00,1436.0,798.0,932.31,932.31,1237.22,1237.22
MON,09:49:00,798.0,1037.0,947.67,947.67,1244.05,1244.05
MON,09:54:00,877.0,877.0,94.26,94.26,1231.57,1231.57
MON,10:00:00,159.0,558.0,1010.47,1010.47,1237.22,1237.22
MON,10:04:00,1276.0,1276.0,870.03,870.03,1237.22,1237.22
MON,10:09:00,638.0,638.0,920.33,920.33,1237.22,1237.22
MON,10:14:00,638.0,638.0,947.67,947.67,1237.22,1237.22
MON,10:19:00,1037.0,1037.0,947.67,947.67,1237.22,1237.22
MON,10:24:00,1436.0,1037.0,963.73,963.73,1237.22,1237.22
MON,10:29:00,798.0,558.0,793.96,793.96,1250.02,1250.02
MON,10:34:00,1276.0,1276.0,920.33,920.33,1244.05,1244.05
MON,10:39:00,1276.0,1276.0,978.91,978.91,1237.22,1237.22
MON,10:44:00,1197.0,1197.0,978.91,978.91,1226.14,1226.14
MON,10:49:00,79.0,638.0,963.73,963.73,1231.57,1231.57
MON,10:54:00,1276.0,1276.0,978.91,978.91,1231.57,1231.57
MON,10:59:00,1436.0,1436.0,994.88,994.88,1237.22,1237.22
MON,11:04:00,1037.0,1037.0,963.73,963.73,1231.57,1231.57
MON,11:09:00,638.0,638.0,737.92,737.92,1237.22,1237.22
MON,11:14:00,1197.0,1197.0,963.73,963.73,1237.22,1237.22
MON,11:19:00,1037.0,1037.0,978.91,978.91,1237.22,1237.22
MON,11:25:00,558.0,558.0,1074.37,1074.37,1237.22,1237.22
MON,11:29:00,1037.0,1037.0,910.63,910.63,1255.1,1255.1
MON,11:34:00,1197.0,1197.0,994.88,994.88,1237.22,1237.22
MON,11:39:00,1037.0,1037.0,947.67,947.67,1237.22,1237.22
MON,11:44:00,1037.0,1037.0,493.67,493.67,1237.22,1237.22
MON,11:49:00,877.0,877.0,978.91,978.91,1237.22,1237.22
MON,11:54:00,798.0,798.0,963.73,963.73,1237.22,1237.22
MON,11:59:00,638.0,638.0,1010.47,1010.47,1237.22,1237.22
MON,12:04:00,877.0,877.0,932.31,932.31,1237.22,1237.22
MON,12:09:00,877.0,877.0,963.73,963.73,1237.22,1237.22
MON,12:14:00,1276.0,1276.0,1041.71,1041.71,1237.22,1237.22
MON,12:19:00,0.0,0.0,142.96,142.96,1237.22,1237.22
MON,12:24:00,558.0,558.0,910.63,910.63,1237.22,1237.22
MON,12:30:00,638.0,638.0,1108.11,1108.11,1226.14,1226.14
MON,12:34:00,638.0,638.0,773.63,773.63,1231.57,1231.57
MON,12:39:00,798.0,798.0,963.73,963.73,1237.22,1237.22
MON,12:44:00,399.0,399.0,896.53,896.53,1231.57,1231.57
MON,12:49:00,638.0,638.0,963.73,963.73,1231.57,1231.57
MON,12:54:00,877.0,877.0,835.32,835.32,1237.22,1237.22
MON,12:59:00,877.0,877.0,947.67,947.67,1237.22,1237.22
MON,13:04:00,638.0,638.0,947.67,947.67,1237.22,1237.22
MON,13:09:00,1037.0,1037.0,963.73,963.73,1237.22,1237.22
MON,13:14:00,558.0,319.0,932.31,932.31,1237.22,1237.22
MON,13:19:00,558.0,558.0,932.31,932.31,1237.22,1237.22
MON,13:24:00,159.0,159.0,947.67,947.67,1237.22,1237.22
MON,13:29:00,877.0,877.0,947.67,947.67,1237.22,1237.22
MON,13:34:00,159.0,319.0,283.3,283.3,1231.57,1231.57
MON,13:39:00,558.0,558.0,903.26,903.26,1231.57,1231.57
MON,13:44:00,558.0,558.0,978.91,978.91,1237.22,1237.22
MON,13:49:00,877.0,877.0,994.88,994.88,1237.22,1237.22
MON,13:54:00,558.0,558.0,994.88,994.88,1244.05,1244.05
MON,13:59:00,1197.0,1197.0,1027.05,1027.05,1237.22,1237.22
MON,14:04:00,399.0,399.0,994.88,994.88,1237.22,1237.22
