WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,09:05:00,46.0,93.0,175.58,175.58,15862.13,15862.13
MON,09:09:00,46.0,186.0,175.58,175.58,15907.4,15907.4
MON,09:14:00,46.0,186.0,175.58,175.58,15907.4,15862.13
MON,09:19:00,186.0,186.0,175.58,175.58,15862.13,15862.13
MON,09:24:00,2196.72,2196.72,40.61,175.58,15907.4,15907.4
MON,09:29:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,09:34:00,46.0,46.0,40.61,175.58,15862.13,15862.13
MON,09:39:00,186.0,186.0,175.58,175.58,15907.4,15907.4
MON,09:44:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,09:49:00,186.0,186.0,175.58,175.58,15862.13,15862.13
MON,09:55:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,10:00:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,10:04:00,372.0,372.0,175.58,175.58,15862.13,15862.13
MON,10:09:00,46.0,46.0,40.61,40.61,15907.4,15907.4
MON,10:14:00,93.0,46.0,40.61,175.58,15862.13,15862.13
MON,10:19:00,186.0,186.0,175.58,175.58,15862.13,15862.13
MON,10:24:00,46.0,46.0,175.58,175.58,15940.21,15940.21
MON,10:29:00,372.0,372.0,40.61,40.61,15907.4,15907.4
MON,10:34:00,46.0,93.0,40.61,175.58,15862.13,15862.13
MON,10:39:00,1095.49,1095.49,175.58,175.58,15907.4,15907.4
MON,10:44:00,232.0,232.0,175.58,175.58,15907.4,15907.4
MON,10:54:00,186.0,186.0,40.61,175.58,15862.13,15862.13
MON,10:59:00,46.0,46.0,175.58,175.58,15940.21,15940.21
MON,11:09:00,46.0,46.0,40.61,40.61,15907.4,15907.4
MON,11:14:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,11:19:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,11:25:00,46.0,46.0,40.61,175.58,15862.13,15862.13
MON,11:34:00,46.0,46.0,40.61,175.58,15862.13,15862.13
MON,11:39:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,11:44:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,11:49:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,12:04:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,12:09:00,93.0,93.0,40.61,175.58,15907.4,15907.4
MON,12:14:00,1256.0,1256.0,175.58,175.58,15907.4,15907.4
MON,12:19:00,46.0,46.0,40.61,40.61,15907.4,15907.4
MON,12:24:00,2196.72,2196.72,175.58,175.58,15940.21,15940.21
MON,12:30:00,93.0,46.0,175.58,175.58,15862.13,15862.13
MON,12:34:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,12:39:00,1787.58,1787.58,40.61,40.61,15907.4,15907.4
MON,12:44:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,12:49:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,12:54:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,12:59:00,2196.72,2196.72,175.58,175.58,15862.13,15862.13
MON,13:04:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,13:09:00,93.0,93.0,40.61,175.58,15907.4,15907.4
MON,13:14:00,186.0,186.0,40.61,175.58,15862.13,15862.13
MON,13:19:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,13:24:00,46.0,186.0,40.61,175.58,15907.4,15907.4
MON,13:29:00,93.0,93.0,40.61,175.58,15862.13,15862.13
MON,13:34:00,1510.47,1510.47,175.58,175.58,15907.4,15907.4
MON,13:39:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,13:49:00,186.0,325.0,40.61,175.58,15862.13,15862.13
MON,13:54:00,3011.2,3011.2,175.58,175.58,15907.4,15907.4
MON,13:59:00,3011.2,3011.2,40.61,175.58,15907.4,15907.4
MON,14:04:00,232.0,232.0,40.61,40.61,15862.13,15862.13
MON,14:09:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,14:14:00,46.0,93.0,175.58,175.58,15907.4,15907.4
MON,14:19:00,372.0,372.0,40.61,175.58,15862.13,15862.13
MON,14:24:00,46.0,232.0,175.58,175.58,15907.4,15907.4
MON,14:29:00,186.0,93.0,40.61,175.58,15907.4,15907.4
MON,14:34:00,46.0,46.0,40.61,175.58,15862.13,15862.13
MON,14:39:00,46.0,186.0,175.58,175.58,15907.4,15907.4
MON,14:44:00,46.0,186.0,175.58,175.58,15907.4,15907.4
MON,14:49:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,14:54:00,186.0,186.0,40.61,175.58,15907.4,15907.4
MON,14:59:00,93.0,46.0,175.58,175.58,15907.4,15907.4
MON,15:04:00,93.0,232.0,40.61,175.58,15862.13,15862.13
MON,15:09:00,46.0,93.0,175.58,175.58,15907.4,15907.4
MON,15:14:00,46.0,186.0,175.58,175.58,15907.4,15907.4
MON,15:19:00,1787.58,1787.58,175.58,175.58,15862.13,15862.13
MON,15:24:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,15:29:00,1373.4,1373.4,175.58,175.58,15907.4,15907.4
MON,15:34:00,46.0,186.0,40.61,175.58,15862.13,15862.13
MON,15:39:00,46.0,325.0,175.58,175.58,15907.4,15907.4
MON,15:45:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,15:49:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,15:54:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,15:59:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,16:04:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,16:14:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,16:19:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,16:24:00,232.0,232.0,175.58,175.58,15862.13,15862.13
MON,16:29:00,372.0,372.0,175.58,175.58,15907.4,15907.4
MON,16:34:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,16:39:00,1256.0,1256.0,40.61,175.58,15862.13,15862.13
MON,16:44:00,3011.2,3011.2,175.58,175.58,15907.4,15907.4
MON,16:49:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,16:59:00,46.0,186.0,175.58,175.58,15862.13,15862.13
MON,17:04:00,46.0,93.0,40.61,175.58,15907.4,15907.4
MON,17:10:00,186.0,186.0,40.61,175.58,15907.4,15907.4
MON,17:14:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,17:19:00,46.0,186.0,175.58,175.58,15907.4,15907.4
MON,17:24:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,17:29:00,698.0,698.0,40.61,175.58,15862.13,15862.13
MON,17:34:00,325.0,325.0,175.58,175.58,15907.4,15907.4
MON,17:39:00,186.0,186.0,40.61,175.58,15907.4,15907.4
MON,17:44:00,93.0,93.0,175.58,175.58,15862.13,15862.13
MON,17:50:00,186.0,186.0,175.58,175.58,15907.4,15907.4
MON,17:54:00,325.0,325.0,40.61,175.58,15907.4,15907.4
MON,17:59:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,18:04:00,46.0,93.0,175.58,175.58,15907.4,15907.4
MON,18:09:00,93.0,46.0,175.58,175.58,15907.4,15907.4
MON,18:14:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,18:19:00,46.0,46.0,40.61,40.61,15907.4,15907.4
MON,18:24:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,18:29:00,46.0,46.0,40.61,175.58,15862.13,15862.13
MON,18:34:00,186.0,186.0,175.58,175.58,15907.4,15907.4
MON,18:39:00,46.0,46.0,175.58,175.58,15907.4,15907.4
MON,18:44:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,18:49:00,46.0,46.0,175.58,175.58,15940.21,15940.21
MON,18:54:00,1787.58,837.0,40.61,175.58,15907.4,15907.4
MON,18:59:00,325.0,325.0,40.61,175.58,15862.13,15862.13
MON,19:04:00,46.0,46.0,40.61,175.58,15907.4,15907.4
MON,19:09:00,93.0,232.0,40.61,175.58,15907.4,15907.4
MON,19:14:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,19:19:00,46.0,93.0,40.61,175.58,15907.4,15907.4
MON,19:24:00,698.0,1787.58,175.58,175.58,15907.4,15907.4
MON,19:29:00,46.0,232.0,175.58,175.58,15862.13,15862.13
MON,19:34:00,46.0,232.0,175.58,175.58,15907.4,15907.4
MON,19:40:00,325.0,325.0,40.61,175.58,15907.4,15907.4
MON,19:44:00,232.0,232.0,175.58,175.58,15862.13,15862.13
MON,19:49:00,46.0,186.0,40.61,175.58,15907.4,15907.4
MON,19:54:00,46.0,325.0,175.58,175.58,15907.4,15907.4
MON,19:59:00,46.0,46.0,175.58,175.58,15862.13,15862.13
MON,20:04:00,372.0,372.0,175.58,175.58,15940.21,15940.21
MON,20:09:00,2196.72,2196.72,40.61,175.58,15907.4,15907.4
MON,20:14:00,46.0,232.0,175.58,175.58,15862.13,15862.13
