WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,321.0,321.0,4.38,4.38,720.79,720.79
MON,08:44:00,277.72,277.72,4.38,4.38,780.26,780.26
MON,08:49:00,174.1,174.1,4.38,4.38,780.26,780.26
MON,08:54:00,79.0,79.0,4.38,4.38,720.79,720.79
MON,08:59:00,174.1,174.1,4.38,4.38,780.26,780.26
MON,09:05:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,09:09:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,09:14:00,3289.84,3289.84,4.38,4.38,780.26,780.26
MON,09:19:00,3752.12,3752.12,4.38,4.38,780.26,780.26
MON,09:24:00,39.0,39.0,4.38,4.38,720.79,720.79
MON,09:29:00,79.0,79.0,4.38,4.38,780.26,780.26
MON,09:34:00,79.0,79.0,4.38,4.38,780.26,780.26
MON,09:39:00,174.1,174.1,4.38,4.38,720.79,720.79
MON,09:44:00,79.0,79.0,4.38,4.38,780.26,780.26
MON,09:49:00,3289.84,3289.84,4.38,4.38,780.26,780.26
MON,09:55:00,174.1,174.1,4.38,4.38,780.26,780.26
MON,10:00:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,10:04:00,399.0,399.0,4.38,4.38,780.26,780.26
MON,10:09:00,174.1,174.1,4.38,4.38,780.26,780.26
MON,10:19:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,10:24:00,497.25,497.25,4.38,4.38,780.26,780.26
MON,10:29:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,10:34:00,399.0,399.0,4.38,4.38,780.26,780.26
MON,10:39:00,1848.21,39.0,4.38,4.38,780.26,780.26
MON,10:44:00,79.0,79.0,4.38,4.38,780.26,780.26
MON,10:49:00,2433.0,2433.0,4.38,4.38,780.26,780.26
MON,10:54:00,39.0,39.0,4.38,4.38,780.26,780.26
MON,10:59:00,79.0,79.0,4.38,4.38,780.26,780.26
MON,11:04:00,79.0,79.0,4.38,4.38,867.61,867.61
MON,11:09:00,79.0,79.0,4.38,4.38,867.61,867.61
MON,11:14:00,39.0,39.0,4.38,4.38,827.13,827.13
MON,11:19:00,3289.84,3289.84,4.38,4.38,867.61,867.61
MON,11:25:00,39.0,39.0,4.38,4.38,867.61,867.61
MON,11:29:00,79.0,79.0,4.38,4.38,867.61,867.61
MON,11:34:00,399.0,399.0,4.38,4.38,867.61,867.61
MON,11:44:00,79.0,79.0,4.38,4.38,867.61,867.61
MON,11:49:00,79.0,79.0,4.38,4.38,974.0,974.0
MON,11:54:00,39.0,39.0,4.38,4.38,1035.14,1035.14
MON,11:59:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,12:09:00,3672.7,3672.7,4.38,4.38,867.61,867.61
MON,12:14:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,12:19:00,3976.36,3976.36,4.38,4.38,920.07,920.07
MON,12:30:00,79.0,79.0,4.38,4.38,867.61,867.61
MON,12:34:00,174.1,174.1,4.38,4.38,920.07,920.07
MON,12:39:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,12:44:00,39.0,39.0,4.38,4.38,867.61,867.61
MON,12:49:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,12:54:00,39.0,79.0,4.38,4.38,920.07,920.07
MON,12:59:00,174.1,174.1,4.38,4.38,920.07,920.07
MON,13:04:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,13:09:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,13:14:00,39.0,39.0,4.38,4.38,867.61,867.61
MON,13:19:00,2053.68,39.0,4.38,4.38,920.07,920.07
MON,13:24:00,2473.0,2473.0,4.38,4.38,920.07,920.07
MON,13:29:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,13:34:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,13:39:00,717.28,39.0,4.38,4.38,920.07,920.07
MON,13:44:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,13:49:00,3672.7,39.0,4.38,4.38,920.07,920.07
MON,13:54:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,13:59:00,39.0,39.0,4.38,4.38,867.61,867.61
MON,14:04:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,14:09:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,14:14:00,3289.84,39.0,4.38,4.38,920.07,920.07
MON,14:19:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,14:24:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,14:29:00,39.0,39.0,4.38,4.38,867.61,920.07
MON,14:34:00,3752.12,3752.12,4.38,4.38,920.07,920.07
MON,14:39:00,3853.89,39.0,4.38,4.38,920.07,920.07
MON,14:44:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,14:49:00,3853.89,174.1,4.38,4.38,920.07,920.07
MON,14:54:00,174.1,174.1,4.38,4.38,920.07,920.07
MON,14:59:00,174.1,39.0,4.38,4.38,867.61,867.61
MON,15:04:00,3177.12,39.0,4.38,4.38,920.07,920.07
MON,15:09:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,15:14:00,3752.12,3752.12,4.38,4.38,920.07,920.07
MON,15:19:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,15:24:00,321.0,39.0,4.38,4.38,920.07,920.07
MON,15:29:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,15:34:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,15:39:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,15:45:00,3054.24,3054.24,4.38,4.38,920.07,920.07
MON,15:49:00,79.0,39.0,4.38,4.38,920.07,920.07
MON,15:54:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,15:59:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,16:04:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,16:09:00,3177.12,79.0,4.38,4.38,920.07,920.07
MON,16:14:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,16:19:00,1848.21,39.0,4.38,4.38,920.07,920.07
MON,16:24:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,16:29:00,321.0,39.0,4.38,4.38,920.07,920.07
MON,16:34:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,16:39:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,16:44:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,16:54:00,79.0,39.0,4.38,4.38,1035.14,1035.14
MON,16:59:00,39.0,39.0,4.38,4.38,1035.14,1035.14
MON,17:04:00,3976.36,79.0,4.38,4.38,920.07,920.07
MON,17:10:00,79.0,39.0,4.38,4.38,920.07,920.07
MON,17:14:00,174.1,174.1,4.38,4.38,920.07,920.07
MON,17:19:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,17:24:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,17:29:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,17:34:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,17:39:00,837.0,837.0,4.38,4.38,920.07,920.07
MON,17:44:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,17:50:00,79.0,39.0,4.38,4.38,920.07,920.07
MON,17:54:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,17:59:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,18:04:00,39.0,79.0,4.38,4.38,920.07,920.07
MON,18:09:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,18:14:00,79.0,79.0,4.38,4.38,974.0,974.0
MON,18:19:00,79.0,79.0,4.38,4.38,920.07,920.07
MON,18:24:00,3289.84,39.0,4.38,4.38,920.07,920.07
MON,18:29:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,18:34:00,39.0,39.0,4.38,4.38,920.07,920.07
MON,18:39:00,912.0,912.0,4.38,4.38,920.07,920.07
MON,18:44:00,321.0,39.0,4.38,4.38,920.07,920.07
MON,18:49:00,1155.55,1155.55,4.38,4.38,920.07,920.07
MON,18:54:00,399.0,39.0,4.38,4.38,920.07,920.07
MON,18:59:00,618.36,958.97,4.38,4.38,920.07,920.07
MON,19:04:00,174.1,39.0,4.38,4.38,920.07,920.07
MON,19:09:00,3289.84,39.0,4.38,4.38,920.07,920.07
MON,19:14:00,39.0,79.0,4.38,4.38,920.07,920.07
MON,19:19:00,39.0,79.0,4.38,4.38,920.07,920.07
MON,19:24:00,321.0,321.0,4.38,4.38,974.0,974.0
MON,19:34:00,3289.84,79.0,4.38,4.38,920.07,920.07
MON,19:40:00,3853.89,3853.89,4.38,4.38,920.07,920.07
MON,19:49:00,79.0,39.0,4.38,4.38,920.07,920.07
