WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,598.0,598.0,43105.33,43105.33,1198.51,1198.51
MON,08:44:00,1767.0,1767.0,43105.33,43105.33,1232.11,1232.11
MON,08:49:00,1104.1,1104.1,43105.33,43105.33,1232.11,1232.11
MON,08:54:00,1436.0,1436.0,43105.33,43105.33,1198.51,1198.51
MON,08:59:00,478.0,299.0,43105.33,43105.33,1253.46,1253.46
MON,09:05:00,1436.0,1436.0,43105.33,43105.33,1253.46,1253.46
MON,09:09:00,744.19,744.19,43105.33,43105.33,1232.11,1232.11
MON,09:14:00,2632.0,2632.0,43105.33,43105.33,1253.46,1253.46
MON,09:19:00,2573.0,744.19,43105.33,43105.33,1232.11,1213.85
MON,09:24:00,1255.21,59.0,43105.33,43105.33,1232.11,1232.11
MON,09:29:00,744.19,744.19,43105.33,43105.33,1253.46,1253.46
MON,09:34:00,3112.69,3112.69,43105.33,43105.33,1253.46,1253.46
MON,09:39:00,897.0,897.0,43105.33,43105.33,1232.11,1232.11
MON,09:44:00,478.0,119.0,43105.33,43105.33,1253.46,1253.46
MON,09:49:00,1914.0,744.19,43105.33,43105.33,1253.46,1253.46
MON,09:55:00,1615.0,1615.0,43105.33,43105.33,1299.43,1299.43
MON,10:00:00,744.19,744.19,43105.33,43105.33,1299.43,1299.43
MON,10:04:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,10:09:00,2417.73,2417.73,43105.33,43105.33,1271.43,1271.43
MON,10:14:00,1974.0,1974.0,43105.33,43105.33,1299.43,1299.43
MON,10:19:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,10:24:00,478.0,478.0,43105.33,43105.33,1299.43,1299.43
MON,10:29:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,10:34:00,478.0,478.0,43105.33,43105.33,1299.43,1299.43
MON,10:39:00,1436.0,1436.0,43105.33,43105.33,1299.43,1299.43
MON,10:44:00,119.0,119.0,43105.33,43105.33,1299.43,1299.43
MON,10:49:00,957.0,957.0,43105.33,43105.33,1299.43,1299.43
MON,10:54:00,2573.0,2573.0,43105.33,43105.33,1299.43,1299.43
MON,10:59:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,11:04:00,2214.0,2214.0,43105.33,43105.33,1299.43,1299.43
MON,11:09:00,2273.0,2273.0,43105.33,43105.33,1299.43,1299.43
MON,11:14:00,957.0,957.0,43105.33,43105.33,1299.43,1299.43
MON,11:19:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,11:25:00,1376.0,1376.0,43105.33,43105.33,1299.43,1299.43
MON,11:29:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,11:34:00,1436.0,1436.0,43105.33,43105.33,1299.43,1299.43
MON,11:39:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
MON,11:44:00,2632.0,2632.0,43105.33,43105.33,1343.01,1343.01
MON,11:49:00,2094.0,2094.0,43105.33,43105.33,1299.43,1299.43
MON,11:54:00,1104.1,1104.1,43105.33,43105.33,1299.43,1299.43
