WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,66.0,66.0,7.42,23.4,340.05,340.05
MON,08:44:00,166.04,33.0,15.54,23.4,340.05,340.05
MON,08:49:00,166.04,166.04,15.54,30.64,340.05,340.05
MON,08:54:00,244.56,133.0,7.42,7.42,340.05,340.05
MON,08:59:00,244.56,166.04,7.42,7.42,340.05,340.05
MON,09:04:00,33.0,133.0,15.54,15.54,340.05,357.72
MON,09:09:00,244.56,33.0,23.4,30.64,340.05,357.72
MON,09:14:00,33.0,166.04,23.4,23.4,340.05,340.05
MON,09:19:00,66.0,133.0,23.4,30.64,340.05,357.72
MON,09:24:00,33.0,133.0,15.54,7.42,340.05,392.09
MON,09:29:00,966.0,133.0,30.64,30.64,340.05,357.72
MON,09:34:00,133.0,133.0,7.42,45.08,340.05,340.05
MON,09:39:00,244.56,33.0,7.42,7.42,340.05,340.05
MON,09:44:00,166.04,166.04,15.54,37.61,357.72,357.72
MON,09:49:00,33.0,66.0,15.54,58.79,357.72,357.72
MON,09:54:00,33.0,166.04,7.42,15.54,357.72,357.72
MON,10:00:00,66.0,66.0,15.54,37.61,357.72,357.72
MON,10:04:00,333.0,166.04,15.54,15.54,357.72,357.72
MON,10:09:00,133.0,133.0,23.4,37.61,377.86,377.86
MON,10:14:00,133.0,133.0,15.54,15.54,401.19,401.19
MON,10:19:00,133.0,133.0,15.54,15.54,408.85,408.85
MON,10:24:00,244.56,244.56,7.42,7.42,401.19,401.19
MON,10:29:00,33.0,166.04,37.61,37.61,424.64,424.64
MON,10:34:00,166.04,166.04,30.64,30.64,424.64,424.64
MON,10:39:00,66.0,66.0,30.64,23.4,437.13,437.13
MON,10:44:00,166.04,166.04,15.54,23.4,452.56,452.56
MON,10:49:00,66.0,66.0,37.61,37.61,467.07,467.07
MON,10:54:00,33.0,33.0,15.54,15.54,487.51,487.51
MON,10:59:00,33.0,33.0,23.4,23.4,524.58,524.58
MON,11:04:00,733.0,733.0,30.64,23.4,551.36,551.36
MON,11:09:00,166.04,166.04,23.4,23.4,582.0,582.0
MON,11:14:00,166.04,166.04,23.4,23.4,629.64,629.64
MON,11:19:00,166.04,166.04,7.42,30.64,663.0,663.0
MON,11:25:00,333.0,333.0,23.4,23.4,733.89,733.89
MON,11:29:00,33.0,33.0,15.54,15.54,768.6,768.6
MON,11:34:00,244.56,244.56,15.54,15.54,817.73,817.73
MON,11:39:00,244.56,244.56,7.42,7.42,853.96,853.96
MON,11:44:00,244.56,244.56,37.61,37.61,894.13,894.13
MON,11:49:00,333.0,333.0,30.64,30.64,894.13,894.13
MON,11:54:00,33.0,33.0,23.4,23.4,904.71,904.71
MON,11:59:00,166.04,166.04,23.4,23.4,894.13,894.13
MON,12:04:00,33.0,33.0,23.4,30.64,894.13,894.13
