WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,468.0,643.0,130.86,130.86,1556.31,1556.31
MON,08:44:00,117.0,117.0,130.86,130.86,1583.86,1583.86
MON,08:49:00,1229.0,1229.0,234.39,130.86,1604.59,1604.59
MON,08:54:00,58.0,117.0,130.86,130.86,1583.86,1583.86
MON,08:59:00,58.0,409.0,130.86,130.86,1556.31,1556.31
MON,09:05:00,58.0,58.0,130.86,130.86,1583.86,1583.86
MON,09:09:00,58.0,117.0,234.39,130.86,1604.59,1604.59
MON,09:14:00,58.0,58.0,337.09,130.86,1619.28,1619.28
MON,09:19:00,117.0,117.0,130.86,130.86,1604.59,1604.59
MON,09:24:00,58.0,409.0,130.86,130.86,1619.28,1619.28
MON,09:29:00,58.0,117.0,130.86,130.86,1619.28,1619.28
MON,09:34:00,117.0,117.0,130.86,130.86,1619.28,1619.28
MON,09:39:00,58.0,117.0,130.86,130.86,1619.28,1619.28
MON,09:44:00,58.0,117.0,130.86,130.86,1604.59,1604.59
MON,09:49:00,58.0,234.0,130.86,130.86,1604.59,1604.59
MON,09:54:00,117.0,292.0,130.86,130.86,1604.59,1604.59
MON,10:00:00,643.0,643.0,234.39,130.86,1619.28,1619.28
MON,10:04:00,58.0,58.0,234.39,234.39,1604.59,1604.59
MON,10:09:00,292.0,292.0,443.75,234.39,1604.59,1604.59
MON,10:14:00,58.0,117.0,337.09,337.09,1604.59,1604.59
MON,10:19:00,117.0,117.0,234.39,234.39,1604.59,1604.59
MON,10:24:00,117.0,117.0,443.75,337.09,1619.28,1619.28
MON,10:29:00,58.0,585.0,443.75,443.75,1619.28,1619.28
MON,10:34:00,58.0,117.0,337.09,234.39,1668.36,1668.36
MON,10:39:00,936.0,936.0,443.75,443.75,1668.36,1668.36
MON,10:44:00,58.0,58.0,337.09,337.09,1619.28,1619.28
MON,10:49:00,58.0,117.0,130.86,234.39,1619.28,1619.28
MON,10:54:00,761.0,761.0,130.86,337.09,1634.24,1634.24
MON,10:59:00,58.0,234.0,337.09,337.09,1619.28,1619.28
MON,11:04:00,58.0,409.0,443.75,443.75,1634.24,1634.24
MON,11:09:00,234.0,234.0,234.39,234.39,1634.24,1634.24
MON,11:14:00,234.0,409.0,234.39,234.39,1634.24,1634.24
MON,11:19:00,58.0,234.0,234.39,234.39,1634.24,1634.24
MON,11:25:00,58.0,58.0,234.39,234.39,1662.03,1662.03
MON,11:29:00,117.0,117.0,130.86,234.39,1645.81,1645.81
MON,11:34:00,58.0,409.0,130.86,130.86,1619.28,1619.28
MON,11:39:00,409.0,409.0,130.86,234.39,1634.24,1634.24
MON,11:44:00,117.0,117.0,337.09,337.09,1634.24,1634.24
MON,11:49:00,117.0,117.0,130.86,234.39,1634.24,1634.24
MON,11:54:00,117.0,117.0,443.75,443.75,1634.24,1634.24
MON,11:59:00,58.0,117.0,337.09,337.09,1619.28,1619.28
MON,12:04:00,117.0,117.0,130.86,337.09,1645.81,1645.81
MON,12:09:00,117.0,117.0,234.39,234.39,1634.24,1634.24
MON,12:14:00,58.0,117.0,130.86,443.75,1634.24,1634.24
MON,12:19:00,58.0,292.0,130.86,337.09,1634.24,1634.24
MON,12:24:00,292.0,292.0,130.86,234.39,1645.81,1645.81
MON,12:30:00,468.0,468.0,130.86,130.86,1634.24,1634.24
MON,12:34:00,117.0,234.0,130.86,337.09,1634.24,1634.24
MON,12:39:00,234.0,234.0,130.86,130.86,1662.03,1662.03
MON,12:44:00,58.0,58.0,130.86,130.86,1634.24,1634.24
MON,12:49:00,58.0,234.0,130.86,234.39,1634.24,1634.24
MON,12:54:00,58.0,58.0,130.86,130.86,1634.24,1634.24
MON,12:59:00,292.0,58.0,130.86,130.86,1619.28,1619.28
MON,13:04:00,585.0,585.0,234.39,234.39,1634.24,1634.24
MON,13:09:00,58.0,234.0,234.39,234.39,1634.24,1634.24
MON,13:15:00,585.0,585.0,337.09,130.86,1634.24,1634.24
MON,13:19:00,58.0,58.0,443.75,443.75,1619.28,1619.28
MON,13:24:00,117.0,234.0,337.09,234.39,1634.24,1634.24
MON,13:29:00,936.0,936.0,337.09,337.09,1634.24,1634.24
MON,13:34:00,58.0,292.0,234.39,234.39,1634.24,1634.24
MON,13:39:00,234.0,234.0,130.86,337.09,1634.24,1634.24
MON,13:44:00,58.0,117.0,130.86,337.09,1634.24,1634.24
MON,13:49:00,117.0,234.0,443.75,234.39,1634.24,1634.24
MON,13:54:00,58.0,58.0,234.39,234.39,1668.36,1668.36
MON,13:59:00,58.0,58.0,234.39,234.39,1634.24,1634.24
MON,14:04:00,58.0,585.0,337.09,337.09,1634.24,1634.24
MON,14:09:00,117.0,117.0,130.86,337.09,1645.81,1645.81
MON,14:14:00,292.0,117.0,234.39,234.39,1654.23,1654.23
MON,14:19:00,58.0,58.0,130.86,337.09,1654.23,1654.23
MON,14:24:00,292.0,117.0,337.09,234.39,1654.23,1654.23
MON,14:29:00,58.0,234.0,337.09,337.09,1645.81,1645.81
MON,14:35:00,58.0,117.0,234.39,234.39,1654.23,1654.23
MON,14:39:00,58.0,58.0,337.09,337.09,1645.81,1645.81
MON,14:44:00,117.0,117.0,234.39,234.39,1645.81,1645.81
MON,14:49:00,117.0,117.0,130.86,234.39,1645.81,1645.81
MON,14:54:00,409.0,409.0,234.39,234.39,1645.81,1645.81
MON,14:59:00,58.0,234.0,130.86,337.09,1654.23,1654.23
MON,15:04:00,58.0,292.0,130.86,234.39,1645.81,1645.81
MON,15:09:00,58.0,234.0,234.39,234.39,1654.23,1654.23
MON,15:14:00,1934.03,1934.03,130.86,130.86,1674.06,1674.06
MON,15:19:00,58.0,234.0,130.86,130.86,1654.23,1654.23
