WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,292.0,43.9,43.9,1639.3,1639.3
MON,08:44:00,58.0,234.0,43.9,43.9,1643.96,1643.96
MON,08:49:00,58.0,58.0,43.9,43.9,1668.52,1639.3
MON,08:54:00,58.0,117.0,43.9,43.9,1643.96,1643.96
MON,08:59:00,234.0,234.0,43.9,43.9,1648.7,1648.7
MON,09:05:00,58.0,58.0,43.9,43.9,1643.96,1643.96
MON,09:09:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,09:14:00,58.0,234.0,43.9,43.9,1655.66,1655.66
MON,09:19:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,09:24:00,58.0,58.0,43.9,43.9,1658.44,1658.44
MON,09:29:00,58.0,58.0,43.9,43.9,1666.48,1666.48
MON,09:34:00,58.0,58.0,43.9,43.9,1660.0,1660.0
MON,09:39:00,58.0,58.0,43.9,43.9,1661.9,1661.9
MON,09:44:00,58.0,58.0,43.9,43.9,1684.22,1684.22
MON,09:49:00,58.0,58.0,43.9,43.9,1624.52,1624.52
MON,09:54:00,58.0,234.0,43.9,43.9,1628.05,1628.05
MON,10:00:00,58.0,58.0,43.9,43.9,1639.3,1639.3
MON,10:04:00,58.0,117.0,43.9,43.9,1648.7,1648.7
MON,10:09:00,58.0,58.0,43.9,43.9,1652.1,1652.1
MON,10:14:00,58.0,58.0,43.9,43.9,1658.44,1658.44
MON,10:19:00,468.0,58.0,43.9,43.9,1660.0,1660.0
MON,10:24:00,234.0,58.0,43.9,43.9,1664.61,1664.61
MON,10:29:00,58.0,58.0,43.9,43.9,1674.32,1674.32
MON,10:34:00,58.0,58.0,43.9,43.9,1666.48,1666.48
MON,10:39:00,117.0,117.0,43.9,43.9,1670.86,1670.86
MON,10:44:00,117.0,117.0,43.9,43.9,1670.86,1670.86
MON,10:49:00,58.0,58.0,43.9,43.9,1661.9,1661.9
MON,10:54:00,58.0,58.0,43.9,43.9,1666.48,1666.48
MON,10:59:00,58.0,58.0,43.9,43.9,1668.52,1668.52
MON,11:04:00,58.0,58.0,571.65,43.9,1648.7,1648.7
MON,11:09:00,58.0,117.0,43.9,43.9,1648.7,1648.7
MON,11:14:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,11:19:00,117.0,58.0,43.9,43.9,1655.66,1655.66
MON,11:25:00,58.0,234.0,43.9,43.9,1655.66,1655.66
MON,11:29:00,58.0,58.0,43.9,43.9,1661.9,1661.9
MON,11:34:00,58.0,58.0,43.9,43.9,1670.86,1670.86
MON,11:39:00,58.0,117.0,43.9,43.9,1643.96,1643.96
MON,11:44:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,11:49:00,58.0,58.0,43.9,43.9,1652.1,1652.1
MON,11:54:00,58.0,234.0,43.9,43.9,1648.7,1648.7
MON,11:59:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,12:04:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,12:09:00,58.0,58.0,43.9,43.9,1643.96,1643.96
MON,12:14:00,58.0,468.0,43.9,43.9,1655.66,1655.66
MON,12:19:00,58.0,117.0,43.9,43.9,1652.1,1652.1
MON,12:24:00,58.0,58.0,43.9,43.9,1652.1,1652.1
MON,12:30:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,12:34:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,12:39:00,292.0,117.0,43.9,43.9,1652.1,1652.1
MON,12:44:00,58.0,58.0,43.9,43.9,1652.1,1652.1
MON,12:49:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,12:54:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,12:59:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,13:04:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,13:09:00,58.0,58.0,43.9,43.9,1652.1,1652.1
MON,13:15:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,13:19:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,13:24:00,58.0,117.0,43.9,43.9,1652.1,1652.1
MON,13:29:00,58.0,117.0,43.9,43.9,1658.44,1658.44
MON,13:34:00,117.0,117.0,43.9,43.9,1643.96,1643.96
MON,13:39:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,13:44:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,13:49:00,58.0,58.0,571.65,43.9,1666.48,1666.48
MON,13:54:00,468.0,58.0,43.9,43.9,1689.49,1689.49
MON,13:59:00,234.0,58.0,43.9,43.9,1655.66,1655.66
MON,14:04:00,234.0,234.0,43.9,571.65,1648.7,1648.7
MON,14:09:00,58.0,234.0,43.9,43.9,1648.7,1648.7
MON,14:14:00,643.0,643.0,43.9,43.9,1655.66,1655.66
MON,14:19:00,58.0,58.0,43.9,43.9,1655.66,1655.66
MON,14:24:00,58.0,58.0,43.9,43.9,1648.7,1648.7
MON,14:29:00,58.0,58.0,43.9,43.9,1658.44,1658.44
MON,14:35:00,58.0,117.0,43.9,43.9,1643.96,1643.96
MON,14:39:00,58.0,58.0,43.9,43.9,1652.1,1652.1
