WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,292.0,204.0,140.72,140.72,223.0,223.0
MON,08:44:00,1933.93,1933.93,0.83,9.35,228.47,228.47
MON,08:49:00,555.0,234.0,5.5,5.5,237.0,237.0
MON,08:54:00,380.0,29.0,0.83,0.83,239.42,239.42
MON,08:59:00,204.0,204.0,132.75,132.75,236.0,236.0
MON,09:04:00,29.0,321.0,5.5,0.83,221.49,221.49
MON,09:09:00,292.0,204.0,0.83,0.83,235.0,235.0
MON,09:14:00,234.0,321.0,132.75,132.75,239.42,239.42
MON,09:19:00,234.0,146.0,0.83,21.08,230.0,230.0
MON,09:24:00,321.0,380.0,132.75,132.75,238.0,238.0
MON,09:29:00,468.0,292.0,0.83,5.5,363.02,363.02
MON,09:34:00,321.0,234.0,140.72,140.72,207.47,221.49
MON,09:39:00,468.0,380.0,132.75,132.75,221.49,221.49
MON,09:44:00,292.0,468.0,0.83,0.83,223.0,223.0
MON,09:49:00,58.0,146.0,0.83,0.83,228.47,228.47
MON,09:54:00,58.0,438.0,0.83,0.83,220.0,220.0
MON,10:00:00,234.0,234.0,140.72,140.72,224.52,224.52
MON,10:04:00,292.0,234.0,9.35,9.35,224.52,224.52
MON,10:09:00,234.0,234.0,0.83,0.83,252.56,252.56
MON,10:14:00,234.0,526.0,14.42,14.42,252.56,252.56
MON,10:19:00,702.0,702.0,132.75,132.75,259.98,259.98
MON,10:24:00,292.0,292.0,9.35,9.35,255.0,255.0
MON,10:29:00,204.0,146.0,0.83,0.83,255.0,255.0
MON,10:34:00,672.0,672.0,44.99,44.99,178.0,178.0
MON,10:39:00,204.0,204.0,296.31,296.31,228.47,228.47
MON,10:44:00,292.0,292.0,9.35,9.35,220.0,220.0
MON,10:49:00,204.0,204.0,140.72,140.72,218.0,218.0
MON,10:54:00,380.0,380.0,140.72,140.72,230.0,230.0
MON,10:59:00,58.0,58.0,14.42,14.42,230.0,230.0
MON,11:04:00,204.0,204.0,379.45,379.45,231.0,231.0
MON,11:09:00,234.0,234.0,14.42,14.42,235.0,235.0
MON,11:14:00,321.0,321.0,140.72,140.72,246.0,246.0
MON,11:19:00,643.0,643.0,165.18,165.18,236.0,236.0
MON,11:25:00,526.0,526.0,5.5,5.5,246.0,246.0
MON,11:29:00,29.0,29.0,284.02,284.02,252.56,252.56
MON,11:34:00,263.0,263.0,202.64,202.64,209.53,209.53
MON,11:39:00,321.0,321.0,21.08,21.08,224.52,224.52
