WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,146.0,146.0,75.24,75.24,636.0,636.0
MON,08:44:00,380.0,380.0,96.84,96.84,637.43,637.43
MON,08:49:00,234.0,234.0,14.05,14.05,637.43,637.43
MON,08:54:00,380.0,321.0,150.91,150.91,636.0,636.0
MON,08:59:00,204.0,204.0,263.9,263.9,634.57,634.57
MON,09:04:00,146.0,146.0,22.98,22.98,637.43,637.43
MON,09:09:00,204.0,204.0,75.24,75.24,637.43,637.43
MON,09:14:00,380.0,380.0,133.62,133.62,636.0,636.0
MON,09:19:00,321.0,321.0,75.24,75.24,639.87,639.87
MON,09:24:00,292.0,321.0,393.4,393.4,637.43,637.43
MON,09:29:00,29.0,29.0,22.98,22.98,639.87,639.87
MON,09:34:00,146.0,292.0,96.84,96.84,639.87,639.87
MON,09:39:00,321.0,321.0,324.81,324.81,639.87,639.87
MON,09:44:00,321.0,146.0,370.12,370.12,643.66,643.66
MON,09:49:00,58.0,58.0,370.12,370.12,704.44,704.44
MON,09:54:00,29.0,29.0,663.72,663.72,677.0,677.0
MON,10:00:00,380.0,292.0,716.42,716.42,643.66,643.66
MON,10:04:00,292.0,146.0,311.24,311.24,643.66,643.66
MON,10:09:00,234.0,380.0,513.42,513.42,639.87,639.87
MON,10:14:00,321.0,204.0,55.24,55.24,639.87,639.87
MON,10:19:00,1572.51,1572.51,219.76,219.76,643.66,643.66
MON,10:24:00,146.0,146.0,479.54,479.54,643.66,643.66
MON,10:29:00,321.0,321.0,169.42,169.42,639.87,639.87
MON,10:34:00,234.0,234.0,133.62,133.62,639.87,639.87
MON,10:39:00,146.0,146.0,393.4,393.4,643.66,643.66
MON,10:44:00,380.0,380.0,294.86,294.86,639.87,639.87
MON,10:49:00,292.0,292.0,249.39,249.39,643.66,643.66
MON,10:54:00,965.0,965.0,294.86,294.86,647.41,647.41
MON,10:59:00,58.0,58.0,294.86,294.86,643.66,643.66
MON,11:04:00,292.0,292.0,351.11,351.11,643.66,643.66
MON,11:09:00,292.0,292.0,446.28,446.28,639.87,639.87
MON,11:14:00,321.0,204.0,548.91,548.91,643.66,643.66
MON,11:19:00,380.0,380.0,602.75,602.75,647.41,647.41
MON,11:25:00,292.0,292.0,513.42,513.42,647.41,647.41
MON,11:29:00,117.0,117.0,757.62,757.62,643.66,643.66
MON,11:34:00,204.0,204.0,513.42,513.42,647.41,647.41
MON,11:39:00,380.0,380.0,150.91,150.91,647.41,647.41
MON,11:44:00,234.0,204.0,263.9,263.9,647.41,647.41
MON,11:49:00,704.31,704.31,188.36,188.36,643.66,643.66
MON,11:54:00,292.0,292.0,351.11,351.11,647.41,647.41
MON,11:59:00,2841.28,321.0,446.28,446.28,647.41,647.41
MON,12:04:00,2841.28,2841.28,370.12,370.12,647.41,647.41
MON,12:09:00,117.0,117.0,513.42,513.42,647.41,647.41
MON,12:14:00,704.31,704.31,249.39,249.39,647.41,647.41
MON,12:19:00,292.0,146.0,831.65,831.65,647.41,647.41
MON,12:24:00,321.0,292.0,904.33,904.33,643.66,643.66
MON,12:29:00,292.0,321.0,698.17,698.17,643.66,643.66
MON,12:34:00,292.0,292.0,716.42,716.42,647.41,647.41
MON,12:39:00,614.0,614.0,698.17,698.17,647.41,647.41
MON,12:44:00,204.0,292.0,602.75,602.75,647.41,647.41
MON,12:49:00,438.0,438.0,548.91,548.91,651.56,651.56
MON,12:54:00,614.0,614.0,644.89,644.89,647.41,647.41
MON,12:59:00,2841.28,2841.28,337.36,337.36,651.56,651.56
MON,13:04:00,146.0,321.0,624.32,624.32,651.56,651.56
