WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,66.0,66.0,72.04,72.04,1526.09,1526.09
MON,08:44:00,333.0,333.0,6.51,72.04,1526.09,1526.09
MON,08:49:00,333.0,333.0,6.51,72.04,1553.68,1553.68
MON,08:54:00,1400.0,1400.0,72.04,72.04,1526.09,1526.09
MON,08:59:00,66.0,66.0,143.43,72.04,1526.09,1526.09
MON,09:05:00,533.0,533.0,72.04,72.04,1526.09,1526.09
MON,09:09:00,66.0,66.0,6.51,72.04,1526.09,1526.09
MON,09:14:00,66.0,66.0,72.04,72.04,1526.09,1526.09
MON,09:20:00,66.0,66.0,72.04,72.04,1526.09,1526.09
MON,09:24:00,66.0,66.0,143.43,213.96,1526.09,1526.09
MON,09:29:00,533.0,533.0,143.43,213.96,1526.09,1526.09
MON,09:34:00,667.0,667.0,72.04,72.04,1553.68,1553.68
MON,09:39:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,09:44:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,09:49:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,09:54:00,66.0,66.0,277.57,277.57,1553.68,1553.68
MON,10:00:00,66.0,66.0,143.43,143.43,1553.68,1553.68
MON,10:04:00,66.0,66.0,6.51,213.96,1553.68,1553.68
MON,10:09:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,10:14:00,66.0,66.0,6.51,6.51,1572.17,1572.17
MON,10:19:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,10:24:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,10:29:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,10:34:00,266.0,266.0,6.51,72.04,1572.17,1572.17
MON,10:39:00,66.0,66.0,6.51,6.51,1572.17,1572.17
MON,10:44:00,66.0,66.0,567.68,567.68,1553.68,1553.68
MON,10:49:00,66.0,66.0,6.51,143.43,1553.68,1553.68
MON,10:54:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,10:59:00,66.0,66.0,72.04,72.04,1586.85,1586.85
MON,11:04:00,733.0,733.0,72.04,72.04,1526.09,1526.09
MON,11:09:00,66.0,66.0,6.51,72.04,1526.09,1526.09
MON,11:14:00,66.0,66.0,6.51,213.96,1526.09,1526.09
MON,11:19:00,133.0,66.0,213.96,213.96,1526.09,1526.09
MON,11:25:00,66.0,66.0,440.61,440.61,1553.68,1553.68
MON,11:29:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,11:34:00,1400.0,1400.0,6.51,72.04,1526.09,1526.09
MON,11:39:00,66.0,66.0,72.04,72.04,1526.09,1526.09
MON,11:44:00,66.0,66.0,6.51,72.04,1526.09,1526.09
MON,11:49:00,66.0,66.0,6.51,72.04,1526.09,1526.09
MON,11:54:00,333.0,333.0,72.04,72.04,1526.09,1526.09
MON,11:59:00,867.0,867.0,72.04,72.04,1526.09,1526.09
MON,12:04:00,66.0,133.0,6.51,72.04,1553.68,1553.68
MON,12:09:00,66.0,66.0,6.51,213.96,1553.68,1553.68
MON,12:14:00,66.0,66.0,6.51,72.04,1553.68,1553.68
MON,12:19:00,66.0,66.0,72.04,72.04,1553.68,1553.68
MON,12:24:00,466.0,466.0,72.04,72.04,1553.68,1553.68
MON,12:30:00,66.0,66.0,72.04,72.04,1526.09,1526.09
MON,12:34:00,2984.85,2984.85,6.51,72.04,1553.68,1553.68
MON,12:39:00,533.0,533.0,72.04,72.04,1572.17,1572.17
MON,12:44:00,66.0,66.0,6.51,6.51,1553.68,1553.68
MON,12:49:00,733.0,733.0,6.51,72.04,1553.68,1553.68
MON,12:54:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,12:59:00,66.0,66.0,72.04,72.04,1572.17,1572.17
MON,13:04:00,1663.65,1663.65,6.51,6.51,1572.17,1572.17
MON,13:09:00,66.0,66.0,72.04,72.04,1586.85,1586.85
MON,13:15:00,333.0,333.0,6.51,72.04,1586.85,1586.85
MON,13:19:00,66.0,66.0,72.04,72.04,1586.85,1586.85
MON,13:24:00,66.0,66.0,213.96,213.96,1586.85,1586.85
MON,13:29:00,133.0,66.0,213.96,213.96,1586.85,1586.85
MON,13:34:00,66.0,66.0,6.51,72.04,1572.17,1572.17
MON,13:39:00,266.0,66.0,6.51,72.04,1586.85,1586.85
MON,13:44:00,66.0,66.0,6.51,72.04,1586.85,1586.85
MON,13:49:00,66.0,66.0,6.51,72.04,1586.85,1586.85
MON,13:54:00,1901.63,1901.63,143.43,143.43,1632.11,1632.11
MON,13:59:00,66.0,66.0,277.57,277.57,1602.12,1602.12
MON,14:04:00,66.0,66.0,143.43,143.43,1602.12,1602.12
MON,14:09:00,66.0,66.0,6.51,72.04,1609.62,1609.62
MON,14:14:00,66.0,133.0,6.51,143.43,1602.12,1602.12
MON,14:19:00,66.0,66.0,6.51,143.43,1609.62,1609.62
MON,14:24:00,66.0,66.0,6.51,213.96,1609.62,1609.62
MON,14:29:00,66.0,66.0,72.04,72.04,1609.62,1609.62
MON,14:35:00,66.0,66.0,6.51,143.43,1609.62,1609.62
MON,14:39:00,1400.0,1400.0,72.04,72.04,1617.54,1617.54
MON,14:44:00,66.0,66.0,213.96,213.96,1624.44,1624.44
MON,14:49:00,66.0,66.0,335.7,335.7,1624.44,1624.44
MON,14:54:00,66.0,66.0,213.96,213.96,1632.11,1632.11
MON,14:59:00,66.0,66.0,143.43,143.43,1645.56,1645.56
MON,15:04:00,533.0,533.0,143.43,143.43,1638.09,1638.09
MON,15:09:00,66.0,133.0,72.04,143.43,1642.01,1642.01
MON,15:15:00,66.0,66.0,6.51,143.43,1660.47,1660.47
MON,15:19:00,66.0,266.0,6.51,143.43,1638.09,1638.09
MON,15:24:00,66.0,66.0,6.51,143.43,1642.01,1642.01
MON,15:29:00,66.0,133.0,6.51,6.51,1632.11,1632.11
MON,15:34:00,66.0,66.0,6.51,6.51,1632.11,1632.11
MON,15:39:00,266.0,266.0,6.51,143.43,1632.11,1632.11
MON,15:45:00,266.0,266.0,72.04,72.04,1642.01,1642.01
MON,15:49:00,333.0,333.0,6.51,213.96,1638.09,1638.09
MON,15:54:00,66.0,133.0,6.51,143.43,1645.56,1645.56
MON,15:59:00,66.0,66.0,6.51,143.43,1642.01,1642.01
MON,16:04:00,533.0,533.0,6.51,72.04,1638.09,1638.09
MON,16:10:00,66.0,66.0,6.51,143.43,1660.47,1660.47
