WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,512.65,391.16,2823.46,2823.46
MON,08:44:00,58.0,58.0,391.16,391.16,2849.99,2849.99
MON,08:49:00,468.0,292.0,391.16,391.16,2849.99,2849.99
MON,08:54:00,58.0,58.0,391.16,391.16,2823.46,2823.46
MON,08:59:00,1812.07,1812.07,512.65,391.16,2823.46,2823.46
MON,09:05:00,58.0,117.0,512.65,512.65,2823.46,2823.46
MON,09:09:00,1812.07,1812.07,266.43,391.16,2823.46,2823.46
MON,09:14:00,58.0,58.0,391.16,391.16,2823.46,2823.46
MON,09:19:00,234.0,117.0,391.16,391.16,2823.46,2823.46
MON,09:24:00,117.0,117.0,512.65,391.16,2849.99,2849.99
MON,09:29:00,58.0,234.0,391.16,391.16,2823.46,2823.46
MON,09:34:00,58.0,58.0,391.16,391.16,2849.99,2849.99
MON,09:39:00,761.0,761.0,391.16,391.16,2849.99,2849.99
MON,09:44:00,234.0,234.0,391.16,391.16,2849.99,2849.99
MON,09:49:00,58.0,58.0,391.16,391.16,2866.03,2866.03
MON,09:54:00,58.0,58.0,391.16,391.16,2849.99,2849.99
MON,10:00:00,58.0,58.0,512.65,512.65,2849.99,2849.99
MON,10:04:00,58.0,58.0,391.16,391.16,2849.99,2849.99
MON,10:09:00,58.0,58.0,512.65,512.65,2879.2,2879.2
MON,10:14:00,234.0,234.0,512.65,512.65,2879.2,2879.2
MON,10:19:00,58.0,234.0,653.11,653.11,2879.2,2879.2
MON,10:24:00,58.0,58.0,512.65,512.65,2879.2,2879.2
MON,10:29:00,117.0,117.0,391.16,391.16,2866.03,2866.03
MON,10:34:00,58.0,58.0,391.16,391.16,2849.99,2849.99
MON,10:39:00,58.0,117.0,512.65,512.65,2849.99,2849.99
MON,10:44:00,1581.0,1581.0,391.16,391.16,2849.99,2849.99
MON,10:49:00,58.0,117.0,391.16,391.16,2866.03,2866.03
MON,10:54:00,117.0,117.0,512.65,512.65,2866.03,2866.03
MON,10:59:00,58.0,234.0,391.16,391.16,2866.03,2866.03
MON,11:04:00,58.0,234.0,391.16,391.16,2866.03,2866.03
MON,11:09:00,234.0,117.0,512.65,512.65,2866.03,2866.03
MON,11:14:00,117.0,117.0,391.16,391.16,2866.03,2866.03
MON,11:19:00,58.0,117.0,391.16,512.65,2866.03,2866.03
MON,11:25:00,58.0,58.0,512.65,512.65,2866.03,2866.03
MON,11:29:00,117.0,117.0,391.16,512.65,2866.03,2866.03
MON,11:34:00,58.0,58.0,512.65,512.65,2866.03,2866.03
MON,11:39:00,117.0,117.0,512.65,512.65,2866.03,2866.03
MON,11:44:00,58.0,117.0,512.65,512.65,2866.03,2866.03
MON,11:49:00,1522.0,1522.0,391.16,391.16,2866.03,2866.03
MON,11:54:00,117.0,117.0,391.16,391.16,2866.03,2866.03
