WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,117.0,1.2,35.13,1396.5,1396.5
MON,08:44:00,1429.13,1429.13,1.2,35.13,1324.25,1324.25
MON,08:49:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,08:54:00,58.0,234.0,1.2,1.2,1324.25,1324.25
MON,08:59:00,292.0,292.0,1.2,1.2,1319.38,1319.38
MON,09:05:00,58.0,58.0,1.2,35.13,1319.38,1319.38
MON,09:09:00,292.0,292.0,35.13,35.13,1319.38,1319.38
MON,09:14:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,09:19:00,292.0,292.0,1.2,1.2,1319.38,1319.38
MON,09:24:00,234.0,117.0,1.2,1.2,1330.46,1330.46
MON,09:29:00,58.0,58.0,35.13,35.13,1324.25,1324.25
MON,09:34:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,09:39:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,09:44:00,58.0,117.0,35.13,35.13,1324.25,1324.25
MON,09:49:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,09:55:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,10:00:00,117.0,117.0,1.2,35.13,1336.17,1336.17
MON,10:04:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,10:09:00,234.0,234.0,1.2,1.2,1330.46,1330.46
MON,10:14:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,10:19:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,10:24:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,10:29:00,58.0,58.0,35.13,35.13,1336.17,1336.17
MON,10:34:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,10:40:00,4628.89,4628.89,1.2,1.2,1330.46,1330.46
MON,10:44:00,58.0,117.0,1.2,1.2,1336.17,1336.17
MON,10:49:00,234.0,234.0,1.2,35.13,1340.05,1340.05
MON,10:54:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,10:59:00,58.0,117.0,1.2,1.2,1336.17,1336.17
MON,11:04:00,1429.13,1429.13,1.2,1.2,1330.46,1330.46
MON,11:09:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,11:14:00,58.0,234.0,1.2,1.2,1330.46,1330.46
MON,11:19:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,11:25:00,117.0,117.0,1.2,35.13,1342.39,1342.39
MON,11:29:00,58.0,58.0,1.2,1.2,1340.05,1340.05
MON,11:34:00,58.0,58.0,1.2,35.13,1336.17,1336.17
MON,11:39:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,11:44:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,11:49:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,11:54:00,1175.47,1175.47,1.2,1.2,1324.25,1324.25
MON,11:59:00,58.0,117.0,1.2,1.2,1330.46,1330.46
MON,12:04:00,58.0,58.0,1.2,1.2,1340.05,1340.05
MON,12:09:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,12:14:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,12:19:00,58.0,58.0,1.2,35.13,1336.17,1336.17
MON,12:24:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,12:30:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,12:34:00,58.0,58.0,1.2,35.13,1336.17,1336.17
MON,12:40:00,58.0,234.0,1.2,1.2,1336.17,1336.17
MON,12:45:00,234.0,234.0,1.2,1.2,1353.39,1353.39
MON,12:49:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,12:54:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,12:59:00,117.0,234.0,1.2,1.2,1336.17,1336.17
MON,13:04:00,58.0,58.0,1.2,35.13,1336.17,1336.17
MON,13:09:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,13:15:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,13:19:00,58.0,58.0,1.2,86.6,1330.46,1330.46
MON,13:24:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,13:29:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,13:34:00,4628.89,4628.89,1.2,35.13,1330.46,1330.46
MON,13:39:00,58.0,58.0,1.2,35.13,1336.17,1336.17
MON,13:44:00,234.0,58.0,1.2,35.13,1336.17,1336.17
MON,13:49:00,58.0,58.0,35.13,35.13,1340.05,1340.05
MON,13:54:00,58.0,58.0,1.2,1.2,1336.17,1336.17
MON,13:59:00,58.0,58.0,35.13,35.13,1404.55,1404.55
MON,14:04:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,14:09:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,14:14:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,14:19:00,58.0,117.0,1.2,35.13,1330.46,1330.46
MON,14:25:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,14:29:00,58.0,234.0,1.2,35.13,1330.46,1330.46
MON,14:35:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,14:39:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,14:44:00,58.0,58.0,35.13,35.13,1330.46,1330.46
MON,14:49:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,14:54:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,14:59:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,15:04:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,15:09:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,15:14:00,58.0,58.0,1.2,35.13,1319.38,1319.38
MON,15:19:00,58.0,292.0,1.2,35.13,1324.25,1324.25
MON,15:24:00,1941.93,1941.93,1.2,35.13,1324.25,1324.25
MON,15:29:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,15:34:00,58.0,117.0,1.2,35.13,1324.25,1324.25
MON,15:39:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,15:45:00,468.0,468.0,1.2,1.2,1330.46,1330.46
MON,15:49:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,15:54:00,58.0,117.0,1.2,35.13,1324.25,1324.25
MON,16:00:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,16:04:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,16:10:00,58.0,117.0,1.2,35.13,1324.25,1324.25
MON,16:14:00,58.0,117.0,1.2,35.13,1330.46,1330.46
MON,16:19:00,234.0,234.0,1.2,1.2,1324.25,1324.25
MON,16:24:00,58.0,58.0,35.13,1.2,1330.46,1330.46
MON,16:29:00,58.0,58.0,1.2,35.13,1355.53,1355.53
MON,16:34:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,16:39:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,16:44:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,16:49:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,16:54:00,58.0,117.0,1.2,35.13,1330.46,1330.46
MON,16:59:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,17:04:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,17:09:00,58.0,58.0,1.2,35.13,1324.25,1324.25
MON,17:14:00,58.0,58.0,1.2,35.13,1330.46,1330.46
MON,17:19:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:24:00,117.0,117.0,1.2,1.2,1330.46,1330.46
MON,17:29:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:35:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:39:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:45:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:50:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:54:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,17:59:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,18:04:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,18:09:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,18:14:00,1429.13,1429.13,1.2,1.2,1324.25,1324.25
MON,18:19:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,18:24:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,18:29:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,18:34:00,117.0,117.0,1.2,1.2,1324.25,1324.25
MON,18:40:00,58.0,58.0,1.2,1.2,1324.25,1324.25
MON,18:44:00,3006.87,3006.87,1.2,1.2,1358.69,1358.69
MON,18:49:00,58.0,58.0,1.2,1.2,1330.46,1330.46
MON,18:54:00,1941.93,1941.93,1.2,1.2,1330.46,1330.46
MON,18:59:00,234.0,234.0,1.2,1.2,1358.69,1358.69
MON,19:04:00,1941.93,1941.93,239.69,239.69,1357.0,1357.0
MON,19:09:00,292.0,292.0,130.46,130.46,1389.56,1389.56
MON,19:14:00,468.0,468.0,130.46,130.46,1373.0,1373.0
MON,19:19:00,1429.13,1429.13,204.48,204.48,1353.39,1353.39
MON,19:24:00,4628.89,4628.89,6362.14,6362.14,1432.46,1432.46
MON,19:29:00,4628.89,4628.89,4147.44,4147.44,1436.62,1436.62
