WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,0.0,0.0,510.0,510.0
MON,08:44:00,58.0,1053.0,0.0,4.63,504.0,504.0
MON,08:49:00,58.0,234.0,0.0,4.63,507.0,507.0
MON,08:54:00,58.0,409.0,0.0,4.63,507.0,507.0
MON,08:59:00,58.0,58.0,0.0,0.0,505.0,505.0
MON,09:04:00,58.0,117.0,0.0,0.0,508.52,508.52
MON,09:09:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,09:14:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,09:19:00,58.0,58.0,0.0,0.0,508.52,510.0
MON,09:24:00,58.0,58.0,0.0,0.0,508.52,506.0
MON,09:29:00,58.0,58.0,0.0,0.0,508.52,507.0
MON,09:34:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,09:39:00,58.0,58.0,0.0,0.0,510.0,508.52
MON,09:44:00,58.0,760.0,0.0,0.0,504.0,508.52
MON,09:49:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,09:54:00,58.0,468.0,0.0,0.0,504.0,508.52
MON,10:00:00,58.0,58.0,0.0,0.0,515.0,515.0
MON,10:04:00,1053.0,1053.0,0.0,0.0,512.0,508.52
MON,10:09:00,58.0,58.0,0.0,0.0,512.0,507.0
MON,10:14:00,760.0,760.0,0.0,0.0,510.0,508.52
MON,10:19:00,58.0,58.0,0.0,0.0,510.0,508.52
MON,10:24:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,10:29:00,58.0,58.0,0.0,4.63,508.52,508.52
MON,10:34:00,3763.29,3763.29,4.63,4.63,679.33,679.33
MON,10:40:00,2542.51,2542.51,0.0,0.0,679.33,679.33
MON,10:44:00,3763.29,760.0,9.05,4.63,700.03,700.03
MON,10:49:00,643.0,643.0,4.63,4.63,679.33,700.03
MON,10:54:00,1228.0,1228.0,4.63,4.63,700.03,700.03
MON,10:59:00,58.0,58.0,0.0,0.0,505.0,505.0
MON,11:04:00,234.0,234.0,0.0,0.0,508.52,510.0
MON,11:09:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,11:14:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,11:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,11:25:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,11:29:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,11:34:00,117.0,117.0,0.0,0.0,500.51,507.0
MON,11:39:00,58.0,58.0,0.0,0.0,504.0,504.0
MON,11:44:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,11:49:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,11:54:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,11:59:00,58.0,58.0,0.0,0.0,507.0,508.52
MON,12:04:00,234.0,234.0,0.0,0.0,508.52,508.52
MON,12:09:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,12:14:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,12:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,12:24:00,58.0,58.0,0.0,1.47,506.0,506.0
MON,12:30:00,1053.0,1053.0,1.47,1.47,537.86,537.86
MON,12:34:00,3763.29,3763.29,1.47,1.47,656.37,656.37
MON,12:40:00,1053.0,1053.0,1.47,1.47,679.33,679.33
MON,12:45:00,1404.0,1404.0,7.84,4.63,700.03,700.03
MON,12:49:00,643.0,643.0,4.63,4.63,700.03,700.03
MON,12:54:00,58.0,58.0,4.63,4.63,573.0,573.0
MON,12:59:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,13:04:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,13:09:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,13:15:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,13:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,13:24:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,13:29:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,13:34:00,58.0,58.0,0.0,0.0,498.42,498.42
MON,13:39:00,58.0,58.0,0.0,0.0,504.0,504.0
MON,13:44:00,58.0,58.0,0.0,0.0,505.0,505.0
MON,13:49:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,13:54:00,585.0,585.0,0.0,0.0,506.0,506.0
MON,13:59:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,14:04:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,14:09:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,14:14:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,14:19:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,14:25:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,14:29:00,58.0,58.0,0.0,4.63,507.0,507.0
MON,14:35:00,5025.44,5025.44,4.63,4.63,656.37,656.37
MON,14:39:00,2542.51,2542.51,0.0,0.0,679.33,679.33
MON,14:44:00,1855.01,1855.01,9.05,9.05,700.03,700.03
MON,14:49:00,877.0,877.0,4.63,4.63,700.03,700.03
MON,14:54:00,1228.0,1228.0,4.63,1.47,700.03,700.03
MON,14:59:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,15:04:00,468.0,468.0,0.0,0.0,508.52,508.52
MON,15:09:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,15:14:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,15:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,15:24:00,1111.0,1111.0,0.0,0.0,512.0,512.0
MON,15:29:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,15:34:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,15:40:00,58.0,58.0,0.0,0.0,502.57,502.57
MON,15:45:00,58.0,117.0,0.0,0.0,505.0,505.0
MON,15:49:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,15:54:00,234.0,234.0,0.0,0.0,508.52,508.52
MON,16:00:00,58.0,58.0,0.0,0.0,510.0,510.0
MON,16:04:00,468.0,468.0,0.0,0.0,507.0,507.0
MON,16:10:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,16:14:00,1287.0,1287.0,0.0,0.0,508.52,508.52
MON,16:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,16:24:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,16:29:00,58.0,58.0,0.0,4.63,515.0,515.0
MON,16:34:00,5025.44,5025.44,4.63,4.63,679.33,679.33
MON,16:39:00,1404.0,1404.0,0.0,0.0,679.33,679.33
MON,16:44:00,1855.01,1855.01,9.05,4.63,700.03,700.03
MON,16:49:00,585.0,585.0,4.63,4.63,700.03,700.03
MON,16:54:00,234.0,234.0,4.63,1.47,700.03,700.03
MON,16:59:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,17:04:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,17:09:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,17:14:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,17:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,17:24:00,117.0,117.0,0.0,0.0,507.0,507.0
MON,17:29:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,17:35:00,117.0,117.0,0.0,0.0,507.0,507.0
MON,17:39:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,17:44:00,877.0,877.0,0.0,0.0,502.57,502.57
MON,17:50:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,17:54:00,117.0,117.0,0.0,0.0,505.0,505.0
MON,17:59:00,58.0,58.0,0.0,0.0,505.0,505.0
MON,18:04:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,18:09:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,18:14:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,18:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,18:24:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,18:29:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,18:34:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,18:40:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,18:44:00,58.0,58.0,0.0,0.0,502.57,502.57
MON,18:49:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,18:54:00,117.0,117.0,0.0,0.0,506.0,506.0
MON,18:59:00,117.0,117.0,0.0,0.0,506.0,506.0
MON,19:04:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,19:09:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,19:14:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,19:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,19:24:00,760.0,760.0,0.0,0.0,507.0,507.0
MON,19:29:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,19:34:00,117.0,117.0,0.0,0.0,505.0,505.0
MON,19:40:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,19:44:00,643.0,643.0,0.0,0.0,502.57,502.57
MON,19:49:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,19:54:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,19:59:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,20:04:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,20:09:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,20:14:00,936.0,936.0,0.0,0.0,508.52,508.52
MON,20:20:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,20:24:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,20:29:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,20:34:00,1559.49,1559.49,0.0,0.0,506.0,506.0
MON,20:39:00,58.0,58.0,0.0,0.0,518.61,506.0
MON,20:44:00,936.0,936.0,0.0,0.0,506.0,506.0
MON,20:49:00,58.0,58.0,0.0,0.0,507.0,507.0
MON,20:54:00,292.0,292.0,0.0,0.0,506.0,506.0
MON,20:59:00,58.0,58.0,0.0,0.0,506.0,506.0
MON,21:04:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,21:09:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,21:14:00,117.0,117.0,0.0,0.0,508.52,508.52
MON,21:19:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,21:24:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,21:29:00,58.0,58.0,0.0,0.0,508.52,508.52
MON,21:34:00,643.0,643.0,0.0,0.0,513.0,508.52
MON,21:39:00,58.0,58.0,0.0,0.0,505.0,505.0
