WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,234.0,234.0,107.8,107.8,1647.24,1647.24
MON,08:44:00,234.0,234.0,107.8,107.8,1644.0,1644.0
MON,08:49:00,117.0,117.0,107.8,107.8,1592.83,1592.83
MON,08:54:00,0.0,0.0,107.8,107.8,1592.83,1592.83
MON,08:59:00,0.0,0.0,107.8,107.8,1592.83,1592.83
MON,09:05:00,468.0,0.0,107.8,107.8,1592.83,1592.83
MON,09:09:00,0.0,0.0,107.8,107.8,1601.2,1601.2
MON,09:14:00,0.0,0.0,107.8,107.8,1601.2,1601.2
MON,09:20:00,0.0,0.0,107.8,107.8,1601.2,1601.2
MON,09:25:00,936.0,936.0,107.8,107.8,1607.64,1607.64
MON,09:29:00,292.0,292.0,107.8,107.8,1601.2,1601.2
MON,09:34:00,0.0,0.0,107.8,107.8,1601.2,1601.2
MON,09:39:00,0.0,0.0,107.8,107.8,1607.64,1607.64
MON,09:44:00,0.0,0.0,107.8,107.8,1607.64,1607.64
MON,09:49:00,0.0,0.0,107.8,107.8,1614.0,1614.0
MON,09:55:00,0.0,0.0,107.8,107.8,1607.64,1607.64
MON,10:00:00,0.0,0.0,107.8,107.8,1607.64,1607.64
MON,10:04:00,117.0,117.0,107.8,107.8,1607.64,1607.64
MON,10:09:00,0.0,0.0,107.8,107.8,1614.0,1614.0
MON,10:14:00,0.0,0.0,107.8,107.8,1614.0,1614.0
MON,10:19:00,0.0,0.0,107.8,107.8,1614.0,1614.0
MON,10:24:00,0.0,0.0,107.8,107.8,1619.6,1619.6
MON,10:29:00,0.0,0.0,107.8,107.8,1623.87,1623.87
MON,10:34:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,10:40:00,0.0,0.0,107.8,107.8,1638.96,1638.96
MON,10:44:00,4618.3,4618.3,107.8,107.8,1657.55,1657.55
MON,10:49:00,117.0,0.0,107.8,107.8,1633.25,1633.25
MON,10:54:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,10:59:00,0.0,0.0,107.8,107.8,1628.01,1628.01
MON,11:04:00,0.0,0.0,107.8,107.8,1623.87,1623.87
MON,11:09:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,11:14:00,0.0,0.0,107.8,107.8,1628.01,1628.01
MON,11:19:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,11:25:00,0.0,0.0,107.8,107.8,1641.54,1641.54
MON,11:29:00,0.0,0.0,107.8,107.8,1638.96,1638.96
MON,11:34:00,0.0,0.0,107.8,107.8,1614.0,1614.0
MON,11:39:00,468.0,0.0,107.8,107.8,1633.25,1633.25
MON,11:44:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,11:49:00,0.0,0.0,107.8,107.8,1633.25,1633.25
MON,11:54:00,0.0,0.0,107.8,107.8,1644.0,1644.0
MON,11:59:00,0.0,0.0,107.8,107.8,1641.54,1641.54
MON,12:04:00,234.0,234.0,107.8,107.8,1638.96,1638.96
MON,12:09:00,0.0,0.0,107.8,107.8,1644.0,1644.0
MON,12:14:00,0.0,0.0,107.8,107.8,1638.96,1638.96
MON,12:19:00,0.0,0.0,107.8,107.8,1638.96,1638.96
MON,12:24:00,117.0,117.0,107.8,107.8,1641.54,1641.54
MON,12:30:00,117.0,117.0,107.8,107.8,1633.25,1633.25
MON,12:34:00,0.0,0.0,107.8,107.8,1638.96,1638.96
MON,12:40:00,0.0,0.0,107.8,107.8,1647.24,1647.24
MON,12:45:00,0.0,0.0,107.8,107.8,1667.97,1667.97
MON,12:49:00,0.0,0.0,107.8,107.8,1650.47,1650.47
MON,12:54:00,0.0,0.0,107.8,107.8,1650.47,1650.47
MON,12:59:00,0.0,0.0,107.8,107.8,1647.24,1647.24
MON,13:04:00,0.0,0.0,107.8,107.8,1650.47,1650.47
MON,13:09:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,13:15:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,13:19:00,0.0,0.0,107.8,107.8,1653.47,1653.47
MON,13:24:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,13:29:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,13:34:00,4618.3,4618.3,107.8,107.8,1653.47,1653.47
MON,13:39:00,0.0,0.0,107.8,107.8,1663.48,1663.48
MON,13:44:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,13:49:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,13:54:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,13:59:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,14:04:00,117.0,0.0,107.8,107.8,1661.1,1661.1
MON,14:09:00,117.0,117.0,107.8,107.8,1667.97,1667.97
MON,14:14:00,0.0,0.0,107.8,107.8,1663.48,1663.48
MON,14:19:00,0.0,0.0,107.8,107.8,1665.43,1665.43
MON,14:25:00,0.0,0.0,107.8,107.8,1667.97,1667.97
MON,14:30:00,0.0,0.0,107.8,107.8,1703.57,1703.57
MON,14:35:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,14:39:00,0.0,0.0,107.8,107.8,1653.47,1653.47
MON,14:44:00,585.0,585.0,107.8,107.8,1650.47,1650.47
MON,14:49:00,117.0,117.0,107.8,107.8,1653.47,1653.47
MON,14:54:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,14:59:00,234.0,234.0,107.8,107.8,1671.92,1671.92
MON,15:04:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,15:09:00,0.0,0.0,107.8,107.8,1665.43,1665.43
MON,15:15:00,1112.0,1112.0,107.8,107.8,1693.39,1693.39
MON,15:19:00,585.0,585.0,107.8,107.8,1661.1,1661.1
MON,15:24:00,0.0,0.0,107.8,107.8,1665.43,1665.43
MON,15:29:00,234.0,234.0,107.8,107.8,1663.48,1663.48
MON,15:34:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,15:40:00,0.0,0.0,107.8,107.8,1665.43,1665.43
MON,15:45:00,585.0,585.0,107.8,107.8,1667.97,1667.97
MON,15:49:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,15:54:00,0.0,0.0,107.8,107.8,1663.48,1663.48
MON,16:00:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,16:04:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,16:10:00,234.0,117.0,107.8,107.8,1665.43,1665.43
MON,16:14:00,1053.0,1053.0,107.8,107.8,1663.48,1663.48
MON,16:19:00,0.0,0.0,107.8,107.8,1667.97,1667.97
MON,16:24:00,0.0,0.0,107.8,107.8,1677.27,1677.27
MON,16:29:00,1404.0,1404.0,107.8,107.8,1693.39,1693.39
MON,16:34:00,117.0,117.0,107.8,107.8,1657.55,1657.55
MON,16:39:00,117.0,0.0,107.8,107.8,1663.48,1663.48
MON,16:44:00,0.0,0.0,107.8,107.8,1663.48,1663.48
MON,16:49:00,117.0,117.0,107.8,107.8,1667.97,1667.97
MON,16:54:00,0.0,0.0,107.8,107.8,1677.27,1677.27
MON,16:59:00,117.0,117.0,107.8,107.8,1677.27,1677.27
MON,17:04:00,0.0,117.0,107.8,107.8,1677.27,1677.27
MON,17:10:00,58.0,58.0,107.8,107.8,1667.97,1667.97
MON,17:14:00,58.0,58.0,107.8,107.8,1671.92,1671.92
MON,17:19:00,117.0,117.0,107.8,107.8,1677.27,1677.27
MON,17:24:00,0.0,0.0,107.8,107.8,1684.48,1684.48
MON,17:29:00,234.0,234.0,107.8,107.8,1684.48,1684.48
MON,17:35:00,0.0,0.0,107.8,107.8,1671.92,1671.92
MON,17:39:00,292.0,117.0,107.8,107.8,1677.27,1677.27
MON,17:45:00,2485.14,2485.14,107.8,107.8,1684.48,1684.48
MON,17:50:00,0.0,58.0,107.8,107.8,1677.27,1677.27
MON,17:54:00,0.0,0.0,107.8,107.8,1677.27,1677.27
MON,17:59:00,0.0,0.0,107.8,107.8,1663.48,1663.48
MON,18:04:00,0.0,0.0,107.8,107.8,1667.97,1667.97
MON,18:09:00,0.0,0.0,107.8,107.8,1671.92,1671.92
MON,18:14:00,0.0,0.0,107.8,107.8,1647.24,1647.24
MON,18:19:00,117.0,0.0,107.8,107.8,1649.0,1649.0
MON,18:24:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,18:29:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,18:34:00,0.0,0.0,107.8,107.8,1649.0,1649.0
MON,18:40:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,18:44:00,0.0,0.0,107.8,107.8,1653.47,1653.47
MON,18:49:00,0.0,0.0,107.8,107.8,1653.47,1653.47
MON,18:54:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,18:59:00,117.0,117.0,107.8,107.8,1657.55,1657.55
MON,19:04:00,2485.14,2485.14,107.8,107.8,1657.55,1657.55
MON,19:09:00,0.0,0.0,107.8,107.8,1667.97,1667.97
MON,19:14:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,19:19:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,19:24:00,1053.0,1053.0,107.8,107.8,1661.1,1661.1
MON,19:29:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,19:34:00,0.0,0.0,107.8,107.8,1657.55,1657.55
MON,19:40:00,0.0,0.0,107.8,107.8,1653.47,1653.47
MON,19:44:00,117.0,58.0,107.8,107.8,1657.55,1657.55
MON,19:49:00,0.0,0.0,107.8,107.8,1661.1,1661.1
MON,19:54:00,117.0,117.0,107.8,107.8,1693.39,1693.39
MON,19:59:00,4618.3,4618.3,107.8,107.8,1671.92,1671.92
MON,20:04:00,3380.18,3380.18,107.8,107.8,1703.57,1703.57
MON,20:09:00,1980.11,1980.11,107.8,107.8,1771.58,1771.58
MON,20:14:00,1112.0,1112.0,107.8,107.8,1803.56,1803.56
MON,20:20:00,1980.11,1980.11,107.8,107.8,1827.11,1827.11
MON,20:24:00,1053.0,1053.0,107.8,107.8,1847.52,1847.52
MON,20:29:00,1229.0,1229.0,863.82,863.82,1847.52,1847.52
MON,20:34:00,2485.14,2485.14,107.8,107.8,1650.47,1650.47
MON,20:39:00,117.0,117.0,107.8,107.8,1720.79,1720.79
