WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,117.0,117.0,210.27,210.27,1807.66,1807.66
MON,08:44:00,292.0,292.0,21.09,21.09,1807.66,1807.66
MON,08:49:00,234.0,643.0,44.21,121.94,1800.68,1800.68
MON,08:54:00,117.0,292.0,210.27,210.27,1800.68,1800.68
MON,09:00:00,643.0,643.0,379.89,379.89,1812.38,1812.38
MON,09:05:00,409.0,409.0,21.09,21.09,1812.38,1812.38
MON,09:09:00,234.0,117.0,44.21,44.21,1816.44,1816.44
MON,09:14:00,234.0,234.0,21.09,21.09,1816.44,1816.44
MON,09:19:00,292.0,117.0,44.21,121.94,1819.97,1819.97
MON,09:24:00,117.0,234.0,362.64,362.64,1822.31,1822.31
MON,09:29:00,0.0,0.0,121.94,121.94,1826.94,1826.94
MON,09:34:00,292.0,234.0,581.46,581.46,1837.68,1837.68
MON,09:39:00,2614.27,234.0,318.56,318.56,1837.68,1837.68
MON,09:44:00,234.0,234.0,347.72,347.72,1837.68,1837.68
MON,09:49:00,234.0,234.0,121.94,121.94,1826.94,1826.94
MON,09:54:00,292.0,292.0,5.27,5.27,1819.97,1819.97
MON,10:00:00,0.0,0.0,547.51,547.51,1864.0,1864.0
MON,10:05:00,0.0,0.0,177.29,177.29,1852.53,1852.53
MON,10:09:00,117.0,234.0,177.29,177.29,1858.41,1858.41
MON,10:14:00,409.0,409.0,272.95,272.95,1877.49,1877.49
MON,10:19:00,0.0,0.0,210.27,210.27,1858.41,1858.41
MON,10:24:00,292.0,117.0,5.27,5.27,1858.41,1858.41
MON,10:29:00,409.0,409.0,210.27,210.27,1866.54,1866.54
MON,10:34:00,292.0,409.0,210.27,210.27,1866.54,1866.54
MON,10:39:00,234.0,234.0,95.59,95.59,1866.54,1866.54
MON,10:45:00,2080.39,2080.39,334.29,334.29,1891.03,1891.03
MON,10:50:00,468.0,468.0,177.29,177.29,1862.16,1862.16
MON,10:54:00,292.0,234.0,210.27,210.27,1866.54,1866.54
MON,10:59:00,409.0,409.0,272.95,272.95,1873.25,1873.25
MON,11:04:00,234.0,292.0,121.94,121.94,1877.49,1877.49
MON,11:09:00,292.0,234.0,21.09,21.09,1877.49,1877.49
MON,11:14:00,292.0,117.0,272.95,272.95,1883.06,1883.06
MON,11:19:00,292.0,292.0,150.6,150.6,1885.98,1885.98
MON,11:25:00,234.0,234.0,69.81,69.81,1891.03,1891.03
MON,11:30:00,468.0,468.0,421.41,421.41,1891.03,1891.03
MON,11:34:00,234.0,234.0,177.29,177.29,1869.0,1869.0
MON,11:39:00,468.0,468.0,379.89,379.89,1784.51,1784.51
MON,11:44:00,117.0,117.0,95.59,95.59,1760.59,1760.59
MON,11:49:00,234.0,234.0,318.56,318.56,1784.51,1784.51
MON,11:54:00,0.0,0.0,562.39,562.39,1773.68,1773.68
MON,11:59:00,117.0,468.0,177.29,177.29,1784.51,1784.51
MON,12:04:00,234.0,234.0,121.94,121.94,1840.48,1840.48
MON,12:09:00,234.0,234.0,177.29,177.29,1837.68,1837.68
MON,12:14:00,117.0,117.0,210.27,210.27,1840.48,1840.48
MON,12:19:00,409.0,409.0,177.29,177.29,1845.76,1845.76
MON,12:24:00,234.0,234.0,121.94,121.94,1845.76,1845.76
MON,12:29:00,292.0,292.0,362.64,362.64,1854.0,1854.0
MON,12:34:00,409.0,409.0,916.55,916.55,1837.68,1837.68
MON,12:40:00,292.0,292.0,177.29,177.29,1852.53,1852.53
MON,12:45:00,234.0,234.0,150.6,150.6,1865.0,1865.0
MON,12:50:00,468.0,468.0,712.62,712.62,1873.25,1873.25
MON,12:54:00,292.0,292.0,399.71,399.71,1877.49,1877.49
MON,13:00:00,117.0,117.0,528.88,528.88,1893.0,1893.0
MON,13:04:00,292.0,0.0,581.46,581.46,1912.55,1912.55
MON,13:10:00,292.0,292.0,601.44,601.44,1902.51,1902.51
MON,13:15:00,292.0,292.0,782.9,782.9,1902.51,1902.51
MON,13:19:00,234.0,234.0,528.88,528.88,1920.54,1920.54
MON,13:24:00,234.0,234.0,210.27,210.27,1912.55,1912.55
MON,13:29:00,234.0,292.0,601.44,601.44,1914.42,1914.42
MON,13:35:00,2614.27,2614.27,743.57,743.57,1899.0,1899.0
MON,13:39:00,468.0,468.0,1364.46,1364.46,1900.52,1900.52
MON,13:44:00,292.0,234.0,1098.6,1098.6,1920.54,1920.54
MON,13:49:00,292.0,117.0,177.29,177.29,1920.54,1920.54
MON,13:54:00,643.0,643.0,399.71,399.71,1945.52,1945.52
MON,13:59:00,1580.0,1580.0,562.39,562.39,1931.0,1931.0
MON,14:04:00,234.0,234.0,44.21,44.21,1928.52,1928.52
MON,14:10:00,292.0,292.0,503.21,503.21,1905.06,1905.06
MON,14:14:00,234.0,409.0,680.49,680.49,1912.55,1912.55
MON,14:20:00,409.0,117.0,547.51,547.51,1891.03,1891.03
MON,14:25:00,234.0,234.0,757.65,757.65,1895.0,1895.0
MON,14:29:00,117.0,117.0,297.14,297.14,1902.51,1902.51
MON,14:35:00,1112.0,1112.0,528.88,528.88,1895.0,1895.0
MON,14:40:00,409.0,409.0,421.41,421.41,1914.42,1914.42
MON,14:45:00,878.0,878.0,450.04,450.04,1937.0,1937.0
MON,14:49:00,292.0,292.0,562.39,562.39,1926.42,1926.42
MON,14:54:00,643.0,643.0,641.24,641.24,1949.0,1949.0
MON,15:00:00,292.0,292.0,581.46,581.46,1969.51,1969.51
MON,15:04:00,292.0,292.0,362.64,362.64,1973.88,1973.88
MON,15:10:00,1053.0,1053.0,379.89,379.89,1992.02,1992.02
MON,15:14:00,292.0,292.0,243.95,243.95,1988.36,1988.36
MON,15:19:00,292.0,292.0,547.51,547.51,1900.52,1900.52
MON,15:24:00,234.0,234.0,503.21,503.21,1926.42,1926.42
MON,15:29:00,585.0,585.0,477.95,477.95,1910.49,1910.49
MON,15:34:00,292.0,292.0,581.46,581.46,1920.54,1920.54
MON,15:40:00,234.0,234.0,450.04,450.04,1842.0,1842.0
MON,15:45:00,234.0,234.0,729.27,729.27,1862.16,1862.16
MON,15:49:00,234.0,292.0,601.44,601.44,1866.54,1866.54
MON,15:55:00,234.0,234.0,297.14,297.14,1864.0,1864.0
MON,16:00:00,409.0,409.0,379.89,379.89,1898.0,1898.0
MON,16:04:00,409.0,117.0,528.88,528.88,1910.49,1910.49
MON,16:10:00,1112.0,1112.0,1171.29,1171.29,1926.42,1926.42
MON,16:15:00,1287.0,1287.0,177.29,177.29,1920.54,1920.54
MON,16:19:00,2614.27,2614.27,852.05,852.05,1937.0,1937.0
MON,16:24:00,936.0,936.0,210.27,210.27,1978.91,1978.91
MON,16:29:00,643.0,643.0,916.55,916.55,1793.6,1793.6
MON,16:35:00,292.0,292.0,581.46,581.46,1760.59,1760.59
MON,16:40:00,292.0,234.0,69.81,69.81,1773.68,1773.68
MON,16:45:00,292.0,292.0,621.46,621.46,1784.51,1784.51
MON,16:49:00,1112.0,1112.0,347.72,347.72,1800.68,1800.68
MON,16:54:00,468.0,468.0,680.49,680.49,1784.51,1784.51
MON,16:59:00,234.0,234.0,916.55,916.55,1793.6,1793.6
MON,17:05:00,292.0,292.0,528.88,528.88,1800.68,1800.68
MON,17:09:00,409.0,409.0,562.39,562.39,1830.16,1830.16
MON,17:14:00,234.0,234.0,1318.05,1318.05,1840.48,1840.48
MON,17:19:00,117.0,117.0,1972.64,1972.64,1865.0,1865.0
MON,17:24:00,234.0,234.0,477.95,477.95,1845.76,1845.76
MON,17:29:00,234.0,234.0,243.95,243.95,1849.49,1849.49
