WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,58.0,58.0,6.36,6.36,1546.0,1546.0
MON,08:44:00,468.0,468.0,78.52,78.52,1544.05,1544.05
MON,08:49:00,117.0,117.0,6.36,78.52,1541.49,1541.49
MON,08:54:00,117.0,117.0,78.52,6.36,1544.05,1544.05
MON,09:00:00,58.0,58.0,78.52,237.77,1544.05,1544.05
MON,09:05:00,58.0,58.0,78.52,78.52,1541.49,1541.49
MON,09:09:00,58.0,117.0,78.52,237.77,1546.0,1546.0
MON,09:14:00,58.0,58.0,6.36,78.52,1541.49,1541.49
MON,09:19:00,234.0,234.0,6.36,78.52,1544.05,1544.05
MON,09:25:00,292.0,292.0,78.52,78.52,1548.0,1548.0
MON,09:29:00,58.0,58.0,237.77,237.77,1541.49,1541.49
MON,09:34:00,58.0,58.0,649.8,649.8,1541.49,1541.49
MON,09:39:00,58.0,58.0,3242.44,3242.44,1489.0,1489.0
MON,09:44:00,409.0,409.0,1189.93,1189.93,1496.8,1496.8
MON,09:49:00,58.0,58.0,1359.37,1359.37,1477.47,1477.47
MON,09:55:00,58.0,117.0,6.36,6.36,1484.49,1484.49
MON,10:00:00,58.0,58.0,6.36,6.36,1483.0,1483.0
MON,10:05:00,58.0,58.0,78.52,78.52,1481.5,1481.5
MON,10:09:00,936.0,936.0,6.36,78.52,1504.96,1504.96
MON,10:14:00,58.0,58.0,6.36,237.77,1481.5,1481.5
MON,10:19:00,58.0,58.0,78.52,78.52,1483.0,1483.0
MON,10:24:00,58.0,58.0,6.36,78.52,1488.0,1488.0
MON,10:29:00,117.0,117.0,6.36,6.36,1481.5,1481.5
MON,10:34:00,58.0,58.0,446.77,446.77,1477.47,1477.47
MON,10:40:00,585.0,585.0,446.77,446.77,1488.0,1488.0
MON,10:45:00,4533.83,4533.83,2736.36,2736.36,1477.47,1477.47
MON,10:50:00,58.0,117.0,1894.72,1894.72,1466.1,1466.1
MON,10:54:00,58.0,58.0,237.77,237.77,1470.54,1470.54
MON,10:59:00,58.0,58.0,446.77,446.77,1470.54,1470.54
MON,11:04:00,58.0,58.0,3385.16,3385.16,1466.1,1466.1
MON,11:09:00,58.0,58.0,649.8,649.8,1472.95,1472.95
MON,11:14:00,234.0,234.0,1189.93,1189.93,1468.51,1468.51
MON,11:19:00,58.0,58.0,1032.57,1032.57,1470.54,1470.54
MON,11:25:00,58.0,58.0,2241.21,2241.21,1475.49,1475.49
MON,11:30:00,58.0,58.0,6.36,6.36,1530.53,1530.53
MON,11:34:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,11:39:00,58.0,117.0,78.52,78.52,1470.54,1470.54
MON,11:44:00,117.0,117.0,6.36,6.36,1468.51,1468.51
MON,11:49:00,117.0,117.0,6.36,6.36,1468.51,1468.51
MON,11:54:00,58.0,58.0,78.52,78.52,1468.51,1468.51
MON,12:00:00,58.0,58.0,78.52,6.36,1466.1,1466.1
MON,12:04:00,58.0,58.0,6.36,78.52,1475.49,1475.49
MON,12:09:00,58.0,58.0,6.36,6.36,1475.49,1475.49
MON,12:14:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,12:19:00,58.0,58.0,6.36,78.52,1472.95,1472.95
MON,12:24:00,58.0,58.0,6.36,6.36,1475.49,1475.49
MON,12:30:00,58.0,58.0,446.77,446.77,1472.95,1472.95
MON,12:34:00,58.0,58.0,78.52,78.52,1468.51,1468.51
MON,12:40:00,58.0,58.0,78.52,78.52,1472.95,1472.95
MON,12:45:00,58.0,58.0,78.52,78.52,1470.54,1470.54
MON,12:50:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,12:54:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,13:00:00,585.0,585.0,6.36,6.36,1470.54,1470.54
MON,13:04:00,58.0,58.0,6.36,6.36,1468.51,1468.51
MON,13:10:00,58.0,58.0,78.52,6.36,1475.49,1475.49
MON,13:15:00,58.0,58.0,6.36,6.36,1470.54,1470.54
MON,13:19:00,58.0,58.0,6.36,6.36,1468.51,1468.51
MON,13:24:00,58.0,58.0,78.52,78.52,1475.49,1475.49
MON,13:29:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,13:35:00,58.0,58.0,6.36,6.36,1466.1,1466.1
MON,13:39:00,292.0,292.0,78.52,6.36,1472.95,1472.95
MON,13:44:00,58.0,58.0,78.52,78.52,1470.54,1470.54
MON,13:49:00,117.0,117.0,6.36,6.36,1472.95,1472.95
MON,13:54:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,14:00:00,292.0,292.0,78.52,78.52,1491.53,1491.53
MON,14:04:00,58.0,58.0,78.52,78.52,1470.54,1470.54
MON,14:10:00,234.0,234.0,6.36,6.36,1475.49,1475.49
MON,14:14:00,58.0,58.0,78.52,78.52,1472.95,1472.95
MON,14:20:00,58.0,58.0,6.36,6.36,1470.54,1470.54
MON,14:25:00,58.0,58.0,78.52,78.52,1472.95,1472.95
MON,14:30:00,585.0,585.0,6.36,78.52,1470.54,1470.54
MON,14:35:00,58.0,58.0,6.36,6.36,1468.51,1468.51
MON,14:40:00,58.0,117.0,6.36,6.36,1472.95,1472.95
MON,14:45:00,58.0,58.0,6.36,78.52,1470.54,1470.54
MON,14:49:00,58.0,58.0,6.36,6.36,1468.51,1468.51
MON,14:54:00,58.0,58.0,6.36,6.36,1472.95,1472.95
MON,15:00:00,643.0,643.0,6.36,78.52,1470.54,1470.54
MON,15:04:00,58.0,58.0,78.52,78.52,1468.51,1468.51
MON,15:10:00,58.0,58.0,6.36,6.36,1475.49,1475.49
MON,15:14:00,1655.72,1655.72,6.36,6.36,1468.51,1468.51
MON,15:19:00,117.0,117.0,6.36,6.36,1468.51,1468.51
MON,15:24:00,58.0,117.0,6.36,6.36,1475.49,1475.49
MON,15:29:00,58.0,58.0,6.36,78.52,1470.54,1470.54
MON,15:34:00,58.0,58.0,6.36,6.36,1462.99,1462.99
MON,15:40:00,117.0,117.0,6.36,6.36,1470.54,1470.54
MON,15:45:00,761.0,761.0,6.36,6.36,1468.51,1468.51
MON,15:49:00,58.0,58.0,78.52,78.52,1466.1,1466.1
MON,15:55:00,58.0,117.0,6.36,6.36,1472.95,1472.95
MON,16:00:00,58.0,58.0,6.36,6.36,1470.54,1470.54
MON,16:04:00,58.0,58.0,6.36,6.36,1466.1,1466.1
MON,16:10:00,58.0,117.0,78.52,78.52,1472.95,1472.95
MON,16:15:00,58.0,58.0,6.36,78.52,1468.51,1468.51
MON,16:19:00,58.0,234.0,6.36,78.52,1535.51,1535.51
