WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,0.0,0.0,17.31,17.31,1337.07,1337.07
MON,08:44:00,0.0,0.0,123.43,123.43,1346.21,1346.21
MON,08:50:00,0.0,0.0,60.53,60.53,1380.34,1380.34
MON,08:54:00,239.0,0.0,60.53,60.53,1353.13,1353.13
MON,09:00:00,0.0,0.0,87.77,87.77,1361.8,1361.8
MON,09:05:00,0.0,0.0,60.53,60.53,1369.08,1369.08
MON,09:10:00,837.0,0.0,60.53,60.53,1369.08,1369.08
MON,09:15:00,478.0,478.0,39.02,39.02,1369.08,1369.08
MON,09:19:00,239.0,0.0,0.47,0.47,1369.08,1369.08
MON,09:25:00,0.0,0.0,0.47,0.47,1369.08,1369.08
MON,09:30:00,0.0,0.0,0.47,0.47,1369.08,1369.08
MON,09:34:00,0.0,0.0,87.77,17.31,1376.52,1376.52
MON,09:40:00,0.0,0.0,87.77,87.77,1380.34,1380.34
MON,09:45:00,239.0,0.0,87.77,87.77,1380.34,1380.34
MON,09:50:00,239.0,0.0,39.02,39.02,1382.0,1382.0
MON,09:54:00,598.0,0.0,39.02,39.02,1394.0,1394.0
MON,10:00:00,0.0,0.0,87.77,87.77,1390.58,1390.58
MON,10:05:00,0.0,0.0,60.53,60.53,1398.07,1398.07
MON,10:10:00,0.0,0.0,87.77,87.77,1398.07,1398.07
MON,10:14:00,0.0,0.0,0.47,0.47,1398.07,1398.07
MON,10:20:00,0.0,0.0,0.47,0.47,1398.07,1398.07
MON,10:24:00,0.0,0.0,0.47,0.47,1398.07,1398.07
MON,10:29:00,0.0,0.0,87.77,87.77,1404.15,1404.15
MON,10:34:00,239.0,0.0,87.77,87.77,1408.0,1408.0
MON,10:40:00,0.0,0.0,60.53,60.53,1411.56,1411.56
MON,10:45:00,0.0,0.0,0.47,0.47,1411.56,1411.56
MON,10:50:00,2513.0,0.0,87.77,87.77,1421.57,1421.57
MON,10:55:00,239.0,0.0,60.53,60.53,1421.57,1421.57
MON,11:00:00,0.0,0.0,60.53,60.53,1427.52,1427.52
MON,11:04:00,1316.0,0.0,39.02,39.02,1438.42,1438.42
MON,11:09:00,478.0,478.0,87.77,87.77,1248.47,1248.47
MON,11:14:00,598.0,0.0,87.77,87.77,1248.47,1248.47
